nome_do_artigo,nome_do_arquivo,doi_cod,abstract,resultados,avaliacao_codex_chatgpt,relevancia_para_slr,metodo,tipo_de_evidencia,ameacas_limitacoes,decisao_slr,motivo_da_decisao,contexto,fonte_dos_dados,tecnica_principal,rq_atendida,ic_ec_acionados,fase_do_sdlc,nivel_de_integracao,prioridade_de_leitura
Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models Generated by Mining Event-Log D,anvaya.pdf,10.1109/COMPSAC.2016.64,"Issue Tracking Systems (ITS) such as Bugzilla can be viewed as Process Aware Information Systems (PAIS) generating event-logs during the life-cycle of a bug report. Process Mining consists of mining event logs generated from PAIS for process model discovery, conformance and enhancement. We apply process map discovery techniques to mine event trace data generated from ITS of open source Firefox browser project to generate and study process models. Bug life-cycle consists of diversity and variance. Therefore, the process models generated from the event-logs are spaghetti-like with large number of edges, inter-connections and nodes. Such models are complex to analyse and difficult to comprehend by a process analyst. We improve the Goodness (fitness and structural complexity) of the process models by splitting the event-log into homogeneous subsets by clustering structurally similar traces. We adapt the K-Medoid clustering algorithm with two different distance metrics: Longest Common Subsequence (LCS) and Dynamic Time Warping (DTW). We evaluate the goodness of the process models generated from the clusters using complexity and fitness metrics. We study back-forth and self-loops, bug reopening, and bottleneck in the clusters obtained and show that clustering enables better analysis. We also propose an algorithm to automate the clustering process-the algorithm takes as input the event log and returns the best cluster set.","We improve the Goodness (fitness and structural complexity) of the process models by splitting the event-log into homogeneous subsets by clustering structurally similar traces. We study back-forth and self-loops, bug reopening, and bottleneck in the clusters obtained and show that clustering enables better analysis.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Qualidade e testes, contexto aplicado específico.",Issue tracker.,Mineração de processos.,"RQ1, RQ2",IC4a,Qualidade/Testes,L1,Alta
Applicability of Process Discovery Algorithms for Software Organizations,Applicability_of_Process_Discovery_Algorithms_for_Software_Organizations.pdf,10.1109/SEAA.2009.87,"Process modeling is one of the most significant tasks software process improvement teams perform. Conventionally modeling is performed by teams composed of domain experts and process engineers and it takes considerable effort and time. In recent years there have been studies which use the data extracted from the actual events that took place to determine process models. In this paper we present the results of a case study we conducted to determine the effectiveness of four process discovery and process mining algorithms. After applying process discovery algorithms we compare the results by the actual process and process definitions. We discuss the discrepancies between the actual flow and the process definitions, and the weaknesses and strong aspects of the algorithms.",Process modeling is one of the most significant tasks software process improvement teams perform. In this paper we present the results of a case study we conducted to determine the effectiveness of four process discovery and process mining algorithms. After applying process discovery algorithms we compare the results by the actual process and process definitions.,Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Contexto de processo de software não identificado com clareza na extração automática.,Logs de ide.,Mineração de processos.,"RQ1, RQ2",IC4a,Não definido,L1,Alta
Application of Constructive Modeling and Process Mining Approaches to the Study of Source Code Development in Software E,9e450f55_application_of_constructive_modeling_and_process_m.pdf,10.24138/JCOMSS-2021-0046,"We present an approach of constructing a source code history for a modern code review. Practically, it is supposed to be used in programming training, especially within initial stages. The developed constructor uses constructive-synthesizing modeling tools to classify a source code history by fine-grained changes and to construct an event log file aimed to provide information on students’ coding process. Current research applies Process Mining techniques to the software engineering domain to identify software engineering skills. By better understanding of the way students design programs, we will help novices learn programming.",We proposed an innovative method of using code and development process review in teaching programming skills.,Relevância alta para a revisão. Propõe método reutilizável.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor; ameaça de generalização para contexto industrial.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Desenvolvimento/codificação, qualidade e testes.",Logs de ide.,Mineração de processos.,"RQ1, RQ2",IC4a,"Design/Arquitetura, Desenvolvimento, Qualidade/Testes",L1,Alta
Applied process mining in software development,Applied_process_mining_in_software_devel.pdf,10.1109/SACI.2014.6840098,"Current study uses the event process logs of a custom software development process used internally in the IT department of a large automotive company. The target is to extract hidden information about the process, difficult to identify due to the wideness and complexity of the input data. The log file contains all incident records tracked during one release of a software product. This analysis was performed using process mining techniques and tools included in ProM Framework, an academic project of the Eindhoven Technical University. The paper describes the steps followed to extract the working process model, organizational network and statistical information.","Some answers are obtained by applying process mining techniques on an exported, standardized and filtered dataset created during the software development process execution. Some statements still remain deeply hidden in the dataset.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Entrega e devops.,Logs de ide.,Mineração de processos.,"RQ2, RQ3",IC4a,Entrega/DevOps,L1,Alta
Applying Process Mining: The Reality of a Software Development SME,applsci-14-01402-with-cover.pdf,10.3390/app14041402,"One of the challenges the organizations confront is to extract data from the information systems to know the reality of their processes to improve their efficiency. In this study, the application of Process Mining is addressed as an opportunity in the specific context of an SME dedicated to software development, implementing the L* life cycle model methodology from a layered Software Engineering approach. This research is carried out based on process improvement in an initial SME project. Subsequently, it is compared with a second project, using different Process Mining perspectives such as control flow, case, organization, and time, with the aim of extending the process model. This holistic view allows not only to better understand the processes involved, but also to identify and analyze the similarities and differences between the two projects.",One of the challenges the organizations confront is to extract data from the information systems to know the reality of their processes to improve their efficiency. This research is carried out based on process improvement in an initial SME project.,Relevância alta para a revisão. Propõe método reutilizável.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Contexto de processo de software não identificado com clareza na extração automática.,Logs de ide.,Mineração de processos.,RQ2,IC4a,Não definido,L1,Alta
Architecting software monitors for control-flow anomaly detection through large language models and conformance checking,1-s2.0-S0950584926001229-main.pdf,10.1016/j.infsof.2026.108133,,"Although systems are validated at design time, their behavior can be different at runtime, possibly showing control-flow anomalies due to ‘‘unknown unknowns’’. The resulting event logs are analyzed via conformance checking, an explainable and effective technique for control-flow anomaly detection. Results: We test the methodology on a case-study scenario from the European Railway Traffic Management System/European Train Control System (ERTMS/ETCS), which is a railway standard for modern interoperable railways. The results obtained from the ERTMS/ETCS case study demonstrate that LLM-based source-code instrumentation can achieve up to 82.849% control-flow coverage of the reference design-time process model, while the subsequent conformance checking-based anomaly detection reaches a peak performance of 95.957% F1-score and 93.669% AUC.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Qualidade e testes.,Fonte dos dados não identificada com clareza na extração automática.,Mineração de processos.,RQ2,IC4a,"Design/Arquitetura, Qualidade/Testes",L1,Alta
Assessing Agile Software Development Processes with Process Mining: A Case Study,marques18assessing.pdf,10.1109/CBI.2018.00021,"Software development is a growing industry with increasingly more complex projects. Agile methodologies, such as Scrum, have emerged in part to address this challenge. Agile focuses on a set of best practices rather than a standardized process, which makes it difficult to assess whether it is being properly implemented in an organization. In this work, we analyze the feasibility of using process mining to evaluate the implementation of Scrum practices based on event logs collected from a case-handling system. A case study was conducted in an IT organization that uses Jira Software to manage its projects.","It shows how far one can go in using process mining to assess the implementation of agile methodologies. This will be of interest not only to researchers in this field, but also to organizations who are looking forward to improve their software development processes. After an overview of related work, we present the case study that has been carried out through several stages, including planning, data extraction and processing, mining and analysis activities, and results evaluation. After discussing the results, the main conclusions are presented.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, estudo de caso.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; forte dependência da qualidade e cobertura dos logs/dados.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Contexto de processo de software não identificado com clareza na extração automática.,Issue tracker.,Mineração de processos.,RQ2,"IC4a, IC4d",Não definido,L1,Alta
Assessing Software Development Teams' Efficiency using Process Mining,588a19f5_assessing_software_development_teams_efficiency_us.pdf,10.1109/ICPM.2019.00020,"Improving the efficiency and effectiveness of software development projects implies understanding their actual process. Given the same requirements specification, different software development teams may follow different strategies and that may lead to inappropriate use of tools or non-optimized allocation of effort on spurious activities, non-aligned with the desired goals. However, due to its intangibility, the actual process followed by each developer or team is often a black box. The overall goal of this study is to improve the knowledge on how to measure efficiency in development teams where a great deal of variability may exist due to the humanfactor. The main focus is on the discovery of the underlying processes and compare them in terms of efficiency and effectiveness.",Improving the efficiency and effectiveness of software development projects implies understanding their actual process. The overall goal of this study is to improve the knowledge on how to measure efficiency in development teams where a great deal of variability may exist due to the humanfactor. The main focus is on the discovery of the underlying processes and compare them in terms of efficiency and effectiveness.,Relevância alta para a revisão. Inclui componente analítico avançado.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia.",Tipo de evidência indefinido a partir da extração automática.,Limitações não ficaram explícitas no texto extraído; convém validar na leitura completa.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Engenharia de requisitos.,Fonte dos dados não identificada com clareza na extração automática.,Mineração de processos.,"RQ1, RQ2",IC4a,Requisitos,L1,Alta
Assessing the risk of software development in agile methodologies using simulation,Assessing_the_Risk_of_Software_Development_in_Agile_Methodologies_Using_Simulation.pdf,10.1109/ACCESS.2021.3115941,"Agile methodologies aim to reduce software development risk using short iterations, featuredriven development, continuous integration, testing automation, and other practices. However, the risk of project failure or time and budget overruns is still a relevant problem. This paper aims to present and discuss a new approach to model some key risk factors in agile development, using software process simulation modeling (SPSM), which can complement other approaches, and whose usage is particularly suited for agile development. We introduce a new approach to modeling some key risk factors – namely project duration, number of implemented issues, and key statistics of issue completion time – using a simulator of agile development, which we developed for this purpose. The approach includes modeling the agile process, gathering data from the tool used for project management, and performing Monte Carlo simulations of the process, to get insights about the expected time and effort to complete the project, and about their distributions.","Starting from the analysis of three real projects tracked on JIRA, we made four different types of analysis with four scenarios. Lunesu et al.: Assessing Risk of Software Development in Agile Methodologies Using Simulation",Relevância alta para a revisão. Traz validação empírica.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Simulação, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Estudo empírico com dados reais.,Dependência de modelagem e premissas do autor; forte dependência da qualidade e cobertura dos logs/dados.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Qualidade e testes, entrega e devops.","Issue tracker, pipeline ci/cd.",Simulação.,"RQ1, RQ2, RQ3","IC4b, IC4c, IC4d","Qualidade/Testes, Entrega/DevOps",L1,Alta
Automatic Real-Time Mining Software Process Activities From SVN Logs Using a Naive Bayes Classifier,f16294f2_automatic_real_time_mining_software_process_activi.pdf,10.1109/ACCESS.2019.2945608,"The abundance of event data in current software configuration management systems makes it possible to discover software process models automatically by using actual observed behavior. However, traditional process mining algorithms cannot be applied to event logs recorded in software configuration management (SCM) systems, such as SVN, because of missing activity attributes. To address this problem, a software process activity classifier is proposed to build event-activity mapping relationships from software development event streams, revealing activity attributes and associating the activity to the original SVN log. The proposed approach extracts activity from the SVN log based on semantic features and introduces a novel technique based on a naive Bayes approach to associate event activities dynamically. The approach has been applied to two real-world software development process logs, ArgoUML and jEdit, consisting of more than 80,000 events, covering development information from 1998 to 2015. With the application of our approach to such data, activities can be extracted from event logs and a classifier can be constructed for adding activity attributes to new events. The results of the classification are evaluated in terms of precision rate, recall rate, and the F-measure. Overall, two real-world software development process logs are used to validate the method, and the experimental results show that the approach can mine software process activities from SVN log events automatically and in real-time.","The results of the classification are evaluated in terms of precision rate, recall rate, and the F-measure. Overall, two real-world software development process logs are used to validate the method, and the experimental results show that the approach can mine software process activities from SVN log events automatically and in real-time.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Entrega e devops.,Repositório/vcs.,Mineração de processos.,"RQ1, RQ2",IC4a,Entrega/DevOps,L1,Alta
Automating Process Discovery through Event-Data Analysis,225014.225021.pdf,10.1145/225014.225021,"Many software process methods and tools presuppose the existence of a formal model of a process. Unfortunately, developing a formal model for an on-going, complex process can be dificult, costly, and error prone. This presents a practical barrier to the adoption of process technologies. The barrier would be lowered by automatmg the creation of formal models. We are currently exploring techniques that can use basic event data captured from an on-going process to generate a formal model of process behavior. We term this kind of data analysis process discovery. Thts paper descrbes and illustrates three methods with whzch we have been experimenting: algorithmic grammar inference, Markov models, and neural networks.","supporting automation 20, [9], improving In aspects on discovering models rather on Many of [4, 27, 12, ships covering the [3, 19], and existence of some for technologies in order those sort in The need to develop a formal is a daunting prospect projects. with an evaluation of their relative Finally, we conclude in Section 5 with results work, 73 next engineer’s ourselves of behavioral purely collection to uncover greater detail of the process. they results a relationor on dis automated, the efof of the agents models the To our of the process comes meet. data the process come those scope process, The strategy is to in barriers for from whether and be devised data entry form inherent of course, improvement this or unknown, or erratic) on the methods term because can lower of a process We known stable to exploring model process.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Cadeia de markov, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Contexto de processo de software não identificado com clareza na extração automática.,Fonte dos dados não identificada com clareza na extração automática.,Mineração de processos.,"RQ1, RQ2","IC4a, IC4b",Não definido,L2,Alta
Comparative Analysis of AI Software and Traditional Software GitHub Repositories Using Process Mining,3421.pdf,10.15439/2025F3421,"This study conducts a comparative analysis of Artificial Intelligence (AI) software and traditional GitHub repositories, focusing on workflow efficiency and sentiment dynamics. Using process mining and sentiment analysis techniques, we examine repositories from eight prominent projects, encompassing diverse datasets of issues and pull requests filtered for relevance and consistency. Our findings reveal that AI software repositories exhibit different workflow patterns and sentiment dynamics compared to traditional repositories. Sentiment analysis uncovers that contributors to AI software repositories experience more positive sentiment dynamics, likely reflecting structured workflows and collaborative tools. Conversely, traditional repositories exhibit longer resolution times and more fluctuating sentiment patterns, which may indicate higher complexity or less automation. These insights provide valuable recommendations for optimizing repository management, fostering contributor satisfaction, and improving collaborative software development environments.","Our findings reveal that AI software repositories exhibit different workflow patterns and sentiment dynamics compared to traditional repositories. Conversely, traditional repositories exhibit longer resolution times and more fluctuating sentiment patterns, which may indicate higher complexity or less automation. These insights provide valuable recommendations for optimizing repository management, fostering contributor satisfaction, and improving collaborative software development environments.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia.",Tipo de evidência indefinido a partir da extração automática.,Forte dependência da qualidade e cobertura dos logs/dados.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Desenvolvimento/codificação.,"Issue tracker, repositório/vcs, logs de ide.",Mineração de processos.,"RQ1, RQ2","IC4a, IC4d",Desenvolvimento,L1,Alta
Comparative Study of Reinforcement Learning in GitHub Pull Request Outcome Predictions,Comparative_Study_of_Reinforcement_Learning_in_GitHub_Pull_Request_Outcome_Predictions.pdf,10.1109/SANER60148.2024.00057,"In the rapidly evolving field of software development, pull-based development models, facilitated by tools such as GitHub, are essential for collaboration. This study explores factors that influence pull request (PR) outcomes and employs two Reinforcement Learning (RL) formalizations, modeled as Markov Decision Processes, for PR outcome prediction. The first model leverages 72 PR features and achieves a G-mean score of 0.82664, while the second focuses solely on PR discussions, resulting in a G-mean of 0.88372. Using a specially designed reward function, these RL formalizations strategically address data imbalance and excel in mimicking both single-stage and multi-stage PR review processes. They outperform baseline models (Random Forest, X G Boost, and a Naive Bayes baseline) across various data splits-namely 80/20, 50/50, and 20/80-and are particularly effective at predicting PR rejections. The study also makes its datasets publicly available for future research.","The first model leverages 72 PR features and achieves a G-mean score of 0.82664, while the second focuses solely on PR discussions, resulting in a G-mean of 0.88372. They outperform baseline models (Random Forest, X G Boost, and a Naive Bayes baseline) across various data splits-namely 80/20, 50/50, and 20/80-and are particularly effective at predicting PR rejections.",Relevância alta para a revisão. Traz validação empírica.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Cadeia de markov, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor; forte dependência da qualidade e cobertura dos logs/dados.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Desenvolvimento/codificação, qualidade e testes.",Repositório/vcs.,Cadeia de Markov.,"RQ1, RQ2","IC4b, IC4c, IC4d","Design/Arquitetura, Desenvolvimento, Qualidade/Testes",L1,Alta
Connecting software reliability growth models to software defect tracking,10221046.pdf,10.1109/ISSRE5003.2020.00022,"Traditional software reliability growth models only consider defect discovery data, yet the practical concern of software engineers is the removal of these defects. Most attempts to model the relationship between defect discovery and resolution have been restricted to differential equation-based models associated with these two activities. However, defect tracking databases offer a practical source of information on the defect lifecycle suitable for more complete reliability and performance models. This paper explicitly connects software reliability growth models to software defect tracking. Data from a NASA project has been employed to develop differential equation-based models of defect discovery and resolution as well as distributional and Markovian models of defect resolution.","The ideal outcome is a virtuous cycle in which modelers equip practitioners with practical inferences of high concern to inform process improvement and practitioners enhance data collection to support the livelihood of modelers. [8] used a non-homogeneous continuous time Markov chain to model various repair scenarios, analyzing the effect of fault removal policies on the number of defects remaining at the end of the test. The results suggest that the simple distributional approach achieves the best tradeoff between these two performance measures, but that enhanced data collection practices could improve the utility of the more advanced approaches and the inferences they enable. However, the Markovian model provides insight into the defect lifecycle and improved data collection practices may increase its attractiveness.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Cadeia de markov, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Qualidade e testes.,Logs de ide.,Cadeia de Markov.,RQ2,IC4b,Qualidade/Testes,L1,Alta
Constructing a Hybrid Software Process Simulation Model in Practice: An Exemplar from Industry,3379177.3388906.pdf,10.1145/3379177.3388906,"Background: Software Process Simulation Modeling (SPSM) is of paramount importance to support quantitative management of software development process. Hybrid process simulation combines multiple simulation paradigms to reflect complex changes in realistic software processes, which brings inherent challenges to process management. Constructing a hybrid model requires more modeling expertise and experience than modeling by solo-paradigm. However, a few studies explicitly discuss the challenges they encountered as a topic, which may discourage practitioners. Objective: Our aim in this study is to present an industrial process modeling project as an exemplar to demonstrate and discuss the technical issues and challenges associated with hybrid process simulation in practice. Method: Based on the collaboration with a global software enterprise, we constructed a hybrid process simulation model that combines System Dynamics (SD) and Discrete Event Simulation (DES) to predict the project duration and release date for management. Results: Several challenges around hybrid process simulation of software development process are identified and discussed with the proposal of sets of solutions from different perspectives. The model is validated by comparing the simulation result with the actual enactment of the process in industry. In addition, the result confirms the rationality and efficacy of the suggested solutions to some extent. Conclusions: In the collaboration with the enterprise, five-step modeling procedure was adopted for constructing the hybrid process model. The experience reported about the detailed steps of hybrid modeling may offer reference value to the SPSM community.","Results: Several challenges around hybrid process simulation of software development process are identified and discussed with the proposal of sets of solutions from different perspectives. The model is validated by comparing the simulation result with the actual enactment of the process in industry. In addition, the result confirms the rationality and efficacy of the suggested solutions to some extent.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Simulação, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Estudo empírico com dados reais.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Entrega e devops.,"Issue tracker, logs de ide.",Simulação.,"RQ1, RQ2",IC4b,Entrega/DevOps,L1,Alta
DEVELOPMENT OF A TOOLKIT FOR ANALYZING SOFTWARE DEBUGGING PROCESSES USING THE CONSTRUCTIVE APPROACH,15c9808b_development_of_a_toolkit_for_analyzing_software_de.pdf,10.15587/1729-4061.2020.215090,"The EventType listing contains all possible types of events that are being tracked. 2 shows the architecture of a top-level, developed software tool. 2 shows two main components: Debug Event Tracker and Debug Event Analyzer. Debug Event Tracker is an extension to Microsoft Visual Studio, written in C#. The component is responsible for collecting data from the current project debugging sessions and sending them to a remote server.","2 shows the architecture of a top-level, developed software tool. 2 shows two main components: Debug Event Tracker and Debug Event Analyzer.",Relevância média para a revisão. Propõe método reutilizável.,"Média: relação indireta com a SLR, mais útil como contexto, método adjacente ou estudo complementar.","Apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Limitações não ficaram explícitas no texto extraído; convém validar na leitura completa.,talvez,"Relaciona-se a software, mas a técnica principal extraída não evidencia com clareza mineração de processos ou modelagem estocástica.",Qualidade e testes.,Fonte dos dados não identificada com clareza na extração automática.,IA/NLP/aprendizado de máquina.,RQ1,EC3?,"Design/Arquitetura, Qualidade/Testes",L0,Média
Detecting Bottleneck and Fraud in Agile Development by using Petri net Performance and Trace Clustering,Detecting_Bottleneck_and_Fraud_in_Agile_Development_by_using_Petri_net_Performance_and_Trace_Clustering.pdf,10.1109/ISEMANTIC.2019.8884226,"Software Development Life Cycle model is one of the basic idea of the software development. SDLC is a continuous process, the cycle starts from the moment when it is decide to release the project, and it ends when its full remove from the exploitation. Agile is one of the mostly used SDLC models. Combination of incremental and iterative process models with a focus on process customer satisfaction and can adapt to rapid delivery of working sofware is called Agile SDLC. This contribution of this paper is evaluating the performance, such as occurring bottleneck and fraud, of an Agile model to handle the management of the project. This paper uses Petri net to analyze Agile SDLC model performance. The petri net use to detect the bottleneck that occur in the model. If an event has longer waiting time tahen others, it can identify that the bottleneck occur in that task. Then, the fraud is detected based on trace clustering. Based on the experiment, the cluster which has lowest member is indicates as fraud processes.","Based on the experiment, the cluster which has lowest member is indicates as fraud processes.",Relevância alta para a revisão. Traz validação empírica.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Rede de petri, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Entrega e devops.,Logs de ide.,Rede de Petri estocástica.,RQ2,IC4b,Entrega/DevOps,L1,Alta
Detecting Sudden Drift for Single-Instance Log in Software Development Process,Detecting_Sudden_Drift_for_Single-Instance_Log_in_Software_Development_Process.pdf,10.1109/PHM-Besancon49106.2020.00069,"The current algorithm for detecting drift in the business process can only detect the drift of the log of multi-instance. However, the log generated in the software development process is mainly single-instance. Hence, this paper proposes an algorithm for detecting sudden drift of the log of single-instance. First, we apply the LDA topic model for the topic extraction of log in the software development process to obtain the log of single-instance. Then the location of the drift point of the single-instance log can be detected according to the change of the lowest frequency of direct successor relation. Finally, the location numbers of the actual drift points were obtained by corresponding to original data. Multiple sets of simulated data evaluate this algorithm. The results show that this algorithm can effectively detect the sudden drift location of the single-instance log in the software development process.",The results show that this algorithm can effectively detect the sudden drift location of the single-instance log in the software development process.,Relevância média para a revisão. Propõe método reutilizável.,"Média: relação indireta com a SLR, mais útil como contexto, método adjacente ou estudo complementar.","Apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,talvez,"Relaciona-se a software, mas a técnica principal extraída não evidencia com clareza mineração de processos ou modelagem estocástica.",Contexto de processo de software não identificado com clareza na extração automática.,Fonte dos dados não identificada com clareza na extração automática.,IA/NLP/aprendizado de máquina.,RQ1,EC3?,Não definido,L0,Média
DevOps workflow verification and duration prediction using non-Markovian stochastic Petri nets,DevOps_workflow_verification_and_duratio.pdf,10.1002/smr.2329,"In this paper, we provide a non-Markovian Stochastic Petri Net (SPN) model for 2 Conservatoire national des arts et métiers, CEDRIC-CNAM, 2, rue Conté 75141 Paris Cedex 03, Paris, 75141, France Correspondence Walid Ben Mesmia, SySCom-ENIT, Tunis, Tunisia. Email: benmesmiawalid77@yahoo.fr DevOps workflow specification, and we determine how business processes are carried out. After describing our model semantics, we show how general properties related to liveness and safety can be checked. After that, we provide several extensions on SPNs (SPN) the notation and expressivity to check some specific properties related to actors' (Developers and Operators) availability, interactions between the actors, and execution failures detection linked to the DevOps steps. Next, we validate the proposed model relevance with MATLAB simulation through a specific DevOps case study.","After describing our model semantics, we show how general properties related to liveness and safety can be checked.",Relevância alta para a revisão. Traz validação empírica.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Simulação, rede de petri, cadeia de markov, apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Entrega e devops.,Logs de ide.,Cadeia de Markov.,"RQ1, RQ2","IC4b, IC4c",Entrega/DevOps,L1,Alta
