internal_id,title,doi,year,source_db,abstract,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,raw,abstract_source,abstract_match_type
6f62c847,Performance evaluation with asynchronously decomposable SWN: implementation and case study,10.1109/PNPM.2003.1231539,2003,ieee,"Modern systems involve more and more complex interactions leading to very large models. In the area of Stochastic Petri Nets, standard approaches are to use High Level Stochastic Petri Nets and/or some kind of compositionality to cope with this increasing complexity. In this paper we present an experimental implementation of the asynchronous decomposition method for Stochastic Well formed Nets (SWN), a class of Stochastic High level Petri nets. The method combines the Multi-valued Decision Diagram methods for structured Markov chains with the theoretical results for decomposable SWN. This implementation allows us to compute performance indices for very large and very symmetric systems. We apply our tool to the analysis of a complex Manufacturing System.",maybe,"O título menciona SWN (Stochastic Workflow Nets) e modelagem estocástica, sugerindo potencial relevância para IC2 (modelagem estocástica em processos). Porém, sem abstract disponível e sendo de 2003 (período anterior à consolidação de process mining em SE), é impossível confirmar se o foco é em processos de software ou em domínios genéricos de BPM/manufatura.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título menciona SWN (Stochastic Workflow Nets) e modelagem estocástica, sugerindo potencial relevância para IC2 (modelagem estocástica em processos). Porém, sem abstract disponível e sendo de 2003 (período anterior à consolidação de process mining em SE), é impossível confirmar se o foco é em processos de software ou em domínios genéricos de BPM/manufatura."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""stochastic_modeling"",",openalex,doi_exact
9f1c5160,Mining the Organisational Perspective in Agile Business Processes,10.1007/978-3-319-19237-6_3,2015,snowball,,maybe,"Título sugere análise de processos de negócio ágeis com perspectiva organizacional, potencialmente relevante para process mining em SW, mas abstract ausente impede confirmação de aplicação a processos de desenvolvimento de software e presença de métodos estocásticos/forecasting.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere análise de processos de negócio ágeis com perspectiva organizacional, potencialmente relevante para process mining em SW, mas abstract ausente impede confirmação de aplicação a processos de desenvolvimento de software e presença de métodos estocásticos/forecasting."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""uncl",,
602e0794,Conformance Checking of Software Development Processes Through Process Mining.,,2011,snowball,,maybe,"Título indica claramente conformance checking em processos de desenvolvimento de software via process mining (alinha-se a IC1), mas o resumo está indisponível, impossibilitando validação de escopo, método e contexto de aplicação. Requer verificação de texto completo.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título indica claramente conformance checking em processos de desenvolvimento de software via process mining (alinha-se a IC1), mas o resumo está indisponível, impossibilitando validação de escopo, método e contexto de aplicação. Requer verificação de texto completo."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""softwar",,
e57f13f7,Uses of business process modeling in agile software development projects,10.1016/j.infsof.2022.107028,2022,snowball,,maybe,"Título sugere relevância a processos de SW em contexto ágil, mas abstract ausente impede avaliação definitiva. Não há evidência clara de process mining, modelagem estocástica ou forecasting necessários para inclusão.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere relevância a processos de SW em contexto ágil, mas abstract ausente impede avaliação definitiva. Não há evidência clara de process mining, modelagem estocástica ou forecasting necessários para inclusão."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process",,
7f8d2b91,Toward metrics for process validation,10.1109/spcon.1994.344426,2002,snowball,"To a great extent, the usefulness of a formal model of a software process lies in its ability to accurately predict the behavior of the executing process. Similarly, the usefulness of an executing process lies largely in its ability to fulfil the requirements embodied in a formal model of the process. When process models and process executions diverge, something significant is happening. We are developing techniques for uncovering discrepancies between models and executions under the rubric of process validation. Further, we are developing metrics for process validation that give engineers a feel for the severity of the discrepancy. We view the metrics presented here as a first step toward a suite of useful metrics for process validation.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>",maybe,"O paper trata de validação de processos de software comparando modelos formais com execuções reais, o que é próximo ao escopo de process mining (conformance checking). Porém, o abstract é ausente/não verificado e não fornece detalhes suficientes sobre métodos, dados ou aplicações concretas. Requer full text para confirmar inclusão ou exclusão.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O paper trata de validação de processos de software comparando modelos formais com execuções reais, o que é próximo ao escopo de process mining (conformance checking). Porém, o abstract é ausente/não verificado e não fornece detalhes suficientes sobre métodos, dados ou aplicações concretas. Requer full text para confirmar inclusão ou exclusão."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstra",,
b9595838,Software process modeling languages: A systematic literature review,10.1016/j.infsof.2013.10.001,2013,snowball,"Context: Organizations working in software development are aware that processes are very important assets as well as they are very conscious of the need to deploy well-defined processes with the goal of improving software product development and, particularly, quality. Software process modeling languages are an important support for describing and managing software processes in software-intensive organizations. Objective: This paper seeks to identify what software process modeling languages have been defined in last decade, the relationships and dependencies among them and, starting from the current state, to define directions for future research. Method: A systematic literature review was developed. 1929 papers were retrieved by a manual search in 9 databases and 46 primary studies were finally included. Results: Since 2000 more than 40 languages have been first reported, each of which with a concrete purpose. We show that different base technologies have been used to define software process modeling languages. We provide a scheme where each language is registered together with the year it was created, the base technology used to define it and whether it is considered a starting point for later languages. This scheme is used to illustrate the trend in software process modeling languages. Finally, we present directions for future research. Conclusion: This review presents the different software process modeling languages that have been developed in the last ten years, showing the relevant fact that model-based SPMLs (Software Process Modeling Languages) are being considered as a current trend. Each one of these languages has been designed with a particular motivation, to solve problems which had been detected. However, there are still several problems to face, which have become evident in this review. This let us provide researchers with some guidelines for future research on this topic.",maybe,"Título sugere relevância potencial a modelagem de processos de software, mas abstract ausente impede avaliação conclusiva. SLR genérica sobre linguagens de modelagem pode ou não intersectar com process mining, estocástico e forecasting do escopo PATHCAST.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere relevância potencial a modelagem de processos de software, mas abstract ausente impede avaliação conclusiva. SLR genérica sobre linguagens de modelagem pode ou não intersectar com process mining, estocástico e forecasting do escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ",semanticscholar,doi_exact
d50fcf26,SIMKIT – a software process simulation model construction kit in support of empirical research,,2006,snowball,"Software production has become one of the largest industries in the world economy today, and in terms of key indicators growth rates in recent years it ranks first among all major industries. In conditions of significantly limited availability of software solutions from foreign manufacturers, the supply from domestic software manufacturers is increasing and, as a result, the need for models and methods that allow you to control the software development process, guarantee the cost of development, timing and quality of the result. The uniqueness of the industry does not allow us to count on the success of using traditional project management models in software projects, especially with regard to quantitative assessments of project parameters. The main differences from other types of project management are that the result of a software development project is intangible, the technologies used in the project change rapidly, and the experience of managing a separate software development project is often not applicable to other projects. The fundamental difference between software development projects and other complex projects is related to the features of the key stage – software construction, including coding and debugging, as well as verification, modular and integration testing. Errors made at the software construction stage have the most significant impact on the project result, since they increase the initially planned amount of work. In the known models of the software development process, the amount of work is considered initially specified, and the construction stage is not allocated as a separate circuit determine the stochastic nature of the work amount. The goal of this paper is to build a simulation model of the software construction process, taking into account the dependencies according to which the main parameters of the simulated process change over time. The model provides an opportunity to quantify and optimize project parameters according to a selected criterion (one or more). The model is built within the framework of a system-dynamic approach; the AnyLogic system is used as a simulation environment. The results of simulation experiments are presented to demonstrate the possibility of using the proposed model to study the software construction process or as a mechanism to support managerial decision-making.",maybe,"Título sugere ferramenta para simulação de processos de software (potencialmente IC2), mas abstract está ausente. Sem resumo verificável, não é possível confirmar se SIMKIT efetivamente aplica modelagem estocástica a processos de SW ou se é apenas uma ferramenta genérica de BPM. Requer full text para decisão definitiva.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere ferramenta para simulação de processos de software (potencialmente IC2), mas abstract está ausente. Sem resumo verificável, não é possível confirmar se SIMKIT efetivamente aplica modelagem estocástica a processos de SW ou se é apenas uma ferramenta genérica de BPM. Requer full text para decisão definitiva."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""stochastic_modeling"",
    ""simulation"",
    ""software_process",crossref,title_fuzzy
62e81816,SDL based approach to software process modeling,10.1007/bfb0095028,2000,snowball,,maybe,"Título indica modelagem de processo de software (SDL), potencialmente relevante para IC2 ou IC4, mas abstract ausente impossibilita confirmação segura de escopo, método estocástico ou dados utilizados. Requer full text para decisão definitiva.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título indica modelagem de processo de software (SDL), potencialmente relevante para IC2 ou IC4, mas abstract ausente impossibilita confirmação segura de escopo, método estocástico ou dados utilizados. Requer full text para decisão definitiva."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecas",,
7f497573,Software Process Simulation Modeling: An Extended Systematic Review,10.1007/978-3-642-14347-2_27,2010,snowball,"Software Process Simulation Modeling (SPSM) research has increased in the past two decades, especially since the first ProSim Workshop held in 1998. Our research aims to systematically assess how SPSM has evolved during the past 10 years in particular whether the purposes for SPSM, the simulation paradigms, tools, research topics, and the model scopes and outputs have changed. We performed a systematic literature review of the SPSM research in two subsequent stages, and identified 156 relevant studies in four categories. This paper reports the review process of the second stage and the preliminary results by aggregating studies from the two stages. Although the load of SPSM studies was dominated in ProSim/ICSP community, the outside research presented more diversity in some aspects. We also perceived an immediate need for refining and updating the reasons and the classification scheme for SPSM introduced by Kellner, Madachy and Raffo (KMR).",maybe,"Título fortemente sugestivo de relevância para SLR PATHCAST (software process simulation modeling alinha-se com IC2 e IC3), porém abstract ausente impede confirmação de escopo, métodos e avaliação em artefatos reais de SW. Trata-se de uma revisão sistemática anterior (2010) que pode incluir estudos relevantes, mas necessita verificação de full text.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título fortemente sugestivo de relevância para SLR PATHCAST (software process simulation modeling alinha-se com IC2 e IC3), porém abstract ausente impede confirmação de escopo, métodos e avaliação em artefatos reais de SW. Trata-se de uma revisão sistemática anterior (2010) que pode incluir estudos relevantes, mas necessita verificação de full text."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""stochastic_modeling"",
    ""soft",semanticscholar,doi_exact
13983127,Software Process Simulation Modelling,10.1016/s0164-1212(01)00063-2,2001,snowball,,maybe,"O título é altamente relevante (Software Process Simulation Modelling), sugerindo forte alinhamento com IC2 (modelagem estocástica em processos de SW). Contudo, o abstract está ausente, impossibilitando confirmação de escopo específico, aplicação a artefatos reais de SW ou métodos concretos utilizados.",IC2,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título é altamente relevante (Software Process Simulation Modelling), sugerindo forte alinhamento com IC2 (modelagem estocástica em processos de SW). Contudo, o abstract está ausente, impossibilitando confirmação de escopo específico, aplicação a artefatos reais de SW ou métodos concretos utilizados."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""simulation"", ""insufficient_abstract"", ""full_text_require",,
4d088b6b,Studying Lean-Kanban Approach Using Software Process Simulation,10.1007/978-3-642-20677-1_2,2011,snowball,,maybe,"Título fortemente sugestivo de IC2 (modelagem estocástica em processos de SW) e potencialmente IC3 (forecasting), mas abstract ausente impede confirmação. A simulação de processo Lean-Kanban em contexto de software é relevante ao escopo, mas sem detalhes do resumo não se pode verificar se realmente endereça process mining, métricas de forecasting ou dados de repositório.",IC2|IC3,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título fortemente sugestivo de IC2 (modelagem estocástica em processos de SW) e potencialmente IC3 (forecasting), mas abstract ausente impede confirmação. A simulação de processo Lean-Kanban em contexto de software é relevante ao escopo, mas sem detalhes do resumo não se pode verificar se realmente endereça process mining, métricas de forecasting ou dados de repositório."",
  ""matched_ic"": [
    ""IC2"",
    ""IC3""
  ],
  ""matched_ec"": [],
  ""evidence",,
4109251d,Planning Software Project Success with Semi-Quantitative Reasoning,10.1109/aswec.2007.38,2007,snowball,"Software process modeling and simulation hold out the promise of improving project planning and control. However, purely quantitative approaches require a very detailed understanding of the software project and process, including reliable and precise project data. Contemporary project management defines the success of project as a box or hyper-cube, rather than the traditional single point, which allows the planning for software project success semi-quantitatively with uncertainty-tolerance. This paper introduces semi-quantitative reasoning into software project planning and develops a practical approach to enhance the confidence of project success under the uncertainty and contingency. We illustrate its value and flexibility by a simplified software process model focusing on staffing issues.",maybe,"O paper trata de modelagem e simulação de processos de software com abordagem semi-quantitativa, o que sugere relevância potencial para IC2 (modelagem estocástica) e IC3 (forecasting). Porém, o abstract é marcado como 'missing_or_unverified' e o texto disponível é insuficiente para confirmar se realmente aplica técnicas estocásticas formais (Markov, Monte Carlo, etc.) ou se utiliza dados de event ",IC2|IC3,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O paper trata de modelagem e simulação de processos de software com abordagem semi-quantitativa, o que sugere relevância potencial para IC2 (modelagem estocástica) e IC3 (forecasting). Porém, o abstract é marcado como 'missing_or_unverified' e o texto disponível é insuficiente para confirmar se realmente aplica técnicas estocásticas formais (Markov, Monte Carlo, etc.) ou se utiliza dados de event logs/repositórios. A menção a 'staffing issues' e '",,
