internal_id,title,doi,year,source_db,ta_decision,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,raw
d5718074,Process Mining from Jira Issues at a Large Company,10.1109/ICSME58846.2023.00055,2023,ieee,include,include,"O paper aplica process mining a artefatos de software (Jira issues e repositórios) para descobrir e analisar workflows reais de desenvolvimento, atendendo claramente IC1 (PM em software) e IC4 (mineração de repositórios para processo). Nenhum critério de exclusão se aplica.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica process mining a artefatos de software (Jira issues e repositórios) para descobrir e analisar workflows reais de desenvolvimento, atendendo claramente IC1 (PM em software) e IC4 (mineração de repositórios para processo). Nenhum critério de exclusão se aplica."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""software_process"",
    ""repository_mining"",
    ""issue_tracking"",
    ""v"
aba297a9,Design of Intelligent Business Process System and Process Remodeling,10.1109/ICICTA.2008.131,2008,ieee,maybe,exclude,"O artigo trata de process mining e Markov matrix em contexto genérico de 'business process management', sem qualquer indicação de aplicação específica a processos de desenvolvimento de software. A ausência de contexto SW (repositórios, CI/CD, issues, commits) e a generalidade do termo 'business process' levam à caracterização como EC1 — domínio fora de SW.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de process mining e Markov matrix em contexto genérico de 'business process management', sem qualquer indicação de aplicação específica a processos de desenvolvimento de software. A ausência de contexto SW (repositórios, CI/CD, issues, commits) e a generalidade do termo 'business process' levam à caracterização como EC1 — domínio fora de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC1""
  ],
  ""evidence_tags"": [
    ""process_m"
1c073179,A New Process Mining Algorithm Based on Event Type,10.1109/DASC.2011.186,2011,ieee,maybe,exclude,"O artigo apresenta um algoritmo genérico de process mining para descoberta de modelos de workflow a partir de event logs, sem aplicação específica demonstrada a processos de software ou artefatos de desenvolvimento de SW (commits, issues, PR, CI/CD). Atende formalmente IC1, mas EC3 aplica-se: é um método teórico de algoritmo de PM sem avaliação ou menção a contexto de software. O domínio não é exp",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo apresenta um algoritmo genérico de process mining para descoberta de modelos de workflow a partir de event logs, sem aplicação específica demonstrada a processos de software ou artefatos de desenvolvimento de SW (commits, issues, PR, CI/CD). Atende formalmente IC1, mas EC3 aplica-se: é um método teórico de algoritmo de PM sem avaliação ou menção a contexto de software. O domínio não é explicitamente software engineering."",
  ""matched_ic"
0ffa4684,Egidio: A non-invasive approach for synthesizing organizational models,10.1109/ICSE.2012.6227062,2012,ieee,include,include,"O paper apresenta Egidio, uma ferramenta que aplica process mining para extrair modelos de processos de desenvolvimento de software a partir de dados coletados não-invasivamente. Atende claramente IC1 (process mining aplicado a artefatos/ambientes de software) e IC4 (mineração de dados de organizações de software para descoberta de processos). Não há evidência de EC decisivo.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper apresenta Egidio, uma ferramenta que aplica process mining para extrair modelos de processos de desenvolvimento de software a partir de dados coletados não-invasivamente. Atende claramente IC1 (process mining aplicado a artefatos/ambientes de software) e IC4 (mineração de dados de organizações de software para descoberta de processos). Não há evidência de EC decisivo."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"
04657923,Monitoring of Microservices Architecture based Applications using Process Mining,10.23919/INDIACom54597.2022.9763155,2022,ieee,include,exclude,"O artigo foca em monitoramento de arquitetura de microserviços usando distributed tracing e process mining. Embora mencione 'process mining techniques', o objetivo é monitoramento operacional em tempo real (application/business layer monitoring), não descoberta de processos de desenvolvimento de software, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo foca em monitoramento de arquitetura de microserviços usando distributed tracing e process mining. Embora mencione 'process mining techniques', o objetivo é monitoramento operacional em tempo real (application/business layer monitoring), não descoberta de processos de desenvolvimento de software, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de repositórios para entender processos de desenvol"
401a546c,A Method for Goal Model Repair Based on Process Mining,10.1109/SNPD.2019.8935771,2019,ieee,maybe,exclude,"Embora o artigo aplique process mining para reparar modelos (potencial IC1), o contexto é claramente de processos de negócio genéricos e modelagem de objetivos organizacionais, não especificamente de desenvolvimento de software. Não há evidência no resumo de aplicação a artefatos de SW (commits, issues, PR, CI/CD) ou processos de desenvolvimento, caracterizando EC1 — domínio fora de SW.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o artigo aplique process mining para reparar modelos (potencial IC1), o contexto é claramente de processos de negócio genéricos e modelagem de objetivos organizacionais, não especificamente de desenvolvimento de software. Não há evidência no resumo de aplicação a artefatos de SW (commits, issues, PR, CI/CD) ou processos de desenvolvimento, caracterizando EC1 — domínio fora de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC1""
  ],
  ""e"
b5b3cb90,Software Process Analysis Methodology – A Methodology Based on Lessons Learned in Embracing Legacy Software,10.1109/ICSME.2018.00076,2018,ieee,include,include,"O paper aplica explicitamente process mining (IC1) para análise de processos de software em contexto industrial (ASML), apresentando uma metodologia concreta baseada em lições aprendidas. Nenhum critério de exclusão se aplica; o software é o objeto de análise (não ferramenta), e a aplicação é prática e documentada.",IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica explicitamente process mining (IC1) para análise de processos de software em contexto industrial (ASML), apresentando uma metodologia concreta baseada em lições aprendidas. Nenhum critério de exclusão se aplica; o software é o objeto de análise (não ferramenta), e a aplicação é prática e documentada."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""software_process"",
    ""repository_mi"
9a4decc9,Mining and Assessing Issue Resolution Processes in Open Source Software Repositories,10.1109/CSCWD64889.2025.11033176,2025,ieee,include,include,"O paper aplica process mining (Direct Follow Graphs, clustering com entropia) a repositórios OSS para descobrir e analisar processos de resolução de issues, atendendo claramente IC1 e IC4. Examina a relação entre organização de processos (medida por entropia de DFGs) e eficiência de resolução (issue lifetime, event transition time), com dados reais de projetos open-source. Nenhum critério de exclu",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica process mining (Direct Follow Graphs, clustering com entropia) a repositórios OSS para descobrir e analisar processos de resolução de issues, atendendo claramente IC1 e IC4. Examina a relação entre organização de processos (medida por entropia de DFGs) e eficiência de resolução (issue lifetime, event transition time), com dados reais de projetos open-source. Nenhum critério de exclusão se aplica."",
  ""matched_ic"": [
    ""IC1"",
   "
ffef36df,Using Constraint Mining to Analyze Software Development Processes,10.1109/ICSSP.2019.00021,2019,ieee,include,include,"O artigo aplica constraint mining (técnica de process mining) a event logs extraídos de Jira para descobrir automaticamente definições de processos de desenvolvimento de software, atendendo claramente IC1 (process mining em artefatos de SW) e IC4 (mineração de repositórios para descobrir modelos de processo). Nenhum critério de exclusão se aplica — o foco é explicitamente em SW e na análise de pro",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O artigo aplica constraint mining (técnica de process mining) a event logs extraídos de Jira para descobrir automaticamente definições de processos de desenvolvimento de software, atendendo claramente IC1 (process mining em artefatos de SW) e IC4 (mineração de repositórios para descobrir modelos de processo). Nenhum critério de exclusão se aplica — o foco é explicitamente em SW e na análise de processos de desenvolvimento."",
  ""matched_ic"": [""IC"
643a85ba,Reconstructing meaningful workflow from transaction logs,10.1109/ICSESS.2010.5552439,2010,ieee,maybe,exclude,"O abstract descreve workflow mining em contexto de 'business processes' genéricos e 'transaction logs' empresariais, sem qualquer evidência de aplicação a processos de desenvolvimento de software (commits, issues, PR, CI/CD, VCS). Embora IC1 tenha sido identificado na fase 1, a análise rigorosa do full-text review mostra que o domínio é processo de negócio empresarial geral, não processos de SW — ",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O abstract descreve workflow mining em contexto de 'business processes' genéricos e 'transaction logs' empresariais, sem qualquer evidência de aplicação a processos de desenvolvimento de software (commits, issues, PR, CI/CD, VCS). Embora IC1 tenha sido identificado na fase 1, a análise rigorosa do full-text review mostra que o domínio é processo de negócio empresarial geral, não processos de SW — enquadrando-se em EC1 (domínio fora de SW)."",
  """
60ef12d5,An Improved Direction-Aware Ant Colony Recommendation Algorithm for Process Automation Generation,10.1109/ICCEIC67916.2025.11309077,2025,ieee,maybe,exclude,"Embora o resumo mencione process mining e event logs (IC1), o foco principal é otimização combinatória (Ant Colony Optimization) para recomendação de caminhos de workflow. Não há evidência de forecasting/predição de métricas de processo de SW (IC3), modelagem estocástica explícita (IC2), ou mineração de repositórios de SW (IC4). O contexto de aplicação permanece ambíguo — não está claro se se trat",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o resumo mencione process mining e event logs (IC1), o foco principal é otimização combinatória (Ant Colony Optimization) para recomendação de caminhos de workflow. Não há evidência de forecasting/predição de métricas de processo de SW (IC3), modelagem estocástica explícita (IC2), ou mineração de repositórios de SW (IC4). O contexto de aplicação permanece ambíguo — não está claro se se trata de processos de desenvolvimento de software ou "
852d4b6a,Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models Generated by Mining Event-Log Data in Issue Tracking Systems,10.1109/COMPSAC.2016.64,2016,ieee,include,include,"O artigo aplica process mining (descoberta e enhancement de modelos de processo) a event logs de Issue Tracking Systems (Firefox), atendendo claramente IC1. Adicionalmente, minera repositório de ITS para descobrir, analisar e melhorar modelos de processo de desenvolvimento de software, atendendo IC4. Não há exclusões decisivas identificadas.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O artigo aplica process mining (descoberta e enhancement de modelos de processo) a event logs de Issue Tracking Systems (Firefox), atendendo claramente IC1. Adicionalmente, minera repositório de ITS para descobrir, analisar e melhorar modelos de processo de desenvolvimento de software, atendendo IC4. Não há exclusões decisivas identificadas."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""eve"
e1f3598f,Automatic Discovery of Behavioral Models From Software Execution Data,10.1109/TASE.2018.2844725,2018,ieee,include,include,"O paper aplica process mining (descoberta de modelos usando Petri nets hierárquicas) diretamente a event logs de software extraídos de dados de execução, atendendo claramente IC1. A abordagem formaliza event logs de software e utiliza técnicas estendidas de process discovery para descobrir modelos comportamentais, sem incidência de critérios de exclusão.",IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica process mining (descoberta de modelos usando Petri nets hierárquicas) diretamente a event logs de software extraídos de dados de execução, atendendo claramente IC1. A abordagem formaliza event logs de software e utiliza técnicas estendidas de process discovery para descobrir modelos comportamentais, sem incidência de critérios de exclusão."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_"
dca49e04,Business activity monitoring solution to detect deviations in business process execution,10.1109/SACI.2015.7208243,2015,ieee,include,include,"O paper aplica process mining (técnicas de descoberta e análise de event logs) a um processo de desenvolvimento de software real em uma empresa automotiva, atendendo claramente IC1. Utiliza event logs de um software development process para extrair modelos de processo e detectar desvios, sem violação de critérios de exclusão.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica process mining (técnicas de descoberta e análise de event logs) a um processo de desenvolvimento de software real em uma empresa automotiva, atendendo claramente IC1. Utiliza event logs de um software development process para extrair modelos de processo e detectar desvios, sem violação de critérios de exclusão."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""software_process"",
"
587f7d3e,Dataspaces for Collaborative Research,10.1109/BigData66926.2025.11402648,2025,ieee,maybe,exclude,"O paper trata de infraestruturas de compartilhamento de dados (dataspaces) para pesquisa colaborativa genérica. Embora mencione um 'use case de process mining federado' em contexto de produção, este é secundário e não aborda processos de desenvolvimento de software (IC1 requer SW). O foco principal é em tecnologias de data sharing, não em process mining, modelagem estocástica ou forecasting de mét",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de infraestruturas de compartilhamento de dados (dataspaces) para pesquisa colaborativa genérica. Embora mencione um 'use case de process mining federado' em contexto de produção, este é secundário e não aborda processos de desenvolvimento de software (IC1 requer SW). O foco principal é em tecnologias de data sharing, não em process mining, modelagem estocástica ou forecasting de métricas de processos de SW. O contexto é genérico d"
5162d7bd,Co-evolution analysis of production and test code by learning association rules of changes,10.1109/MALTESQUE.2018.8368456,2018,ieee,include,exclude,"O artigo aplica association rule mining a histórico de version control para descobrir padrões de co-evolução entre código de produção e testes. Embora use mineração de dados sobre repositórios (IC4 potencial), não atende IC1 (process mining em artefatos de SW não é aplicado de forma típica) e, criticamente, não há qualquer aspecto de modelagem estocástica, forecasting ou predição de métricas de pr",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aplica association rule mining a histórico de version control para descobrir padrões de co-evolução entre código de produção e testes. Embora use mineração de dados sobre repositórios (IC4 potencial), não atende IC1 (process mining em artefatos de SW não é aplicado de forma típica) e, criticamente, não há qualquer aspecto de modelagem estocástica, forecasting ou predição de métricas de processo de software. O foco é puramente descritivo"
045dcf13,Business process similarity metric supporting one-to-many relationship,10.1109/SACI.2015.7208242,2015,ieee,maybe,exclude,"Embora o artigo aplique process mining e técnicas de graph matching a processos de negócio (alinhado com IC1), o escopo é genérico a organizações e não há evidência de vinculação a processos de desenvolvimento de software. O abstract não menciona artefatos de SW (commits, issues, PR, CI/CD) ou contexto de eng. de software, caracterizando EC1 (domínio fora de SW) ou aplicação insuficiente de IC1 ao",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o artigo aplique process mining e técnicas de graph matching a processos de negócio (alinhado com IC1), o escopo é genérico a organizações e não há evidência de vinculação a processos de desenvolvimento de software. O abstract não menciona artefatos de SW (commits, issues, PR, CI/CD) ou contexto de eng. de software, caracterizando EC1 (domínio fora de SW) ou aplicação insuficiente de IC1 ao escopo PATHCAST."",
  ""matched_ic"": [],
  ""matche"
d0e040e1,Mining Handover Process in Open Source Development: An Exploratory Study,10.1109/APSEC.2017.44,2017,ieee,include,include,"O paper aplica process mining (Heuristic mining algorithm) a repositórios GitHub para descobrir e analisar automaticamente o processo de handover em OSS, atendendo IC1 e IC4. Identifica fatores que influenciam a duração do handover usando regressão stepwise, caracterizando análise de processo em SW baseada em repository mining sem violações de EC.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica process mining (Heuristic mining algorithm) a repositórios GitHub para descobrir e analisar automaticamente o processo de handover em OSS, atendendo IC1 e IC4. Identifica fatores que influenciam a duração do handover usando regressão stepwise, caracterizando análise de processo em SW baseada em repository mining sem violações de EC."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
  "
6c6c3b29,Formal Verification of Temporal Constraints for Mobile Service-Based Business Process Models,10.1109/ACCESS.2018.2874937,2018,ieee,include,exclude,"Embora o resumo mencione process mining e conformance checking em event logs (IC1), o foco principal é a verificação formal de restrições temporais em processos de negócio móveis, não em processos de desenvolvimento de software (EC1). O contexto é genérico de business processes em ambiente pervasivo/móvel, sem qualquer vinculação a artefatos de SE (commits, issues, PR, CI/CD) ou modelagem estocást",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o resumo mencione process mining e conformance checking em event logs (IC1), o foco principal é a verificação formal de restrições temporais em processos de negócio móveis, não em processos de desenvolvimento de software (EC1). O contexto é genérico de business processes em ambiente pervasivo/móvel, sem qualquer vinculação a artefatos de SE (commits, issues, PR, CI/CD) ou modelagem estocástica aplicada a SW. A análise temporal é sobre con"
d6aa9647,Business Rules Discovery from Process Design Repositories,10.1109/SERVICES.2010.73,2010,ieee,maybe,exclude,"O artigo aborda process mining e descoberta de regras de negócio a partir de repositórios de designs de processos genéricos (business process designs), não especificamente processos de desenvolvimento de software. Não há evidência no resumo de aplicação a artefatos de SW (commits, issues, PR, CI/CD) nem a processos de desenvolvimento de software, falha determinante no IC1. O contexto é modelagem d",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aborda process mining e descoberta de regras de negócio a partir de repositórios de designs de processos genéricos (business process designs), não especificamente processos de desenvolvimento de software. Não há evidência no resumo de aplicação a artefatos de SW (commits, issues, PR, CI/CD) nem a processos de desenvolvimento de software, falha determinante no IC1. O contexto é modelagem de processos de negócio tradicional, não engenhari"
b19a547a,Business Process Extraction Using Static Analysis,10.1109/ASE51524.2021.9678588,2021,ieee,maybe,exclude,"O resumo descreve process mining de processos de negócio genéricos em sistemas de software usando análise estática de código, mas não atende aos critérios de inclusão específicos da SLR PATHCAST. Não há evidência de: (1) aplicação a artefatos de desenvolvimento de SW (commits, issues, PR, CI/CD); (2) modelagem estocástica; (3) forecasting de métricas de processo de desenvolvimento; ou (4) mineraçã",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O resumo descreve process mining de processos de negócio genéricos em sistemas de software usando análise estática de código, mas não atende aos critérios de inclusão específicos da SLR PATHCAST. Não há evidência de: (1) aplicação a artefatos de desenvolvimento de SW (commits, issues, PR, CI/CD); (2) modelagem estocástica; (3) forecasting de métricas de processo de desenvolvimento; ou (4) mineração de repositórios para descobrir processos de SW."
a076177d,Understanding What Software Engineers Are Working on The Work-Item Prediction Challenge,10.1145/3387904.3389294,2020,ieee,maybe,include,O resumo menciona explicitamente 'process mining' e 'mining software repositories' como técnicas a serem aplicadas ao desafio de predição de work items em engenharia de software. IC1 (process mining em artefatos de SW) e IC4 (mineração de repositórios para processo) são claramente abordados no contexto de workflows de engenharia de software. Não há indicação de EC decisivo.,IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O resumo menciona explicitamente 'process mining' e 'mining software repositories' como técnicas a serem aplicadas ao desafio de predição de work items em engenharia de software. IC1 (process mining em artefatos de SW) e IC4 (mineração de repositórios para processo) são claramente abordados no contexto de workflows de engenharia de software. Não há indicação de EC decisivo."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"":"
40b18c35,Mining and Creating a Software Repositories Dataset,10.1109/NICS51282.2020.9335894,2020,ieee,maybe,exclude,"Embora o artigo trate de mineração de repositórios de software (IC4), o resumo indica foco em detecção de forks/duplicatas e análise de correlações com saúde/risco, sem evidência de descoberta de modelos de processo de SW, forecasting de métricas de processo ou modelagem estocástica. A mineração realizada é de natureza estática/descritiva, não processual ou preditiva conforme exigido pelo escopo P",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o artigo trate de mineração de repositórios de software (IC4), o resumo indica foco em detecção de forks/duplicatas e análise de correlações com saúde/risco, sem evidência de descoberta de modelos de processo de SW, forecasting de métricas de processo ou modelagem estocástica. A mineração realizada é de natureza estática/descritiva, não processual ou preditiva conforme exigido pelo escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [
"
