internal_id,title,doi,year,source_db,ft_matched_ic,abstract,research_question,study_type,research_contribution,pm_technique,stochastic_technique,software_artifact,software_process,dataset_source,dataset_public,tool_used,main_finding,limitations,replication_package,origin,origin.1,raw
ca6989c0,Test Case Generation and Prioritization: A Process-Mining Approach,10.1109/ICSTW.2017.11,2017,ieee,IC1,,Como usar process mining para gerar e priorizar casos de teste baseado no comportamento real dos usuários com o software?,case_study,discovery | enhancement,inductive_miner | other,none,ide_logs | other,testing,industrial,não_mencionado,não_mencionado,"Process mining pode ser aplicado para minerar modelos de processos a partir de logs de interação do usuário com a interface, permitindo identificar quais funcionalidades são mais utilizadas e com qual frequência para priorizar casos de teste e gerar novos testes baseados em padrões de comportamento real.",O paper é preliminar e apresenta um estudo inicial; a decisão de reestruturação de elementos de interface depende de mais aspectos além do número de cliques para atingir uma funcionalidade.,não_mencionado,working_set,working_set,
6f9a5a08,Monitoring the Software Development Process with Process Mining,10.1007/978-3-319-94214-8_34,2018,scopus,IC1,,Como o Process Mining pode ser aplicado para monitorar e analisar o processo de desenvolvimento de software em tempo real?,theoretical,framework | enhancement,other,none,vcs | ci_cd | other,development | code_review | deployment,not_specified,não_mencionado,não_mencionado,"O paper apresenta uma abordagem para aplicar Process Mining no monitoramento de processos de desenvolvimento de software, integrando conceitos de modelagem empresarial com engenharia de software para melhor compreensão e otimização dos processos.",não_mencionado,não_mencionado,working_set,working_set,
04ab260e,Assessing Agile Software Development Processes with Process Mining: A Case Study,10.1109/CBI.2018.00021,2018,ieee,IC1,"Software development is a growing industry with increasingly more complex projects. Agile methodologies, such as Scrum, have emerged in part to address this challenge. Agile focuses on a set of best practices rather than a standardized process, which makes it difficult to assess whether it is being properly implemented in an organization. In this work, we analyze the feasibility of using process mining to evaluate the implementation of Scrum practices based on event logs collected from a case-handling system. A case study was conducted in an IT organization that uses Jira Software to manage its projects. With process mining, it was possible to extract the workflow behaviour in two different projects. While Scrum standards like role distribution could be discovered, other practices like customer collaboration could not be detected in the log. This case study provided important insights regarding the application of process mining in case-handling systems and Scrum processes.",Quais práticas recomendadas do Scrum podem ser descobertas usando técnicas de process mining e quais questões devem ser consideradas ao extrair e analisar event logs com comportamento não estruturado de processos Scrum?,case_study,discovery | conformance,alpha | inductive_miner | other,none,jira | issues,development | requirements,industrial,não_mencionado,ProM | Jira Software,"O process mining foi capaz de extrair comportamento de workflow em dois projetos diferentes e descobrir padrões Scrum como distribuição de papéis, porém práticas como colaboração com cliente não foram detectadas nos logs. O estudo forneceu insights importantes sobre a aplicação de process mining em sistemas case-handling e processos Scrum.","Outras práticas do Scrum como colaboração com cliente não puderam ser detectadas nos logs extraídos, limitando o escopo de avaliação completa das práticas ágeis através de process mining.",não_mencionado,working_set,working_set,
e6f42f43,Evaluating Coding Behavior in Software Development Processes: A Process Mining Approach,10.1109/ICSSP.2019.00020,2019,ieee,IC1,"Process mining is a family of techniques that aim at analyzing business process execution data recorded in event logs. Conformance checking is a branch of this discipline embracing approaches for verifying whether the behavior of a process, as recorded in a log, is in line with some expected behavior provided in the form of a process model. In the literature, process mining techniques have already been used to study software development processes starting from logs derived from version management systems or from document management systems. In this paper, we use conformance checking to test coding behaviors starting from event logs generated from IDE usage. Understanding how developers carry out coding activities and what hurdles they usually face should provide useful tips for improving and supporting software development processes. In particular, through conformance checking, we can compare different process executions, and identify behavioral similarities and differences. In our experimentation, we evaluated the activities performed by 40 novice developers performing coding activities in 5 development sessions. We assessed the developers to distinguish the ones obtaining the best performance. We then compared the behavior extracted from this group of developers with the others. The results show different IDE usage patterns for developers with different skills and performance.","Como os padrões de comportamento de codificação de desenvolvedores variam entre aqueles com diferentes níveis de desempenho, e como técnicas de process mining podem identificar essas diferenças?",case_study,discovery | conformance | enhancement,conformance_checking | inductive_miner,none,ide_logs,development | code_review,academic,não_mencionado,Fluorite | ProM | Inductive Miner,O estudo identificou padrões distintos de uso do IDE entre desenvolvedores de alto e baixo desempenho através de análise conformance checking. Os resultados mostram que técnicas de process mining baseadas em Directly Follows Graphs podem revelar diferenças significativas nos comportamentos de codificação que diferenciam desenvolvedores experientes de novatos.,O estudo envolve apenas 40 estudantes em um contexto acadêmico avançado de Java em 5 sessões de desenvolvimento. A generalização para contextos industriais e diferentes tecnologias não é explorada.,não_mencionado,working_set,working_set,
588a19f5,Assessing Software Development Teams' Efficiency using Process Mining,10.1109/ICPM.2019.00020,2019,ieee,IC1,"Context. Improving the efficiency and effectiveness of software development projects implies understanding their actual process. Given the same requirements specification, different software development teams may follow different strategies and that may lead to inappropriate use of tools or non-optimized allocation of effort on spurious activities, non-aligned with the desired goals. However, due to its intangibility, the actual process followed by each developer or team is often a black box. Objective. The overall goal of this study is to improve the knowledge on how to measure efficiency in development teams where a great deal of variability may exist due to the human-factor. The main focus is on the discovery of the underlying processes and compare them in terms of efficiency and effectiveness. By doing so, we expect to reveal potentially hidden costs and risks, so that corrective actions may take place on a timely manner during the software project life cycle. Method. Several independent teams of Java programmers, using the Eclipse IDE, were assigned the same software quality task, related to code smells detection for identifying refactoring opportunities and the quality of the outcomes were assessed by independent experts. The events corresponding to the activity of each team upon the IDE, while performing the given task, were captured. Then, we used process mining techniques to discover development process models, evaluate their quality and compare variants against a reference model used as ""best practice"". Results. Teams whose process model was less complex, had the best outcomes and vice-versa. Comparing less complex process variants with the """"best practice"""" process, showed that they were also the ones with less differences in the control-flow perspective, based on activities frequencies. We have also determined which teams were most efficient through process analysis. Conclusions. We confirmed that, even for a well-defined software development task, there may be a great deal of process variability due to the human factor. We were able to identify when developers were more or less focused in the essential tasks they were required to perform. Less focused teams had the more complex process models, due to the spurious / non-essential actions that were carried out. In other words, they were less efficient. Experts' opinion confirmed that those teams also were less effective in their expected delivery. We therefore concluded that a self-awareness of the performed process rendered by our approach, may be used to identify corrective actions that will improve process efficiency (less wasted effort) and may yield to better deliverables, i.e. improved process effectiveness.","Como medir e comparar a eficiência de equipes de desenvolvimento de software através da análise dos processos reais que elas seguem, especialmente considerando a variabilidade introduzida pelo fator humano?",experiment,discovery | conformance | enhancement,alpha | inductive_miner | heuristic | conformance_checking,none,ide_logs,development | code_review,academic,não_mencionado,Eclipse IDE | ProM,Equipes cujos modelos de processo eram menos complexos apresentaram melhores resultados. A comparação com modelos de 'melhor prática' mostrou que processos menos complexos tinham menos diferenças na perspectiva de fluxo de controle. Foi possível identificar quais equipes eram mais eficientes através da análise de processos.,"Estudo realizado com uma tarefa bem definida de detecção de code smells em programadores Java usando Eclipse IDE, o que pode limitar a generalização dos resultados para outros tipos de tarefas ou contextos de desenvolvimento.",não_mencionado,working_set,working_set,
6cb59310,A User Evaluation of Process Discovery Algorithms in a Software Engineering Company,10.1109/EDOC.2019.00026,2019,ieee,IC1,"Process mining methods allow analysts to use logs of historical executions of business processes in order to gain knowledge about the actual behavior of these processes. One of the most widely studied process mining operations is automated process discovery. An event log is taken as input by an automated process discovery method and produces a business process model as output that captures the control-flow relations between tasks that are described by the event log. In this setting, this paper provides a systematic comparative evaluation of existing implementations of automated process discovery methods with domain experts by using a real life event log extracted from an international software engineering company and four quality metrics: understandability, correctness, precision, and usefulness. The evaluation results highlight gaps and unexplored trade-offs in the field and allow researchers to improve the lacks in the automated process discovery methods in terms of usability of process discovery techniques in industry.",Qual algoritmo de descoberta de processos é percebido como o melhor por especialistas de domínio em uma empresa de engenharia de software?,case_study,discovery,alpha | inductive_miner | heuristic,none,issues,development,industrial,não_mencionado,não_mencionado,"O estudo avalia algoritmos de descoberta de processos através da percepção de especialistas de domínio usando métricas de compreensibilidade, correção, precisão e utilidade. Os resultados destacam lacunas e trade-offs inexplorados na descoberta automatizada de processos em contexto industrial de software.","Avaliação limitada a uma única empresa de engenharia de software; modelos produzidos frequentemente são grandes e complexos (spaghetti-like), dificultando a adoção prática.",não_mencionado,working_set,working_set,
15c9808b,DEVELOPMENT OF A TOOLKIT FOR ANALYZING SOFTWARE DEBUGGING PROCESSES USING THE CONSTRUCTIVE APPROACH,10.15587/1729-4061.2020.215090,2020,scopus,IC1,"Constructive-synthesizing modeling and the Process Mining methods in a toolkit to monitor and analyze the software debugging process were applied. Methods for monitoring the development and debugging processes are the basis for improving the level of practical training of students, reducing the time that is used irrationally in the process of software development by a student, and in monitoring the processes of performance of tasks by a teacher. The process of software debugging is seen as a sequence of actions when dealing with relevant tools. Using the methodology of constructive-synthesizing modeling, a constructor for forming a debugging actions log was developed. Based on the constructive model, the extension to the integrated development environment (IDE) Microsoft Visual Studio, in which all debugging actions are recorded in an event log, was designed. During debugging in the IDE, event logs are collected and then a conformance checking of these logs with regard to the reference model is performed. To do this, the ProM (Eindhoven Technical University, Netherlands), a platform for Process Mining methods, is used. By checking compliance, it is possible to compare different debugging processes and recognize behavioral similarities and differences. The main purpose of the developed toolkit is to collect debugging actions from the developer’s IDE. By better understanding how students grasp and deal with errors, one can help novices learn to program. Knowing how programmers debug can encourage researchers to develop more practically directed methods, enable teachers to improve their debugging curricula and allow tool developers to adapt the debugger to the actual needs of users. It is practically suggested to use the prepared tools in the software engineering course",Como analisar e entender processos de debugging de software através de Process Mining e modelagem construtiva para melhorar o treinamento de estudantes em programação?,tool,framework | enhancement,conformance_checking,none,ide_logs,bug_fixing | development | testing,academic,não_mencionado,"ProM, Microsoft Visual Studio","Desenvolveu-se um toolkit integrado ao Microsoft Visual Studio que coleta ações de debugging em logs de eventos e realiza conformance checking com modelos de referência usando ProM. A abordagem permite comparar e analisar processos de debugging de diferentes estudantes, identificando similaridades e diferenças comportamentais para melhorar o aprendizado de programação.",não_mencionado,não_mencionado,working_set,working_set,
f64a5949,Quantitative evaluation of software component behavior discovery approach,10.1587/transinf.2020MPL0001,2021,scopus,IC1,"SUMMARY During the execution of software systems, their execution data can be recorded. By fully exploiting these data, software practitioners can discover behavioral models describing the actual execution of the underlying software system. The recorded unstructured software execution data may be too complex, spanning over several days, etc. Applying existing discovery techniques results in spaghetti-like models with no clear structure and no valuable information for comprehension. Starting from the observation that a software system is composed of a set of logical components, Liu et al. propose to decompose the software behavior discovery problem into smaller independent ones by discovering a behavioral model per component in [1]. However, the e ﬀ ectiveness of the proposed approach is not fully evaluated and compared with existing approaches. In this paper, we evaluate the quality (in terms of understandability / complexity) of discovered component behavior models in a quantitative manner. Based on evaluation, we show that this approach can reduce the complexity of the discovered model and gives a better understanding.",Como avaliar quantitativamente a qualidade e efetividade de uma abordagem de descoberta de comportamento de componentes de software em relação à complexidade e compreensibilidade dos modelos descobertos?,case_study,discovery | enhancement,inductive_miner,none,ide_logs,development,academic,não_mencionado,"Kieker, InductiveMiner, ProM",A abordagem que explora informações de componentes e estrutura hierárquica consegue descobrir modelos comportamentais com melhor compreensibilidade e reduz significativamente a complexidade em comparação com técnicas de descoberta de processo existentes que geram modelos tipo spaghetti.,Avaliação realizada em apenas um caso de estudo de software acadêmico com dois componentes; efetividade em sistemas de larga escala com múltiplos componentes complexos não foi avaliada.,não_mencionado,working_set,working_set,
88087b27,Understanding Coding Behavior: An Incremental Process Mining Approach,10.3390/electronics11030389,2022,scopus,IC1,"Capturing and analyzing interaction data in real-time from development environments can help in understanding how programmers handle coding activities. We propose the use of process mining to learn coding behavior from event logs captured from a customized Integrated Development Environment, concerning interactions with both such an environment and a Version Control System. In particular, by using an incremental approach, the discovered model can be refined after every single development session, which avoids the need to for the model to learn from scratch from previous sessions. It would also allow one to provide the programmer timely suggestions to improve their performance. In this paper, we applied off-line incremental behavior, so as to be able to analyze it at several levels of depth and at different moments. As a preliminary evaluation of our approach, we investigated the coding activities of six novice students of a Java academic programming course working on a programming case study. The results provide some useful information about the initial difficulties in coding activities faced by programmers and show that their coding behavior could be considered as “formed” after a development task requiring approximately 4000 rows of code.",Como entender o comportamento de codificação de programadores novatos através da mineração de processos aplicada a logs de eventos capturados de ambientes de desenvolvimento integrados e sistemas de controle de versão?,case_study,discovery | framework,inductive_miner | other,none,ide_logs | vcs | commits,development | code_review,academic,não_mencionado,Eclipse IDE | não_mencionado,A abordagem de mineração de processos incremental permite refinar modelos de comportamento de codificação após cada sessão de desenvolvimento. O comportamento de codificação de programadores novatos é considerado 'formado' após uma tarefa de desenvolvimento que requer aproximadamente 4000 linhas de código.,"O estudo foi realizado com apenas seis estudantes novatos em um curso de programação Java academicamente controlado, limitando a generalização dos resultados. A avaliação é preliminar e aplicada offline.",não_mencionado,working_set,working_set,
fbe93e3d,Software Process Evaluation from User Perceptions and Log Data,10.1002/smr.2438,2022,scopus,IC1,"Companies often claim to follow specific software development methodologies (SDM) when performing their software development process. These methodologies are often supported by dedicated tools that keep track of work activities carried out by developers. The purpose of this paper is to provide a novel approach that integrates analytical insights from both the perceptions of SDM stakeholders and software development tools logs to provide SDM improvement recommendations. This paper develops a new process improvement approach that combines two significantly different sources of data on the same phenomenon. First, it uses a questionnaire to gather software development stakeholder SDM perceptions (managers and developers). Second, it leverages process mining to analyze software development tools logs to obtain additional information on software development activities. Finally, it develops recommendations based on concurrent analysis of both sources. Our novel process improvement approach is evaluated in three directions: Does the presented approach (RQ1) enable managers to gain additional insights into employees' performance, (RQ2) deliver additional insights into project performance, and (RQ3) enable development of additional SDM improvement recommendations? We find that integrated analysis of software development perception data and software development tools logs opens new possibilities to more precisely identify and improve specific SDM elements. The evaluation of our novel process improvement approach follows a single case study design. Our approach can only be used in enterprises in which software development tools logs are available. The study should be repeated in different cultural settings. We practically show how concurrently analyzing data about developer SDM perceptions and event log data from software development tools enables management to gain additional insights in the software development process regarding the performance of individual developers. The main theoretical contribution of our paper is a novel process improvement approach that effectively integrates data from management and developer perspectives and software development tools logs.",Em que medida a análise concorrente de percepções de stakeholders sobre metodologias de desenvolvimento de software e dados de logs de ferramentas de desenvolvimento fornece insights adicionais para avaliação e melhoria de processos de software?,case_study,enhancement | framework,other,none,issue_tracking | requirements_management | test_management | other,development | testing | requirements,industrial,não_mencionado,não_mencionado,A abordagem integrada de análise de dados de percepção de desenvolvedores e logs de ferramentas de desenvolvimento permite que a gerência ganhe insights adicionais sobre o desempenho de processos de software e elementos específicos de metodologias de desenvolvimento. A análise concorrente de ambas as fontes de informação permite identificar e desenvolver recomendações de melhoria de SDM que seriam indisponíveis usando apenas uma fonte.,"O estudo foi conduzido como um caso único em uma empresa de SME de desenvolvimento de software austríaca, limitando a generalização. O estudo só pode ser aplicado em empresas onde logs de ferramentas de desenvolvimento estão disponíveis e deve ser repetido em diferentes contextos culturais.",não_mencionado,working_set,working_set,
7eebcd00,"Process Mining Model Integrated with Control Flow, Case, Organizational and Time Perspectives in a Software Development Project",10.1109/CONISOFT55708.2022.00022,2022,ieee,IC1,"This paper presents the mining of a software development project from the event logs stored in the software project management systems Issue Tracking System (Jira) and Version Control System (GitHub) to query commits. In addition, a private system owned by the small software development organization was also included that provides for the event streams stored in Jira and GitHub. The mined project implements the approach to integrated model covering the Process Mining perspectives to validate the execution of activities according to the very small software company's process definition, discover deviations and establish corrective actions based on the findings obtained through the control flow, organizational, case, and time perspectives.","Como integrar múltiplas perspectivas de Process Mining (fluxo de controle, organizacional, caso e tempo) para validar a execução de atividades em um projeto de desenvolvimento de software?",case_study,discovery | conformance | framework,alpha | conformance_checking,none,jira | github | commits | issues,development | bug_fixing,industrial,não_mencionado,não_mencionado,"O trabalho apresenta um modelo integrado de Process Mining que cobre perspectivas de fluxo de controle, organizacional, caso e tempo para validar a execução de atividades em projetos de desenvolvimento de software. A abordagem extrai eventos de logs armazenados em sistemas de gerenciamento de projetos (Jira e GitHub) para descobrir desvios e estabelecer ações corretivas baseadas nas descobertas.","O paper não menciona limitações específicas nas páginas fornecidas. A pesquisa aborda especificamente uma pequena empresa de desenvolvimento de software, o que pode limitar a generalização dos resultados.",não_mencionado,working_set,working_set,
fda7184e,Supporting software evolution actions with process mining,,2023,scopus,IC1,,Como process mining pode apoiar ações de evolução de software conectando desalinhamentos de processos de negócio identificados durante iniciativas de PM com requisitos concretos de software?,case_study,discovery | conformance | enhancement | framework,alpha | inductive_miner | conformance_checking | other,none,other,maintenance | requirements,academic,sim,não_mencionado,"O paper propõe um schema geral que conecta questões de pesquisa formuladas em iniciativas de PM com ações de evolução de software. A aplicação em um Sistema de Gerenciamento de Documentos Eletrônicos demonstrou como PM pode identificar desalinhamentos de processos e gerar guias de ação concretos para evolução de software, além de identificar desafios específicos da aplicação de PM em EDMS.",O trabalho apresenta uma aplicação inicial da abordagem em um único domínio (EDMS) de uma instituição acadêmica. A generalização dos resultados para outros contextos e tipos de sistemas de informação não é discutida de forma extensiva.,não_mencionado,working_set,working_set,
