seq,internal_id,year,authors,title,doi,origin,source_db,ic,qa_total,qa_include
59,dbcd2435,2006,,On the Potential of Process Simulation in Software Project Schedule Optimization,10.1109/compsac.2005.115,Aux1,snowball,IC2|IC3,3.0,False
60,b5b1402b,2006,Siri-on Setamanit; Wayne Wakeland; David Raffo,Planning and improving global software development process using simulation,10.1145/1138506.1138510,Aux1,snowball,IC2|IC3,3.0,False
61,c3683c28,2006,,"Project replayer - An investigation tool to revisit processes of past
projects",,Aux1,wos,IC1|IC4,4.0,True
62,d50fcf26,2006,,SIMKIT – a software process simulation model construction kit in support of empirical research,,Aux2,,IC2,4.0,True
63,416c979c,2006,,Semi-quantitative simulation modeling of software engineering process,,Aux1,wos,IC2|IC3,6.0,True
64,836b5ef0,2006,,Simulation-based stability analysis for software release plans,,Aux1,wos,IC2|IC3,5.0,True
65,ec94ba4d,2006,,Spiral lifecycle increment modeling for new hybrid processes,,Aux1,wos,IC2|IC3,4.0,True
66,747fc068,2007,,"A project management approach to using simulation for cost estimation on
large, complex software development projects",10.1080/10429247.2007.11431746,Aux1,wos,IC2|IC3,6.0,True
67,3ddbfd94,2007,Rubin V.,Process mining framework for software processes,10.1007/978-3-540-72426-1_15,WS,scopus,IC1,3.0,False
68,d7b22f54,2007,Yin R.,Quantitative analysis of value-based software processes using decision-based stochastic object petri-nets,10.1109/APSEC.2007.78,WS,scopus,IC2,3.0,False
69,ac05d867,2007,,Software Process Dynamics,10.1002/9780470192719,Aux1,snowball,IC2,3.0,False
70,e9a40e7a,2007,Deissenboeck F.,The economic impact of software process variations,10.1007/978-3-540-72426-1_22,WS,scopus,IC2,4.0,True
71,9870248b,2007,,Using Simulation to Evaluate the Impact of New Requirements Analysis Tools,10.1109/PICMET.2007.4349581,Aux1,ieee,IC2,4.0,True
72,0fcd5ece,2008,Ferreira F.M.L.,A method for stochastic modeling the software development process in constrained resource environments,10.1109/SIEDS.2008.4559698,WS,scopus,IC2,3.0,False
73,1637d1d9,2008,,ANOMALY DETECTION ALGORITHMS IN BUSINESS PROCESS LOGS,,Aux1,wos,IC1,5.0,True
74,e080b18d,2008,,"DEFINING THE IMPLEMENTATION ORDER OF SOFTWARE PROJECTS IN UNCERTAIN
ENVIRONMENTS",,Aux1,wos,IC2|IC3,5.0,True
75,deae809b,2008,David P.A.,"Dynamics of innovation in an ``open source″ collaboration
environment: lurking, laboring, and launching FLOSS projects on
SourceForge",10.1093/icc/dtn026,Aux1,wos,IC2|IC4,7.0,True
76,863bae01,2008,,"GENSIM 2.0: A customizable process simulation model for software process
evaluation",,Aux1,wos,IC2|IC3,6.0,True
77,b8b834e2,2008,,Hybrid modeling of test-and-fix processes in incremental development,,Aux1,wos,IC2,5.0,True
78,5c43edc7,2008,,"Identifying key success factors for Globally Distributed Software
Development project using simulation: A case study",,Aux1,wos,IC2|IC3,7.0,True
79,2fb4f513,2008,Ravishanker N.,NHPP models with Markov switching for software reliability,10.1016/j.csda.2008.01.010,Aux1,wos,IC2,5.0,True
80,40bc718e,2008,Deissenboeck F.,Probabilistic analysis of process economics,10.1002/spip.362,WS,scopus,IC2,6.0,True
81,3c0dd1ad,2008,,"RVSim: A simulation approach to predict the impact of requirements
volatility on software project plans",,Aux1,wos,IC2|IC3,4.0,True
82,7e6b3f9f,2008,"Cruz, John Igor B. da; Ruiz, Duncan",Uma Experiência em Mineração de Processos de Manutenção de Software,10.1145/1809980.1810047,WS,acm,IC1,3.0,False
83,70af8211,2009,,A Process Optimization Method Based on Process Performance Models,10.1109/ICMSS.2009.5303022,Aux1,ieee,IC2|IC3,3.0,False
84,917f238d,2009,"Akman, Burcu; Demirörs, Onur",Applicability of Process Discovery Algorithms for Software Organizations,10.1109/SEAA.2009.87,WS,ieee,IC1,5.0,True
85,ee5ccaa2,2009,Šamalíková J.,Discovering changes of the change control board process during a software development project using process mining,10.1007/978-3-642-04133-4_11,WS,scopus,IC1,4.0,True
86,fc8f325d,2009,,"Dynamic project performance estimation by combining static estimation
models with system dynamics",10.1016/j.infsof.2008.03.001,Aux1,wos,IC2|IC3,7.0,True
87,e856dbe4,2009,VanHilst M.,Mining objective process metrics from repository data,,WS,scopus,IC1|IC4,5.0,True
88,b2c57fd3,2009,,Modeling Software Testing Process Using HTCPN,10.1109/FCST.2009.53,Aux1,ieee,IC2|IC3,5.0,True
89,beb83053,2009,Grottke M.,Modeling and Predicting Software Failure Costs,10.1109/COMPSAC.2009.195,Aux2,,IC2|IC3,6.0,True
90,008caf63,2009,,Simulation of the defect removal process with queuing theory,10.1109/ESEM.2009.5316005,Aux1,ieee,IC2|IC3,5.0,True
91,fcc830f6,2009,Ghosh J.,Software development of a globally distributed multicomponent project: A theoretical model and simulations,10.1080/1097198X.2009.10856496,WS,scopus,IC2,7.0,True
92,3b4591cd,2009,,"Understanding the effects of requirements volatility in software
engineering by using analytical modeling and software process simulation",10.1016/j.jss.2009.03.014,Aux1,wos,IC2|IC3,5.0,True
93,ddeca0e6,2009,Thomson C.,Using process mining metrics to measure noisy process fidelity,10.14236/ewic/ease2009.16,WS,scopus,IC1,7.0,True
94,ba2ff831,2010,Wang Y.,A stochastic model for optimizing the patching time of software bugs,,WS,scopus,IC2,5.0,True
95,d96a3161,2010,,Are developers complying with the process,10.1145/1852786.1852805,Aux1,snowball,IC1|IC4,5.0,True
96,0ef6a5b4,2010,,Bayesian Network Based XP Process Modelling,10.5121/ijsea.2010.1301,Aux1,snowball,IC2|IC3,5.0,True
97,a222ef2c,2010,"Sunindyo, Wikan Danar; Moser, Thomas; Winkler, Dietmar; Biffl, Stefan",Foundations for Event-Based Process Analysis in Heterogeneous Software Engineering Environments,10.1109/SEAA.2010.52,WS,ieee,IC1|IC4,6.0,True
98,6354fc81,2010,,"Modeling a Resource-Constrained Test-and-Fix Cycle and Test Phase
Duration",,Aux1,wos,IC2|IC3,5.0,True
99,bafb58a0,2010,,Process Mining Opportunities for CMMI Assessments,,Aux2,,IC1|IC4,2.0,False
100,c72f823c,2010,,"Software Development Process Simulation: Multi Agent-Based Simulation
versus System Dynamics",,Aux1,wos,IC2,4.0,True
101,c113bf1b,2010,"Hindle, Abram",Software Process Recovery: Recovering Process from Artifacts,10.1109/WCRE.2010.46,WS,ieee,IC1|IC4,4.0,True
102,7f497573,2010,,Software Process Simulation Modeling: An Extended Systematic Review,10.1007/978-3-642-14347-2_27,Aux2,,IC2|IC3,8.0,True
103,62936834,2010,,Software process deviation threshold analysis by system dynamics,10.1109/ICIME.2010.5477522,Aux1,ieee,IC2|IC3,4.0,True
104,26582491,2010,Okamura H.,Software safety assessment based on a subordinated Markov chain,10.1007/s13198-011-0034-0,Aux1,wos,IC2,6.0,True
105,3476b5db,2010,Al-Emran A.,"Studying the impact of uncertainty in operational release planning - An
integrated method and its initial evaluation",10.1016/j.infsof.2009.11.003,Aux1,wos,IC2|IC3,6.0,True
106,57d2445c,2011,,"A Discrete Event Simulation Model to Evaluate Changes to a Software
Project Delivery Process",10.1109/CEC.2011.19,Aux1,wos,IC2|IC3,7.0,True
107,266210a7,2011,Dertzbacher J.,A simulation model for process-centered software engineering environments using sensitivity analysis,10.1109/WEIT.2011.21,WS,scopus,IC2,4.0,True
108,b61ea92e,2011,,Assessing Software Quality Using the Markov Decision Processes,10.1002/hfm.20355,Aux1,snowball,IC2|IC3,4.0,True
109,4316248d,2011,Da Cruz J.I.B.,Conformance analysis on software development: An experience with process mining,10.1504/IJBPIM.2011.040203,WS,scopus,IC1,6.0,True
110,f449ac41,2011,Lemos A.,Conformance checking of software development processes through process mining,,WS,scopus,IC1,3.0,False
111,917d9592,2011,Czekster R.,Follow-the-sun methodology in a stochastic modeling perspective,10.1109/ICGSE-W.2011.26,WS,scopus,IC2,3.0,False
112,47ed5bf0,2011,Wong S.,Generalizing evolutionary coupling with stochastic dependencies,10.1109/ASE.2011.6100065,Aux1,ieee,IC2|IC4,8.0,True
113,0de90ff4,2011,,Handling Concept Drift in Process Mining,10.1007/978-3-642-21640-4_30,Aux2,,IC1,6.0,True
114,2de8a9af,2011,,Handling Estimation Uncertainty with Bootstrapping: Empirical Evaluation in the Context of Hybrid Prediction Methods,10.1109/ESEM.2011.33,Aux1,ieee,IC3,7.0,True
115,84315802,2011,Dasgupta J.,Monte Carlo simulation based estimations: Case from a global outsourcing company,10.1109/ITMC.2011.5996034,WS,scopus,IC2,4.0,True
116,51b4ae2b,2011,Fernandes P.,Performance Evaluation of Software Development Teams: A Practical Case Study,10.1016/j.entcs.2011.09.006,WS,scopus,IC2|IC3,4.0,True
117,7eaf7eb3,2011,,Petri Net Based Simulation for SPI,,Aux1,wos,IC2,4.0,True
118,c517c93f,2011,"Poncin, Wouter; Serebrenik, Alexander; Brand, Mark van den",Process Mining Software Repositories,10.1109/CSMR.2011.5,WS,ieee,IC1|IC4,5.0,True
119,c7682ec2,2011,"Duan, Beichen; Shen, Beijun",Software process discovery using link analysis,10.1109/ICCSN.2011.6014218,WS,ieee,IC1|IC4,4.0,True
120,c24db118,2011,Samalikova J.,Toward objective software process information: Experiences from a case study,10.1007/s11219-010-9105-8,WS,scopus,IC1,5.0,True
121,d098c91d,2011,"Lemos, Artini M.; Sabino, Caio C.; Lima, Ricardo M. F.; Oliveira, Cesar A. L.",Using process mining in software development process management: A case study,10.1109/ICSMC.2011.6083858,WS,ieee,IC1,5.0,True
122,9249c6bb,2012,Roy S.,A CSP-Theoretic framework of checking conformance of business processes,10.1109/APSEC.2012.110,WS,scopus,IC1,3.0,False
123,ca00050f,2012,,"A Comparative Study of Scrum and Kanban Approaches on a Real Case Study
Using Simulation",,Aux1,wos,IC2|IC4,6.0,True
124,326da20f,2012,Zhou P.,A stochastic simulation model for risk management process,10.1109/APSEC.2012.12,WS,scopus,IC2,3.0,False
125,f5151d89,2012,,Agent-based simulation of the software development process: A case study at AVL,10.1109/wsc.2012.6465117,Aux1,snowball,IC2|IC3,7.0,True
126,ae20e68e,2012,Astromskis S.,Egidio: A non-invasive approach for synthesizing organizational models,10.1109/ICSE.2012.6227062,WS,scopus,IC1,3.0,False
127,9a84a55d,2012,Pérez-Castillo R.,Improving event correlation for non-process aware information systems,,WS,scopus,IC1,3.0,False
128,d4601a2f,2012,,Issue handling performance in proprietary software projects,10.1109/MSR.2012.6224282,Aux1,ieee,IC4,5.0,True
129,66a32124,2012,,Predicting defect numbers based on defect state transition models,10.1145/2372251.2372287,Aux1,ieee,IC2|IC3,6.0,True
130,ceec0a17,2012,Bihary S.,Process conformance using CSP,10.1145/2134254.2134278,WS,scopus,IC1,3.0,False
131,bbc13de4,2012,,Process mining application in software process assessment,10.6100/ir739990,Aux1,snowball,IC1|IC4,2.0,False
132,0c10d633,2012,,Risk-Based Intelligent Software Release Planning,10.1109/UIC-ATC.2012.109,Aux1,ieee,IC2|IC3,3.0,False
133,23ec55bd,2012,,SHARING LIMITED RESOURCES IN SOFTWARE PROCESS SIMULATIONS,,Aux1,wos,IC2,4.0,True
134,a3c061ae,2012,,Simulation-Based Management for Software Dynamic Testing Processes,,Aux1,snowball,IC2|IC3,5.0,True
135,3b614f91,2013,,"Simulation of software maintenance process, with and without a
work-in-process limit",10.1002/smr.1599,Aux1,wos,IC2|IC3,7.0,True
136,2a7de581,2014,,"A Model and System for Applying Lean Six Sigma to Agile Software
Development Using Hybrid Simulation",,Aux1,wos,IC2|IC3,3.0,False
137,542728fe,2014,,"A Risk Emergency Management Model for Software Project Based on
Stochastic Petri Nets",,Aux1,wos,IC2,3.0,False
138,c9cdb64d,2014,Sayiam R.,A process mining approach in Software Development and Testing Process: A case study,,WS,scopus,IC1,5.0,True
139,e58074e0,2014,"Sebu, Maria Laura; Ciocârlie, Horia",Applied process mining in software development,10.1109/SACI.2014.6840098,WS,ieee,IC1,5.0,True
140,c8ea828e,2014,,Applied process mining in software development Case Study,,Aux1,wos,IC1,5.0,True
141,4cff6b4d,2014,,Kashvi: a framework for software process intelligence,,Aux1,snowball,IC1|IC4,2.0,False
142,829f8c13,2014,"Gupta, Monika; Sureka, Ashish","Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies",10.1145/2590748.2590749,WS,acm,IC1|IC4,7.0,True
143,d1ed6154,2014,"Gupta, Monika","Nirikshan: Process Mining Software Repositories to Identify Inefficiencies, Imperfections, and Enhance Existing Process Capabilities",10.1145/2591062.2591080,WS,acm,IC1|IC4,4.0,True
144,1363926c,2014,Honda K.,Predicting release time based on Generalized Software Reliability Model (GSRM),10.1109/COMPSAC.2014.86,WS,scopus,IC2|IC3,3.0,False
145,1de657c1,2014,"Gupta, Monika; Sureka, Ashish",Process Cube for Software Defect Resolution,10.1109/APSEC.2014.45,WS,ieee,IC1|IC4,6.0,True
146,3231578f,2014,"Gupta, Monika; Sureka, Ashish; Padmanabhuni, Srinivas",Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective,10.1145/2597073.2597081,WS,acm,IC1,6.0,True
147,6fd30d7e,2014,"Mittal, Megha; Sureka, Ashish",Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,10.1145/2591062.2591152,WS,acm,IC1|IC4,6.0,True
148,932f2a18,2014,Samalikova J.,"Process mining support for Capability Maturity Model Integration-based software process assessment, in principle and in practice",10.1002/smr.1645,WS,scopus,IC1,6.0,True
149,f6edde4a,2014,Lin C.T.,Rate-based queueing simulation model of open source software debugging activities,10.1109/TSE.2014.2354032,WS,scopus,IC2,7.0,True
150,e722b1cf,2014,,Software Process Simulation based on Mining Software Repositories,10.1109/ICDMW.2014.35,Aux1,wos,IC1|IC2|IC4,6.0,True
151,ad250ae5,2014,Khodabandelou G.,Unsupervised discovery of intentional process models from event logs,10.1145/2597073.2597101,WS,scopus,IC1,6.0,True
152,c7ed395a,2015,,"A procedure to detect problems of processes in software development
projects using Bayesian networks",10.1016/j.eswa.2014.08.015,Aux1,wos,IC2,4.0,True
153,2ee3dc10,2015,"Sureka, Ashish; Kumar, Atul; Gupta, Shrinath",Ahaan: Software Process Intelligence: Mining Software Process Data for Extracting Actionable Information,10.1145/2723742.2723763,WS,acm,IC1|IC4,3.0,False
154,d2e1b306,2015,Folino F.,"An Approach to the Discovery of Accurate and Expressive Fix-Time
Prediction Models",10.1007/978-3-319-22348-3_7,Aux1,wos,IC1|IC3|IC4,7.0,True
155,2647ea07,2015,Gürgen T.,An integrated infrastructure using process mining techniques for software process verification,10.4018/978-1-4666-7456-1.ch036,WS,scopus,IC1,7.0,True
156,aa3ce899,2015,,Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models generated by Mining Event-Log Data in Issue Tracking System,10.48550/arxiv.1511.07023,Aux1,snowball,IC1|IC4,7.0,True
157,508f3b5b,2015,Sebu M.,Business activity monitoring solution to detect deviations in business process execution,10.1109/SACI.2015.7208243,WS,scopus,IC1,5.0,True
158,3d379233,2015,,Comparison of software repositories for their usability in software process reconstruction,10.1109/rcis.2015.7128890,Aux1,snowball,IC1|IC4,4.0,True
159,53d897a8,2015,Van Der Werf J.M.E.M.,Discovery of functional architectures from event logs,,WS,scopus,IC1,5.0,True
160,927817d5,2015,,"Evaluation of simulation-assisted value stream mapping for software
product development: Two industrial cases",10.1016/j.infsof.2015.08.005,Aux1,wos,IC2|IC3,7.0,True
161,3ad9cd69,2015,,Increase Return on Investment of Software Development Life Cycle by Managing the Risk - A Case Study,,Aux1,snowball,IC2|IC3,4.0,True
162,e23bbc10,2015,"Santos, Renata M. S.; Oliveira, Toacy C.; Abreu, Fernando Brito e",Mining Software Development Process Variations,10.1145/2695664.2696046,WS,acm,IC1,5.0,True
163,ee562777,2015,Bala S.,Mining project-oriented business processes,10.1007/978-3-319-23063-4_28,WS,scopus,IC1|IC4,5.0,True
164,f356af5c,2015,Washizaki H.,Predicting Release Time for Open Source Software Based on the Generalized Software Reliability Model,10.1109/Agile.2015.19,WS,scopus,IC2|IC3,6.0,True
165,b8b5b64e,2015,Jeon C.,Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data,10.1142/S0218194015500151,WS,scopus,IC2|IC3|IC4,5.0,True
166,82b3401d,2015,Mukala P.,Process mining event logs from FLOSS data: State of the art and perspectives,10.1007/978-3-319-15201-1_12,WS,scopus,IC1,4.0,True
167,fa561e12,2015,Blum F.,Software process line discovery,10.1145/2785592.2785605,WS,scopus,IC1|IC4,5.0,True
168,efbaa4df,2015,,"Statistical Learning and Software Mining for Agent Based Simulation of
Software Evolution",10.1109/ICSE.2015.279,Aux1,wos,IC3|IC4,4.0,True
169,eea29299,2015,,"Supporting Rule-Based Process Mining by User-Guided Discovery of
Resource-Aware Frequent Patterns",10.1007/978-3-319-22885-3_10,Aux1,wos,IC1,3.0,False
170,261f6383,2015,Magennis T.,The economic impact of software development process choice - Cycle-time analysis and Monte Carlo simulation results,10.1109/HICSS.2015.599,WS,scopus,IC2|IC3,5.0,True
171,3ac74336,2015,,The research on software project schedule prediction and controlling,,Aux1,wos,IC2|IC3,3.0,False
172,c149b689,2015,Trinkenreich B.,Toward using business process intelligence to support incident management metrics selection and service improvement,10.18293/SEKE2015-110,WS,scopus,IC1|IC4,4.0,True
173,4541f643,2016,Neulinger K.,"A Longitudinal Study of Community-Oriented Open Source Software
Development",10.1007/978-3-319-39696-5_31,Aux2,,IC1,7.0,True
174,c42be0aa,2016,Thamizharasan R.,A review on software process mining using petri nets,10.3923/ajaps.2016.131.142,WS,scopus,IC1|IC2,3.0,False
175,00ce8cfe,2016,Juneja P.,Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models Generated by Mining Event-Log Data in Issue Tracking Systems,10.1109/COMPSAC.2016.64,WS,scopus,IC1,7.0,True
176,b0f56a95,2016,,"Comparing Pre Commit Reviews and Post Commit Reviews Using Process
Simulation",10.1145/2904354.2904362,Aux1,wos,IC2|IC3,6.0,True
177,b7fd840a,2016,Kamma D.,High productivity programmers use effective task processes in unit-testing,10.1109/APSEC.2015.31,WS,scopus,IC2,6.0,True
178,eefc7305,2016,,Interactive Exploration of Developer Interaction Traces using a Hidden Markov Model,,Aux1,ieee,IC1|IC2,5.0,True
179,37b22a16,2016,"Rojas Blum, Fabian",Mining Software Process Lines,10.1145/2889160.2889267,WS,acm,IC1,2.0,False
180,2b343650,2016,"Joe, Jeni; Emmatty, Tanya; Ballal, Yasha; Kulkarni, Snehal",Process mining for project management,10.1109/SAPIENCE.2016.7684142,WS,ieee,IC1|IC4,3.0,False
181,4f816525,2016,"Caldeira, João; Abreu, Fernando Brito e","Software Development Process Mining: Discovery, Conformance Checking and Enhancement",10.1109/QUATIC.2016.061,WS,ieee,IC1,3.0,False
182,4dc479a6,2016,,The Discovery of the Implemented Software Engineering Process Using Process Mining Techniques,10.14569/ijacsa.2016.070239,Aux1,snowball,IC1,4.0,True
183,7ab40121,2016,Ernst M.,The Potential of Key Process/Performance Indicators (KPIs) in Automotive Software Quality Management,10.4271/2016-01-0046,WS,scopus,IC2|IC3,4.0,True
184,16e31373,2016,Rojas Blum F.,The v-algorithm for discovering software process lines,10.1002/smr.1778,WS,scopus,IC1,7.0,True
185,632737fb,2016,Zhang L.,Verification of lean-kanban processes with probabilistic model checking,10.1504/IJCAT.2016.076799,WS,scopus,IC2,5.0,True
186,3d967450,2017,Jeon C.K.,A probabilistic approach to building defect prediction model for platform-based product lines,,WS,scopus,IC2|IC3,6.0,True
187,ef76ffc3,2017,,An Experience Report on Applying Passive Learning in a Large-Scale Payment Company,10.1109/ICSME.2017.71,Aux1,ieee,IC1|IC4,6.0,True
