internal_id,title,doi,year,source_db,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,raw
b15d458a,Comprehensive Resilience Assessment of Distribution Network In Extreme Weather,10.1109/CIEEC60922.2024.10583051,2024,ieee,exclude,"O artigo trata de resiliência de redes de distribuição elétrica em condições climáticas extremas, não abordando processos de desenvolvimento de software. Aplica-se EC1 (domínio fora de SW): setor de energia/infraestrutura crítica, sem qualquer conexão com SW ou seus processos.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de resiliência de redes de distribuição elétrica em condições climáticas extremas, não abordando processos de desenvolvimento de software. Aplica-se EC1 (domínio fora de SW): setor de energia/infraestrutura crítica, sem qualquer conexão com SW ou seus processos."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""monte_carlo"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""mont"
15ec97c7,"Stochastic Optimization Model for Short-term Planning of Tanker Water
Supply Systems in Urban Areas",10.1016/j.ifacol.2022.07.487,2022,wos,exclude,"O artigo trata de otimização estocástica em sistemas de distribuição de água em áreas urbanas, domínio completamente fora de engenharia de software e processos de desenvolvimento. EC1 (domínio fora de SW) é claramente aplicável.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de otimização estocástica em sistemas de distribuição de água em áreas urbanas, domínio completamente fora de engenharia de software e processos de desenvolvimento. EC1 (domínio fora de SW) é claramente aplicável."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""c"
20d45ac6,Measuring the Compliance of Processes with Reference Models,10.1007/978-3-642-05148-7_8,2009,springer,maybe,"Título sugere relevância a conformance checking (IC1 potencial), mas ausência total de abstract impede avaliação confiável do escopo. Pode tratar BPM genérico sem aplicação a processos de SW, ou ser aplicável a SW. Requer full text para decisão.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere relevância a conformance checking (IC1 potencial), mas ausência total de abstract impede avaliação confiável do escopo. Pode tratar BPM genérico sem aplicação a processos de SW, ou ser aplicável a SW. Requer full text para decisão."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  "
ab98eb2e,Monitoring Service Systems from a Language-Action Perspective,10.1109/tsc.2010.41,2010,snowball,exclude,"O artigo trata de monitoramento de serviços e processos de negócio em nível genérico (language-action perspective, commitments, policies), sem evidência de aplicação específica a processos de desenvolvimento de software, mineração de repositórios, ou modelagem estocástica de SW. O foco em service systems abertos não atende aos critérios de intersecção com process mining em SW.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de monitoramento de serviços e processos de negócio em nível genérico (language-action perspective, commitments, policies), sem evidência de aplicação específica a processos de desenvolvimento de software, mineração de repositórios, ou modelagem estocástica de SW. O foco em service systems abertos não atende aos critérios de intersecção com process mining em SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],"
a18bdf86,"Instrumental and Astrophysical Performances of SuperAGILE
on-board AGILE gamma-ray mission",10.1117/12.409122,2000,wos,exclude,"Artigo sobre instrumentação de astronomia de raios-X/gama (missão AGILE). Não trata de processos de software, process mining, modelagem estocástica de processos de desenvolvimento ou forecasting de métricas de SW. Domínio claramente fora do escopo (astrofísica instrumental).",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Artigo sobre instrumentação de astronomia de raios-X/gama (missão AGILE). Não trata de processos de software, process mining, modelagem estocástica de processos de desenvolvimento ou forecasting de métricas de SW. Domínio claramente fora do escopo (astrofísica instrumental)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""monte_carlo""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""monte_carlo"",
  ""for"
464fd985,Language usage analysis for EMF metamodels on GitHub,10.1007/s10664-023-10368-x,2024,wos,exclude,"O paper analisa o uso de construtos de linguagem em metamodelos EMF no GitHub, mas não trata de process mining, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios para descoberta/previsão de processos de SW. É um estudo de linguagem, não de processos de desenvolvimento.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper analisa o uso de construtos de linguagem em metamodelos EMF no GitHub, mas não trata de process mining, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios para descoberta/previsão de processos de SW. É um estudo de linguagem, não de processos de desenvolvimento."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC3""
  ],
  ""evidence_tags"": [
    ""repository_mining""
  ],
  ""software_context"": ""not_software_"
dc44be7d,Proposals for Future BPM Research Directions,10.1007/978-3-319-08222-6_1,2014,springer,maybe,"Título genérico sobre direções futuras em BPM sem abstract disponível. Impossível determinar se aborda process mining, modelagem estocástica ou forecasting em contexto de software development processes sem texto completo.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título genérico sobre direções futuras em BPM sem abstract disponível. Impossível determinar se aborda process mining, modelagem estocástica ou forecasting em contexto de software development processes sem texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_data_source"""
7bd50666,FUNSOFT nets: a Petri-net based software process modeling language,10.1109/iwssd.1991.213063,2002,snowball,maybe,"O artigo aborda modelagem de processos de software usando Petri nets (FUNSOFT nets), o que potencialmente atende IC2 (modelagem estocástica em processos de SW). Contudo, o abstract é brevíssimo e não menciona explicitamente: (1) se há análise de dados reais de processos de SW, (2) se há componente estocástica além da estrutura Petri net, ou (3) se há aplicação a artefatos concretos de software (lo",IC2,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O artigo aborda modelagem de processos de software usando Petri nets (FUNSOFT nets), o que potencialmente atende IC2 (modelagem estocástica em processos de SW). Contudo, o abstract é brevíssimo e não menciona explicitamente: (1) se há análise de dados reais de processos de SW, (2) se há componente estocástica além da estrutura Petri net, ou (3) se há aplicação a artefatos concretos de software (logs, repositórios). A ausência de verificação direta"
51737bad,Assessing Security to Compare Architecture Alternatives of Component-Based Systems,10.1109/QRS.2015.24,2015,ieee,exclude,"O artigo trata de avaliação de segurança em arquiteturas de componentes usando modelagem estocástica, mas não aborda processo de desenvolvimento de software, mineração de repositórios, event logs ou forecasting de métricas de processo. Foca em qualidade arquitetural estática, não em análise ou predição de processos de SW.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de avaliação de segurança em arquiteturas de componentes usando modelagem estocástica, mas não aborda processo de desenvolvimento de software, mineração de repositórios, event logs ou forecasting de métricas de processo. Foca em qualidade arquitetural estática, não em análise ou predição de processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC3""
  ],
  ""evidence_tags"": [
    ""stochastic_modeling""
  ],
  ""software_contex"
c2659f3a,A Framework for the Construction and Tailoring of Engineering Development Process Models,10.1109/tem.2021.3132699,2022,snowball,exclude,"O artigo aborda construção e adaptação de modelos de processo para projetos de engenharia, mas não envolve process mining, modelagem estocástica, forecasting de métricas ou mineração de repositórios. É um framework conceitual de gestão de processo, não uma aplicação empírica de técnicas de análise de processo baseada em dados.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aborda construção e adaptação de modelos de processo para projetos de engenharia, mas não envolve process mining, modelagem estocástica, forecasting de métricas ou mineração de repositórios. É um framework conceitual de gestão de processo, não uma aplicação empírica de técnicas de análise de processo baseada em dados."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC3""
  ],
  ""evidence_tags"": [],
  ""software_context"": ""software_project_ma"
1ed4d48b,Unlocking learner engagement and performance: A multidimensional approach to mapping learners to learning cohorts,10.1007/s10639-024-12782-0,2024,springer,exclude,"Título e domínio indicam contexto educacional (learner engagement, learning cohorts), sem evidência de processo de software, process mining ou modelagem estocástica de desenvolvimento de SW. Abstract ausente impede confirmação, mas o título não sugere relevância ao escopo PATHCAST.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Título e domínio indicam contexto educacional (learner engagement, learning cohorts), sem evidência de processo de software, process mining ou modelagem estocástica de desenvolvimento de SW. Abstract ausente impede confirmação, mas o título não sugere relevância ao escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"""
40009ea6,The state of adoption and the challenges of systematic variability management in industry,10.1007/s10664-019-09787-6,2020,springer,maybe,"Título refere-se a gestão de variabilidade em software (possível relevância a processos de SW), mas sem abstract disponível é impossível confirmar se aborda process mining, modelagem estocástica, forecasting ou mineração de repositórios. Requer leitura de full text para classificação definitiva.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título refere-se a gestão de variabilidade em software (possível relevância a processos de SW), mas sem abstract disponível é impossível confirmar se aborda process mining, modelagem estocástica, forecasting ou mineração de repositórios. Requer leitura de full text para classificação definitiva."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochast"
083f2b59,Ising-Model Optimizer with Parallel-Trial Bit-Sieve Engine,10.1007/978-3-319-61566-0_39,2018,springer,exclude,"O título refere-se a um otimizador baseado em modelo Ising com engine paralela, sem indicação de aplicação a processos de software ou process mining. Sem abstract disponível, não há evidência de relevância ao escopo PATHCAST (process mining, modelagem estocástica ou forecasting em processos de SW).",,EC3|EC2,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se a um otimizador baseado em modelo Ising com engine paralela, sem indicação de aplicação a processos de software ou process mining. Sem abstract disponível, não há evidência de relevância ao escopo PATHCAST (process mining, modelagem estocástica ou forecasting em processos de SW)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""ot"
870f5d96,Promote-pl,10.1145/3382025.3414970,2020,snowball,exclude,"O paper apresenta um modelo de processo conceitual para engenharia de linhas de produtos de software, sem análise de event logs, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios. É um trabalho prescritivo/normativo, não empírico sobre dados de processos reais.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper apresenta um modelo de processo conceitual para engenharia de linhas de produtos de software, sem análise de event logs, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios. É um trabalho prescritivo/normativo, não empírico sobre dados de processos reais."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""software_process""],
  ""software_context"": ""software_development_process"",
  ""stoc"
b831ecc6,Research on Web Data Mining and Its Application in Electronic Commerce,10.1109/CISE.2009.5363366,2009,ieee,exclude,"O artigo trata de web data mining e e-commerce, domínios fora do escopo de processos de software. Não há evidência de aplicação a process mining em artefatos de SW, modelagem estocástica de processos de desenvolvimento, forecasting de métricas de processo de SW, ou mineração de repositórios de software.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de web data mining e e-commerce, domínios fora do escopo de processos de software. Não há evidência de aplicação a process mining em artefatos de SW, modelagem estocástica de processos de desenvolvimento, forecasting de métricas de processo de SW, ou mineração de repositórios de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"
ad3d7613,The Process of Business Process Management,10.1007/978-3-642-45103-4_15,2015,springer,maybe,"Título genérico de BPM sem abstract disponível. Impossível determinar se aborda process mining, modelagem estocástica ou forecasting em processos de SW especificamente, ou se é apenas handbook genérico sobre BPM.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título genérico de BPM sem abstract disponível. Impossível determinar se aborda process mining, modelagem estocástica ou forecasting em processos de SW especificamente, ou se é apenas handbook genérico sobre BPM."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  "
e4087bbe,Does This Make Sense? Machine Learning-Based Detection of&#xa0;Semantic Anomalies in&#xa0;Business Processes,10.1007/978-3-031-41620-0_10,2023,springer,maybe,"Título sugere aplicação de ML a detecção de anomalias em processos de negócio, potencialmente relevante a process mining em SW. Porém, abstract ausente e impossível confirmar: (1) se o domínio é SW ou genérico de BPM; (2) se utiliza event logs ou process mining; (3) se a análise é de processos de desenvolvimento de software. Venue BPM pode abranger ambos contextos.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere aplicação de ML a detecção de anomalias em processos de negócio, potencialmente relevante a process mining em SW. Porém, abstract ausente e impossível confirmar: (1) se o domínio é SW ou genérico de BPM; (2) se utiliza event logs ou process mining; (3) se a análise é de processos de desenvolvimento de software. Venue BPM pode abranger ambos contextos."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"""
da9d41da,Integrated Declarative Process and Decision Discovery of the Emergency Care Process,10.1007/s10796-020-10078-5,2020,springer,exclude,"O artigo trata de descoberta de processos em contexto de cuidados de emergência (healthcare), não de processos de desenvolvimento de software. Sem abstract disponível, a evidência de título aponta claramente para domínio médico, não SE, caracterizando EC1 (domínio fora de SW).",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de descoberta de processos em contexto de cuidados de emergência (healthcare), não de processos de desenvolvimento de software. Sem abstract disponível, a evidência de título aponta claramente para domínio médico, não SE, caracterizando EC1 (domínio fora de SW)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_"
20215571,Enhanced BiGAN for multi-task learning in business process prediction: next activity and timestamp prediction tasks,10.1007/s10586-025-05733-y,2025,springer,maybe,"O título sugere aplicação em business process prediction com forecasting de atividades e timestamps, potencialmente alinhado a IC3 e IC2. Contudo, sem abstract disponível, não é possível confirmar se o domínio é processos de software (IC4 não claramente evidenciado) ou BPM genérico. Abstract ausente impede avaliação robusta de exclusões (EC1 sobre domínio) e inclusões.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere aplicação em business process prediction com forecasting de atividades e timestamps, potencialmente alinhado a IC3 e IC2. Contudo, sem abstract disponível, não é possível confirmar se o domínio é processos de software (IC4 não claramente evidenciado) ou BPM genérico. Abstract ausente impede avaliação robusta de exclusões (EC1 sobre domínio) e inclusões."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_min"
5c43edc7,"Identifying key success factors for Globally Distributed Software
Development project using simulation: A case study",,2008,wos,include,"O paper apresenta um modelo de simulação para processos de desenvolvimento de software distribuído globalmente (GSD), analisando fatores de sucesso através de simulação e análise de sensibilidade. Atende IC2 (modelagem estocástica de processos de SW) e IC4 (análise de processos de desenvolvimento de software), sem evidência clara de exclusão.",IC2|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper apresenta um modelo de simulação para processos de desenvolvimento de software distribuído globalmente (GSD), analisando fatores de sucesso através de simulação e análise de sensibilidade. Atende IC2 (modelagem estocástica de processos de SW) e IC4 (análise de processos de desenvolvimento de software), sem evidência clara de exclusão."",
  ""matched_ic"": [""IC2"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""stochastic_modeling"",
  "
ee760ea2,Semantic Web Service Coordination,10.1007/978-3-7643-8575-0_4,2008,springer,maybe,"Título sugere coordenação de serviços Web semânticos, domínio potencialmente fora de processos de SW. Abstract ausente impede verificação de relevância a process mining, modelagem estocástica ou forecasting em desenvolvimento de software. Necessário acesso ao texto completo.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere coordenação de serviços Web semânticos, domínio potencialmente fora de processos de SW. Abstract ausente impede verificação de relevância a process mining, modelagem estocástica ou forecasting em desenvolvimento de software. Necessário acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""insufficient_abstract"",
    ""full_text_required""
  ],
  ""software_context"": ""unclear"",
  ""stochastic_method"
f0d56208,Cone Codebook for Limited Feedback Beamforming over Correlated MIMO Channels,10.1109/VTCSpring.2013.6692487,2013,ieee,exclude,"O paper trata de engenharia de comunicações (beamforming em canais MIMO), não de processos de software ou process mining. Embora use Markov e Monte Carlo, estas são técnicas genéricas em telecomunicações, sem qualquer ligação a desenvolvimento de software, event logs, repositórios ou processos de SW.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de engenharia de comunicações (beamforming em canais MIMO), não de processos de software ou process mining. Embora use Markov e Monte Carlo, estas são técnicas genéricas em telecomunicações, sem qualquer ligação a desenvolvimento de software, event logs, repositórios ou processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""markov"", ""monte_carlo""],
  ""software_context"": ""not_software_process"",
  ""stoch"
9159dcab,Polled Digital Cell Sorter (p-DCS): Automatic identification of hematological cell types from single cell RNA-sequencing clusters,10.1186/s12859-019-2951-x,2019,snowball,exclude,"O artigo trata de bioinformática e análise de dados de sequenciamento de RNA de célula única (scRNA-seq) para identificação de tipos celulares em amostras de medula óssea. Não há qualquer conexão com processos de software, engenharia de software, process mining, ou modelagem estocástica de processos de desenvolvimento de software.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de bioinformática e análise de dados de sequenciamento de RNA de célula única (scRNA-seq) para identificação de tipos celulares em amostras de medula óssea. Não há qualquer conexão com processos de software, engenharia de software, process mining, ou modelagem estocástica de processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
"
