row_idx,internal_id,title,doi,ft_decision_primary,ft_decision_verifier,verifier_model,raw
14,,Detection and correction process modeling considering the time dependency,10.1109/PRDC.2006.27,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de modelos de confiabilidade de software (fault detection/correction) usando Monte Carlo e MLE, mas foca em software reliability growth models — não aplica process mining, mineração de repositórios, modelagem estocástica de processos de desenvolvimento de software (IC2 exige modelagem do processo de desenvolvimento, não do produto/confiabilidade). O contexto é software testing/reliability, e o Monte Carlo é usado para comparar métodos estatísticos, não para forecasting de métricas de processo. EC2 se aplica: 'software' é o produt"
12,,Modeling and predicting software failure costs,10.1109/COMPSAC.2009.195,exclude,include,claude-sonnet-4-6,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper propõe modelos estocásticos para estruturar e prever custos de falhas de software em projetos industriais de desenvolvimento de software, o que se enquadra em IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting de métricas de processo como taxas de defeitos/custos de falha). Dois estudos de caso em desenvolvimento industrial de software confirmam aplicação direta ao domínio."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""forecasting"", ""defect_prediction"", ""software_proces"
13,,An Empirical Analysis of Build Failures in the Continuous Integration Workflows of Java-Based Open-Source Software,10.1109/MSR.2017.54,exclude,include,claude-sonnet-4-6,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O artigo minera repositórios GitHub e logs de CI de 14 projetos Java open-source para identificar categorias de falhas de build e analisar fatores (métricas de processo e CI) que impactam o resultado dos builds, atendendo claramente IC1 (process mining em artefatos de SW: commits e CI/CD) e IC4 (mineração de repositórios para descoberta de padrões em processos de SW). Não há violação de critérios de exclusão."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [""repository_mining"", ""ci_cd"", ""version_control"", ""software_pro"
10,,Systematic mapping study on process mining in agile software development,10.1007/978-3-030-00623-5_20,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O estudo é um systematic mapping study (revisão secundária) sobre process mining em agile software development, enquadrando-se em EC4 (survey/SLR). Embora aborde process mining em contexto de software, trata-se de uma revisão de literatura, não de aplicação primária de process mining, modelagem estocástica ou forecasting em processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""repository_mining"", ""event_log"", ""issue_tracking"", ""version_control""],
  ""software_context"": ""softwa"
18,,Distributed process discovery and conformance checking,10.1007/978-3-642-28872-2_1,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de process mining distribuído (descoberta e conformance checking) com foco em desempenho computacional e particionamento de event logs, sem qualquer menção a processos de desenvolvimento de software, repositórios ou artefatos de SW. Aplica-se a BPM genérico, configurando EC1/EC2."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""event_log""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confide"
17,,Reconstructing meaningful workflow from transaction logs,10.1109/ICSESS.2010.5552439,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de mineração de workflows a partir de transaction logs em contexto genérico de negócios (business processes), sem qualquer menção a processos de desenvolvimento de software, repositórios, ou artefatos de SW. O domínio é BPM genérico, enquadrando-se em EC1/EC2."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""event_log""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confidence"": ""high""
}
```"
20,,"Proceedings - 2022 4th International Conference on Process Mining, ICPM 2022",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Este registro corresponde aos proceedings completos da conferência ICPM 2022, não a um artigo individual com conteúdo avaliável. Sem abstract ou artigo específico, é impossível verificar se algum IC da SLR PATHCAST é atendido; artigos individuais desses proceedings devem ser avaliados separadamente."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confi"
16,,Understanding knowlegde-intensive processes: From traces to instance graphs,10.1109/HPCSim.2016.7568338,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica process mining genérico a enterprise information systems para construir Instance Graphs a partir de event logs, sem qualquer ligação a processos de desenvolvimento de software, repositórios, ou métricas de SW. O domínio é BPM/enterprise genérico, não engenharia de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""event_log""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confidence"":"
21,,Discovering simulation models,10.1016/j.is.2008.09.002,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica process mining e Petri nets coloridas para descobrir modelos de simulação a partir de event logs, mas os dois casos de estudo são workflows de municípios holandeses (setor público/governo), não processos de desenvolvimento de software. Não há menção a artefatos de SW (commits, issues, CI/CD) nem a processos de engenharia de software, ativando EC1."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""stochastic_petri_net"", ""simulation""],
  ""software_context"": ""not_software_process"",
 "
24,,A general modeling and analysis framework for software fault detection and correction process,10.1002/stvr.1600,exclude,include,claude-sonnet-4-6,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper usa modelo de Markov para modelar processos de detecção e correção de falhas em software com dados de projetos reais, atendendo IC2 (modelagem estocástica em processos de SW). Também realiza predição/estimação de parâmetros relacionados a confiabilidade de software, tocando IC3."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""markov"", ""software_process"", ""reliability"", ""defect_prediction"", ""simulation""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""marko"
23,,Optimal test profile in the context of software cybernetics,10.1109/APAQS.2001.990014,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica cadeias de Markov controladas ao processo de teste de software como problema de controle, não a processos de desenvolvimento de software (commits, issues, CI/CD, etc.). O foco é na otimização do perfil de teste via teoria de controle, o que se enquadra em EC2 (software como objeto de estudo técnico, não o processo de desenvolvimento sendo minerado ou modelado para forecasting de métricas de processo) e EC3 (método teórico sem avaliação em processos de SW no escopo PATHCAST)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC3""],
"
25,,GitProjectHealth: An Extensible Framework for Git Social Platform Mining,10.1109/MSR66628.2025.00094,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper apresenta um framework de extração de dados de repositórios Git (commits, merge requests, tickets), mas seu foco é na infraestrutura de mineração e conectividade entre plataformas, sem aplicar process mining, modelagem estocástica, forecasting ou descoberta de modelos de processo de desenvolvimento de software. A análise se limita a distribuições descritivas de commits e associações entre tickets e merge requests, não atendendo a nenhum IC com a profundidade exigida na fase de texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"
26,,EMISA 2020 - 10th International Workshop on Enterprise Modeling and Information Systems Architectures,,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se a um proceedings de workshop sobre modelagem empresarial e arquiteturas de sistemas de informação, sem nenhum abstract disponível e sem evidência de que os artigos individuais atendam a qualquer IC da SLR PATHCAST. Na fase de texto completo, a ausência total de conteúdo avaliável, combinada com um título que não indica process mining, modelagem estocástica ou forecasting em processos de SW, justifica exclusão."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": """
22,,"24th International Conference on Business Process Modeling, Development, and Support, BPMDS 2023 and 28th International Conference on Exploring Modeling Methods for Systems Analysis and Development, EMMSAD 2023",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Este registro refere-se aos anais completos das conferências BPMDS/EMMSAD 2023, não a um artigo individual com conteúdo avaliável. Sem abstract e sem identificação de um paper específico, não é possível confirmar nenhum IC; tratar anais inteiros como unidade de inclusão não é metodologicamente adequado para uma SLR."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confid"
27,,"20th International Conference on Business Process Management, BPM 2022",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de BPM em pequenas e médias empresas familiares (SMFFs), abordando cultura organizacional, ambidestria e capacidades de TI — não envolve process mining, modelagem estocástica, forecasting de métricas de processo, nem mineração de repositórios de software. Nenhum critério de inclusão da SLR PATHCAST é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""conf"
31,,"7th International Workshop on Software Engineering for Resilient Systems, SERENE 2015",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Trata-se de um proceedings de workshop sobre engenharia de software para sistemas resilientes (SERENE 2015), sem abstract disponível e sem evidência de que os papers cobrem process mining, modelagem estocástica de processos de SW ou forecasting de métricas de processo. O foco em resiliência de sistemas sugere domínio de dependabilidade/confiabilidade, não análise de processos de desenvolvimento."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": """
33,,Assessing process-centered software engineering environments,10.1145/258077.258080,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de ambientes de engenharia de software centrados em processo (PSEEs) e avaliação comparativa desses ambientes, sem aplicar process mining, modelagem estocástica para previsão, ou forecasting de métricas de processo. Embora mencione Petri nets e simulação de processo, o foco é na avaliação/comparação de PSEEs como sistemas de suporte, não na mineração ou previsão estocástica de processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""software_process"", ""simulation""],
  ""software_context"": ""software_dev"
34,,"International Workshops on Business Process Management, BPM 2020",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de BPM em pequenas e médias empresas familiares sob uma perspectiva de gestão organizacional e ambidestria, sem qualquer relação com process mining, modelagem estocástica, forecasting ou processos de desenvolvimento de software. Nenhum IC da SLR PATHCAST é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""survey_or_secondary"",
  ""confidence"": ""high""
}
```"
29,,"PoEM-Forum 2020 - Proceedings of the Forum at Practice of Enterprise Modeling 2020, co-located with the 13th IFIP WG 8.1 Working Conference on the Practice of Enterprise Modeling, PoEM 2020",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O resumo descreve os proceedings de um fórum sobre Enterprise Modeling (PoEM 2020), sem evidência de que os artigos individuais abordam process mining, modelagem estocástica ou forecasting em processos de software. Trata-se de um volume de conference proceedings genérico sem conteúdo alinhado aos ICs da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high"
35,,Software reliability estimation method based on Markov usage models using Importance Sampling,10.1109/ICACI.2012.6463123,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper usa modelos de Markov para estimação de confiabilidade de software via testes estatísticos (statistical testing), não para modelar processos de desenvolvimento de software. O foco é na confiabilidade do produto de software em execução (reliability estimation), não em processos como commits, issues, CI/CD ou workflows de desenvolvimento — configurando EC1/EC2 (software como objeto de teste, não processo de desenvolvimento)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""stochastic_modeling"", ""markov"", ""simulation"", "
36,,"Proceedings - 2019 International Conference on Process Mining, ICPM 2019",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Este registro corresponde ao volume de proceedings da ICPM 2019 como um todo, não a um artigo individual com conteúdo avaliável. Sem abstract ou conteúdo específico, não é possível confirmar nenhum IC; tratar um proceedings inteiro como unidade de análise não é apropriado para SLR."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""high""
}
`"
30,,Assisting developers towards fault localization by analyzing failure reports,,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper foca em localização de falhas (fault localization) analisando relatórios de bugs e stack traces, não em process mining, modelagem estocástica de processos ou forecasting de métricas de processo de desenvolvimento. Embora use repositórios Bugzilla e event logs, o objetivo é identificar métodos suspeitos de conter root causes de falhas, não descobrir ou prever processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""issue_tracking"", ""defect_prediction""],
  ""software_context"": ""software"
37,,Reducing user input requests to improve IT support ticket resolution process,10.1007/s10664-017-9532-2,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper analisa ciclos de vida de tickets de suporte de TI (IT support) focando em redução de requisições de input do usuário e predição de informações necessárias, sem aplicar process mining, modelagem estocástica ou forecasting de métricas de processo no sentido do escopo PATHCAST. O 'software' aqui é infraestrutura gerenciada, não o processo de desenvolvimento de software em si, e a abordagem é classificação/predição de campos de tickets, não mineração de event logs ou modelagem estocástica de processos."",
  ""matched_ic"": [],
  ""matched_ec"""
41,,"Static and dynamic architecture conformance checking: A systematic, case study-based analysis on tradeoffs and synergies",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de conformance checking de arquitetura de software (static/dynamic), que é um tópico de engenharia de software estrutural, não de process mining aplicado a event logs ou processos de desenvolvimento. Não há evidência de modelagem estocástica, forecasting ou mineração de repositórios para processos de SW, tornando improvável o atendimento a qualquer IC do escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_ta"
39,,A vector Markov model for structural coverage growth and the number of failure occurrences,10.1109/ISSRE.2002.1173276,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica um modelo Markov para modelagem de cobertura estrutural e ocorrências de falhas no contexto de teste de software (reliability growth models), não para modelar ou prever métricas de processos de desenvolvimento de software (IC2/IC3). O foco é em confiabilidade de software como produto, não no processo de desenvolvimento, enquadrando-se em EC2 (software como ferramenta/artefato sob análise de qualidade, não processo sendo estudado)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""stochastic_modeling"", ""markov"","
44,,Software reliability modelling and prediction with hidden Markov chains,10.1191/1471082X05st087oa,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica Hidden Markov Chains para modelar o processo de falhas e depuração de software com foco em confiabilidade (reliability) do produto de software, não em processos de desenvolvimento de software (commits, issues, CI/CD, fluxos de trabalho). O contexto é 'software como produto' (EC2/EC1 implícito), sem mineração de repositórios ou process mining em artefatos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""hidden_markov_model"", ""stochastic_modeling"", ""reliability""],
  ""software_context"": ""not_software_proce"
45,,A hybrid process-mining approach for simulation modeling,10.1109/WSC.2017.8247894,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica process mining combinado com simulação a um Departamento de Emergência hospitalar (domínio de saúde), sem qualquer relação com processos de desenvolvimento de software. O EC1 (domínio fora de SW) é claramente aplicável."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confidence"": ""high""
}
```"
46,,Remaining activity sequence prediction for ongoing process instances,10.18293/SEKE2021-075,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aplica process mining e LSTM para predição de sequências de atividades em instâncias de processo em geral, usando event logs de domínios não especificados como software. O venue SEKE não é evidência suficiente de aplicação a processos de desenvolvimento de software, e o resumo não menciona artefatos de SW (commits, issues, CI/CD), tornando EC1/EC2 aplicáveis — 'software' aqui é apenas ferramenta/venue, não o processo estudado."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""for"
42,,"2010 ICSE Workshop on Quantitative Stochastic Models in the Verification and Design of Software Systems, QUOVADIS 2010, in Conjunction with the 32nd ACM/IEEE Int. Conf. on Software Engineering, ICSE 2010",,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O título indica um workshop sobre modelos estocásticos quantitativos em verificação e design de sistemas de software (QUOVADIS 2010), sugerindo alinhamento com IC2, mas o abstract está ausente e não é possível confirmar se o conteúdo cobre processos de desenvolvimento de SW ou apenas verificação/design formal de artefatos de software."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""fore"
47,,Process discovery: Automated approach for block discovery,10.5220/0004896402040211,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de process discovery genérico aplicado a event logs de processos de negócio (BPM), sem evidência de aplicação a processos de desenvolvimento de software. O foco é no desenvolvimento de um algoritmo baseado em matrizes para detectar blocos de tarefas em logs, sem vínculo com artefatos de SW (commits, issues, CI/CD), configurando EC2/EC3."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [""process_mining"", ""event_log""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_t"
49,,Towards Organizational Digital Twins: Process Enhancement by Object-Centric Simulation,,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere simulação de processos organizacionais com object-centric modeling, potencialmente ligado a process mining, mas sem indicação clara de foco em processos de desenvolvimento de software. A relevância para PATHCAST permanece incerta sem acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""pro"
