row_idx,internal_id,title,doi,ta_decision_primary,ta_decision_verifier,verifier_model,raw
10,76c0757a,Test Suite Generation for Software Reliability Testing Based on Hybrid Musa and Markov Method,10.1109/DSA51864.2020.00087,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aplica Markov chain para geração de test suites de confiabilidade de software em sistemas de equipamentos militares complexos; embora use Markov, o foco é em reliability testing de sistemas embarcados/militares, não em processos de desenvolvimento de software (commits, issues, CI/CD). O 'software' é o artefato sendo testado, não o processo de desenvolvimento sendo minerado ou modelado."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""markov"", ""reliability"", ""software_testing""],
  ""software_context"": ""software_t"
11,b399cadf,Fluctuating Finite Element Analysis (FFEA): A continuum mechanics software tool for mesoscale simulation of biomolecules,10.1371/journal.pcbi.1005897,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de simulação de mecânica contínua de biomoléculas (proteínas) usando FFEA, sem qualquer relação com processos de desenvolvimento de software. O 'software' mencionado é a ferramenta implementada (EC2), e o domínio é biologia/física computacional (EC1)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
12,6da2c219,Approximation algorithms for 2-stage stochastic optimization problems,10.1007/11944836_3,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um paper teórico sobre algoritmos de aproximação para otimização estocástica em dois estágios, sem qualquer indicação de aplicação a processos de desenvolvimento de software. A ausência de abstract não justifica inclusão dado o título claramente fora do escopo."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""other_stochastic"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
``"
13,73d200fc,Finding deep compiler bugs via guided stochastic program mutation,10.1145/2814270.2814319,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de detecção de bugs em compiladores via mutação estocástica de programas, usando 'software' como ferramenta/objeto de teste e não como processo de desenvolvimento sendo estudado. Não há indicação de process mining, modelagem de processos de SW, forecasting de métricas de processo ou mineração de repositórios."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC3""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""other_stochastic"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""non"
15,bdcd2ba0,Process Mining: Application in Practice,10.1109/MIPRO60963.2024.10569435,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper é uma revisão sistemática sobre aplicações práticas de process mining em diferentes indústrias, sem foco em processos de desenvolvimento de software. O escopo abrange aplicações gerais de PM em negócios, sem relação com artefatos de SW (commits, issues, PR, CI/CD), modelagem estocástica ou forecasting de métricas de processo de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4"", ""EC1""],
  ""evidence_tags"": [""process_mining""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""proce"
14,cc5747af,Reliability assessment for multi-state automatic ticket vending machine (ATVM) through software and hardware failures,10.1108/JQME-08-2020-0089,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica o processo de Markov para análise de confiabilidade de uma máquina de venda de bilhetes (ATVM), usando 'software' no sentido de falhas de componentes de um equipamento físico, não como processo de desenvolvimento de software. O domínio é manutenção/engenharia de sistemas, não engenharia de software, atendendo EC1 e EC2."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""stochastic_modeling"", ""markov"", ""reliability""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""f"
16,aa68db1c,Algorithm for weighted hasse diagram and its application,10.1109/CISE.2010.5677073,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título trata de algoritmo para diagramas de Hasse ponderados, sem indicação de relação com process mining, modelagem estocástica de processos de SW ou mineração de repositórios. A ausência de abstract impede confirmação de relevância, mas o título não sugere nenhum critério de inclusão da SLR."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""low""
}
```"
17,61adb9a6,"A review on simulation in digital twin for aerospace, manufacturing and robotics",10.1016/j.matpr.2020.06.446,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de Digital Twin e simulação nos domínios de aeroespacial, manufatura e robótica, sem qualquer relação com processos de desenvolvimento de software. O uso de Monte Carlo é aplicado a domínios físicos/industriais, não a processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""simulation"", ""monte_carlo""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
18,d252afe8,"A Resource Optimization Algorithm of Cloud Data Center Based on Correlated Model of Reliability, Performance and Energy",10.1109/QRS-C.2016.69,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica foco em otimização de recursos em data centers com modelo de confiabilidade/desempenho/energia, não em process mining ou modelagem estocástica de processos de desenvolvimento de software. Mesmo sem abstract, o contexto aponta claramente para infraestrutura de cloud, não para processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""reliability""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confi"
19,6fd5d54c,APPLICATION OF RECURRENT NEURAL NETWORK IN IMPROVING SOFTWARE RELIABILITY MODEL OF REACTOR PROTECTION SYSTEM,10.1115/ICONE29-89440,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper foca em confiabilidade de software de sistemas de proteção de reatores nucleares (safety-critical), sendo o software o artefato analisado quanto a falhas, não o processo de desenvolvimento de software. Aplica-se principalmente ao domínio nuclear (EC1) e usa 'software' como sistema/produto, não como processo sendo estudado (EC2)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""stochastic_modeling"", ""reliability"", ""markov""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  "
21,44f777bf,Software project portfolio selection a Modern Portfolio Theory based technique,,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica foco em seleção de portfólio de projetos de software baseado em Modern Portfolio Theory (MPT), que é uma técnica de otimização financeira/gerencial e não trata de process mining, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de repositórios. Sem abstract disponível, mas o tema claramente não se enquadra nos ICs da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""software_project_management"",
  ""stochasti"
20,a87124ce,A hybrid framework for web services reliability and performance assessment,10.1109/ISSREW.2019.00070,exclude,maybe,claude-sonnet-4-6,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O paper usa DTMCs para modelar confiabilidade e desempenho de Web Services, o que pode atender IC2 (modelagem estocástica). No entanto, o foco é na confiabilidade operacional do serviço em si (como sistema em execução), não no processo de desenvolvimento de software, configurando possível EC2 (software como artefato/sistema, não processo sendo estudado). A menção ao GitHub sugere algum link com repositórios, mas o contexto é de monitoramento de serviço em produção, não de processo de SW."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [""EC2""],
  ""evi"
22,235532db,Computing conditional probabilities: Implementation and evaluation,10.1007/978-3-319-66197-1_22,exclude,maybe,claude-sonnet-4-6,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere um método de computação de probabilidades condicionais, possivelmente relevante para modelagem estocástica, mas sem abstract não é possível determinar se há aplicação a processos de software ou process mining. A ausência de resumo impede decisão definitiva."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""probabilistic_model"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}"
23,f5aa500e,PROcess Mining and Simulation for Healthcare Analysis: PROMSHA-Methodology,10.1109/ACCESS.2026.3663154,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica process mining e simulação exclusivamente no domínio da saúde (departamento de oftalmologia pediátrica de um hospital), sem qualquer relação com processos de desenvolvimento de software. O critério EC1 se aplica claramente."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confidence"": ""high""
}
```"
24,82f951e9,Accounting Thermal Noise in Mathematical Models of Quasi-Homogeneous Regions in Silicon Devices,10.1109/43.391729,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica claramente que o artigo trata de ruído térmico em modelos matemáticos de dispositivos de silício, campo da engenharia eletrônica/física, sem qualquer relação com processos de desenvolvimento de software ou process mining. Nenhum critério de inclusão da SLR PATHCAST é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
25,50fbb95a,Automata Learning versus Process Mining: The Case for User Journeys,10.1109/TSE.2026.3679253,exclude,maybe,claude-sonnet-4-6,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O paper aplica process mining a event logs de interações de usuários com serviços digitais (user journeys), mas o foco é na experiência do usuário com o serviço, não no processo de desenvolvimento de software em si; o contexto de SE mencionado é sobre incorporar feedback ao processo de engenharia de software, o que é tangencial ao escopo da PATHCAST."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""software_process""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecas"
26,1bdfcb8a,Reliability model for component-based systems in cosmic (a case study),10.1142/S0218194008003763,exclude,maybe,claude-sonnet-4-6,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título menciona 'reliability model' e 'component-based systems', o que pode envolver modelagem estocástica de confiabilidade de software (IC2/IC3), mas sem abstract não é possível confirmar se o foco é no processo de desenvolvimento ou apenas no produto/sistema. A referência a 'COSMIC' (método de medição funcional) sugere engenharia de software, mas o contexto exato permanece incerto."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""reliability"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"""
27,bbd2f648,"14th International Conference on Research Challenges in Information Sciences, RCIS 2020",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se apenas ao nome de uma conferência (RCIS 2020), sem abstract disponível e sem indicação de conteúdo específico relevante ao escopo da SLR PATHCAST. Não há evidência de atendimento a nenhum IC."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""low""
}
```"
28,f6c56de1,MoreFixes: A Large-Scale Dataset of CVE Fix Commits Mined through Enhanced Repository Discovery,10.1145/3663533.3664036,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper foca na construção de um dataset de vulnerabilidades (CVE fix commits) para pesquisa em segurança de software, sem aplicar process mining, modelagem estocástica ou forecasting de métricas de processo. O software é o objeto de estudo em termos de segurança/detecção de vulnerabilidades, não o processo de desenvolvimento sendo analisado ou previsto."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""repository_mining"", ""version_control""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""fore"
29,905df245,Modeling feedback within mas: A systemic approach to organizational dynamics,10.1007/978-3-642-02377-4_5,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título trata de modelagem de feedback em sistemas multi-agentes (MAS) com foco em dinâmicas organizacionais, sem evidência de aplicação a processos de desenvolvimento de software, process mining ou forecasting de métricas de SW. Mesmo sem abstract disponível, o domínio aparente não se alinha ao escopo da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_sourc"
30,d3b9741c,AUTOMATED GENERATION OF HYBRID PROBABILISTIC RISK MODELS FROM SYSML V2 MODELS OF SOFTWARE-DEFINED MANUFACTURING SYSTEMS,10.1115/IMECE2022-95433,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica Markov chains para análise de confiabilidade de sistemas de manufatura físicos (robótica/SDM), não a processos de desenvolvimento de software. O 'software' mencionado é o sistema embarcado, não o processo de engenharia de software em si."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""markov"", ""reliability"", ""stochastic_modeling"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""reliability"",
  ""process_data_source"": ""none"",
  ""co"
31,3eb17a6b,An Evaluation Framework for Comparative Analysis of Generalized Stochastic Petri Net Simulation Techniques,10.1109/TSMC.2018.2837643,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper propõe um framework de avaliação para técnicas de simulação de GSPNs (Generalized Stochastic Petri Nets), sendo 'software' apenas a ferramenta (simuladores acadêmicos como GreatSPN, PeabraiN, TimeNET) e não o processo de desenvolvimento de software sendo estudado. Não há aplicação a processos de SW, repositórios ou event logs de engenharia de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC3""],
  ""evidence_tags"": [""stochastic_petri_net"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""sto"
32,2b2cb5df,Availability improvement in virtualized multiple servers with software rejuvenation and virtualization,10.1109/SSIRI.2010.19,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica foco em disponibilidade de servidores virtualizados e software rejuvenation, que é um tópico de confiabilidade/disponibilidade de sistemas, não de mineração ou modelagem de processos de desenvolvimento de software. O contexto é claramente de engenharia de confiabilidade de sistemas, não de processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""reliability""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""reliability"",
  ""process_data_source"": """
33,03fcbe3c,End-to-End Delay Analysis of a Wireless Sensor Network Using Stochastic Network Calculus,10.1109/WD.2019.8734241,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de análise de delay em redes de sensores sem fio (WSN) usando Stochastic Network Calculus e cadeias de Markov de estado finito, sem qualquer relação com processos de desenvolvimento de software. O domínio é redes de comunicação/telecomunicações, não engenharia de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""stochastic_modeling"", ""markov""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"
34,25c96e68,On a Construction of Stationary Processes via Bilateral Matrix-Exponential Distributions,10.1007/978-3-030-31551-1_10,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um paper puramente teórico sobre construção de processos estacionários via distribuições matriciais-exponenciais bilaterais, sem qualquer indicação de aplicação a processos de desenvolvimento de software. Embora o abstract esteja ausente, o título aponta para matemática estocástica teórica (EC3), sem contexto de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""stochastic_modeling"", ""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""probabilistic_model"",
 "
35,f9f50e7b,FBMC3D - A Large-Scale 3-D Monte Carlo Simulation Tool for Modern Electronic Devices,10.1109/TED.2020.3039482,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de simulação Monte Carlo para transporte de cargas em dispositivos semicondutores (HgCdTe APD e MOS), sendo o 'software' mencionado apenas como ferramenta de simulação física, sem qualquer relação com processos de desenvolvimento de software. Aplica-se EC1 (domínio fora de SW) e EC2 (software como ferramenta)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""monte_carlo"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""none"",
  ""pro"
36,e9aadf7d,Software rejuvenation in maritime applications,,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica aplicação em domínio marítimo (reliability/rejuvenation de software embarcado), não em processos de desenvolvimento de software. Mesmo sem abstract, o contexto sugere EC1 (domínio fora de SW) e EC2 (software como ferramenta/sistema, não como processo estudado)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""reliability"", ""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""reliability"",
  ""process_data_source"": ""none"",
  ""conf"
37,55b53d19,Computing the number of calls dropped due to failures,10.1109/ISSRE.2010.18,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título sugere análise de chamadas telefônicas descartadas por falhas, domínio de redes de telecomunicações (EC1), sem relação com processos de desenvolvimento de software. A ausência de abstract impede confirmação, mas não há indício de relevância para a SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
38,6ff6fa95,An adaptive backoff protocol with Markovian contention window control,10.1080/03610918.2012.625817,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um protocolo de backoff adaptativo com controle de janela de contenção usando Markov, claramente relacionado a redes de comunicação/telecomunicações, não a processos de desenvolvimento de software. O venue 'Communications in Statistics' e o tema 'backoff protocol' confirmam domínio fora do escopo da SLR."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [""markov""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""no"
