internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,volume,issue,pages,publisher,is_duplicate,duplicate_of,selected,abstract_source,abstract_match_type
37b22a16,acm,acm_principal,ACM Principal,10.1145/2889160.2889267,Mining Software Process Lines,"Rojas Blum, Fabian",2016,"There is a vast growth of generated event data being collected and stored by organizations. Within the field of Process Mining, this data has been used to discover, analyze and enhance processes from different domains. For this purpose there are hundreds of techniques available in different tools. These techniques are mostly focused on single processes. On the other hand, there are several proposals for dealing with multiple processes. Under different names, such as: configurable process models, process families or process lines, processes are characterized by capturing commonalities and variability between (similar) process models. These approaches have shown to be useful for organizations that have multiple variants of a given process, e.g., reducing redundancy and maintenance time. In this research proposal, we are developing a framework that allows the use of Process Mining techniques in families of processes within the software development domain (i.e., Software Process Lines).",Proceedings of the 38th International Conference on Software Engineering Companion (ICSE '16),conference paper,,,,,839--842,ACM,False,,,openalex,doi_exact
b7022ac2,acm,acm_principal,ACM Principal,10.1145/3387904.3389294,Understanding What Software Engineers Are Working on: The Work-Item Prediction Challenge,"Lämmel, Ralf; Kerber, Alvin; Praza, Liane",2020,"Understanding what a software engineer (a developer, an incident responder, a production engineer, etc.) is working on is a challenging problem - especially when considering the more complex software engineering workflows in software-intensive organizations: i) engineers rely on a multitude (perhaps hundreds) of loosely integrated tools; ii) engineers engage in concurrent and relatively long running workflows; ii) infrastructure (such as logging) is not fully aware of work items; iv) engineering processes (e.g., for incident response) are not explicitly modeled. In this paper, we explain the corresponding’ work-item prediction challenge’ on the grounds of representative scenarios, report on related efforts at Facebook, discuss some lessons learned, and review related work to call to arms to leverage, advance, and combine techniques from program comprehension, mining software repositories, process mining, and machine learning.",Proceedings of the 28th International Conference on Program Comprehension (ICPC '20),conference paper,,,,,416--424,ACM,False,,,,
0f5a8ea4,acm,acm_principal,ACM Principal,,Fourth Annual Workshop on Data-Driven Knowledge Mobilization,"Noei, Ehsan; Lyons, Kelly; Stroulia, Eleni; Andritsos, Periklis",2019,,Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering (CASCON '19),conference paper,,,,,378--379,,False,,,,
32b39476,acm,acm_principal,ACM Principal,10.1145/3017680.3017716,Understanding Student Interactions in Capstone Courses to Improve Learning Experiences,"Neyem, Andres; Diaz-Mosquera, Juan; Munoz-Gama, Jorge; Navon, Jaime",2017,"Project-based courses can provide valuable learning experiences for computing majors as well as for faculty and community partners. However, proper coordination between students, stakeholders and the academic team is very difficult to achieve. We present an integral study consisting of a twofold approach. First, we propose a proven capstone course framework implementation in conjunction with an educational software tool to support and ensure proper fulfillment of most academic and engineering needs. Second, we propose an approach for mining process data from the information generated by this tool as a way of understanding these courses and improving software engineering education. Moreover, we propose visualizations, metrics and algorithms using Process Mining to provide an insight into practices and procedures followed during various phases of a software development life cycle. We mine the event logs produced by the educational software tool and derive aspects such as cooperative behaviors in a team, component and student entropy, process compliance and verification. The proposed visualizations and metrics (learning analytics) provide a multi-faceted view to the academic team serving as a tool for feedback on development process and quality by students",Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education (SIGCSE '17),conference paper,,,,,423--428,ACM,False,,,openalex,doi_exact
3231578f,acm,acm_principal,ACM Principal,10.1145/2597073.2597081,Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective,"Gupta, Monika; Sureka, Ashish; Padmanabhuni, Srinivas",2014,"Issue reporting and resolution is a software engineering process supported by tools such as Issue Tracking System (ITS), Peer Code Review (PCR) system and Version Control System (VCS). Several open source software projects such as Google Chromium and Android follow process in which a defect or feature enhancement request is reported to an issue tracker followed by source-code change or patch review and patch commit using a version control system. We present an application of process mining three software repositories (ITS, PCR and VCS) from control flow and organizational perspective for effective process management. ITS, PCR and VCS are not explicitly linked so we implement regular expression based heuristics to integrate data from three repositories for Google Chromium project. We define activities such as bug reporting, bug fixing, bug verification, patch submission, patch review, and source code commit and create an event log of the bug resolution process. The extracted event log contains audit trail data such as caseID, timestamp, activity name and performer. We discover runtime process model for bug resolution process spanning three repositories using process mining tool, Disco, and conduct process performance and efficiency analysis. We identify bottlenecks, define and detect basic and composite anti-patterns. In addition to control flow analysis, we mine event log to perform organizational analysis and discover metrics such as handover of work, subcontracting, joint cases and joint activities.",Proceedings of the 11th Working Conference on Mining Software Repositories (MSR 2014),conference paper,,,,,122--131,ACM,False,,,openalex,doi_exact
79023ad0,acm,acm_principal,ACM Principal,10.1145/3387909,Monotone Precision and Recall Measures for Comparing Executions and Specifications of Dynamic Systems,"Polyvyanyy, Artem; Solti, Andreas; Weidlich, Matthias; Di Ciccio, Claudio; Mendling, Jan",2020,"The behavioural comparison of systems is an important concern of software engineering research. For example, the areas of specification discovery and specification mining are concerned with measuring the consistency between a collection of execution traces and a program specification. This problem is also tackled in process mining with the help of measures that describe the quality of a process specification automatically discovered from execution logs. Though various measures have been proposed, it was recently demonstrated that they neither fulfil essential properties, such as monotonicity, nor can they handle infinite behaviour. In this article, we address this research problem by introducing a new framework for the definition of behavioural quotients. We prove that corresponding quotients guarantee desired properties that existing measures have failed to support. We demonstrate the application of the quotients for capturing precision and recall measures between a collection of recorded executions and a system specification. We use a prototypical implementation of these measures to contrast their monotonic assessment with measures that have been defined in prior research.",ACM Transactions on Software Engineering and Methodology (TOSEM),article,,,29,3,1--41,ACM,False,,,,
08d64489,acm,acm_principal,ACM Principal,10.1145/3084100.3084103,Mining Collaboration Patterns of Software Development Processes Based on Trace Alignment,"Yu, Dongjin; Wang, Jiaojiao",2017,"Developing large-scale software usually involves the interaction of a great number of engineers over a long period. To discover the collaboration patterns from developing logs helps improve the software development processes. Traditional techniques of process mining can be employed to identify such patterns. Unfortunately, due to the high uncertainty of software development process, they tend to obtain “spaghetti” models which are difficult to comprehend or even misleading. As a remedy, in this paper we propose an approach to the discovery of collaboration patterns existing in software development process by aligning development logs. It considers not only the sequence of activities, but also the collaboration of actors who perform activities. Instead of using time-consuming graph mining techniques, it employs the trace alignment, which is much more straightforward. Moreover, unlike some traditional approaches, the discovered patterns are determined because we do not depend on the mined process model that is usually uncertain due to the unstructured nature of software development process. The experimental results based on a large dataset generated from CPNTools demonstrate the effectiveness of our approach.",Proceedings of the 2017 International Conference on Software and System Process (ICSSP '17),conference paper,,,,,15--24,ACM,False,,,openalex,doi_exact
ac56abe2,acm,acm_principal,ACM Principal,10.1145/3331155,Behavioral Petri Net Mining and Automated Analysis for Human-Computer Interaction Recommendations in Multi-Application Environments,"Theis, Julian; Darabi, Houshang",2019,"Process Mining is a famous technique which is frequently applied to Software Development Processes, while being neglected in Human-Computer Interaction (HCI) recommendation applications. Organizations usually train employees to interact with required IT systems. Often, employees, or users in general, develop their own strategies for solving repetitive tasks and processes. However, organizations find it hard to detect whether employees interact efficiently with IT systems or not. Hence, we have developed a method which detects inefficient behavior assuming that at least one optimal HCI strategy is known. This method provides recommendations to gradually adapt users' behavior towards the optimal way of interaction considering satisfaction of users. Based on users' behavior logs tracked by a Java application suitable for multi-application and multi-instance environments, we demonstrate the applicability for a specific task in a common Windows environment utilizing realistic simulated behaviors of users.",Proceedings of the ACM on Human-Computer Interaction (PACMHCI),article,,,3,EICS,1--16,ACM,False,,,,
410a31ce,acm,acm_principal,ACM Principal,10.1145/2832987.2833075,Clustering Software Project Components for Strategic Decisions and Building Reuse Libraries,"Srinivas, Chintakindi; Radhakrishna, Vangipuram; Rao, C. V. Guru",2015,"A Software Repository is a collection of function codes, library files, software requirement specification documents, software design patterns, architectural specifications to name a few. Software Engineers and Programmers analyse, design, implement, develop and build the software libraries, software projects as a continuous process. Mining Software Components for efficient reuse is the current topic of interest among researchers working in the areas of Software Reuse and Information Retrieval. A comparatively less research is contributed in this direction and has a good scope for research. In this paper, the main idea is to cluster the software projects, software components from the available repository and use these clusters in choosing the suitable software component quickly and efficiently. The software clustering process may also be used to estimate and know the hidden knowledge of software systems. We use the similarity function of our previous work submitted at the ACM ISDOC Conference [12] for the purpose of clustering the software projects and software components. The clusters formed may be used to estimate the hidden knowledge and behavior of software projects. The approach carried out is a feature vector based approach.",Proceedings of the International Conference on Engineering and MIS (ICEMIS '15),conference paper,,,,,1--5,ACM,False,,,openalex,doi_exact
7e6b3f9f,acm,acm_principal,ACM Principal,10.1145/1809980.1810047,Uma Experiência em Mineração de Processos de Manutenção de Software,"Cruz, John Igor B. da; Ruiz, Duncan",2008,Software organizations are investing more and more time and resources in their process improvement. Process mining can be a valuable tool to gather data from event logs produced by decision-support information systems. This work discusses issues concerning process mining in the context of software development processes when using software metrics as data source. We also report an exploratory case study that uses metrics data from a software maintenance project from a large software operation. The results were useful to an exploratory analysis as well as to examine issues involved on the knowledge discovery process in this type of environment.,Companion Proceedings of the XIV Brazilian Symposium on Multimedia and the Web (WebMedia '08),conference paper,,,,,247--253,ACM,False,,,openalex,doi_exact
07e55287,acm,acm_principal,ACM Principal,10.1145/287000.287001,Discovering Models of Software Processes from Event-Based Data,"Cook, Jonathan E.; Wolf, Alexander L.",1998,"Many software process methods and tools presuppose the existence of a formal model of a process. Unfortunately, developing a formal model for an on-going, complex process can be difficult, costly, and error prone. This presents a practical barrier to the adoption of process technologies, which would be lowered by automated assistance in creating formal models. To this end, we have developed a data analysis technique that we term process discovery. Under this technique, data describing process events are first captured from an on-going process and then used to generate a formal model of the behavior of that process. In this article we describe a Markov method that we developed specifically for process discovery, as well as describe two additional methods that we adopted from other domains and augmented for our purposes. The three methods range from the purely algorithmic to the purely statistical. We compare the methods and discuss their application in an industrial case study.",ACM Transactions on Software Engineering and Methodology (TOSEM),article,,,7,3,215--249,ACM,False,,,openalex,doi_exact
4f816525,ieee,ieee_manual_01,IEEE Manual 01,10.1109/QUATIC.2016.061,"Software Development Process Mining: Discovery, Conformance Checking and Enhancement","Caldeira, João; Abreu, Fernando Brito e",2016,"Software development has become a fundamental process on any business or organization. As a consequence, together with other emergent technologies, new development platforms (IDEs) are being created, mainly in the cloud (e.g., Eclipse Orion, Cloud9, Codio), requiring different approaches on the way software development can be studied. Empirical studies on software development most often are based on data taken from software configuration management repositories, source code management systems and issue tracking tools, but not from the IDEs themselves, because they do not record data publically regarding developers’ activities. We aim to bring forward new insights on the software development process by analyzing how developers use their IDE. Based upon process mining techniques such as process discovery and conformance checking, this missing perspective will hopefully allow the discovery of coding patterns, the search for programmer behaviors and the detection of deviations from prescribed processes. Finally, we expect to provide advice for individual software process enhancement.",2016 10th International Conference on the Quality of Information and Communications Technology (QUATIC),conference paper,Software development management; Process mining; Organizations; Codes; Programming; Soft sensors; Real-time systems; Capability maturity model; Big Data; Agile software development; software development; software process; process mining; pattern discovery; software engineering,,,,254-259,,False,,,,
384b17c3,ieee,ieee_manual_01,IEEE Manual 01,,Agile Development for Vulnerable Populations: Lessons Learned and Recommendations,"Baez, Marcos; Casati, Fabio",2018,"In this paper we draw attention to the challenges of managing software projects for vulnerable populations, i.e., people potentially exposed to harm or not capable of protecting their own interests. The focus on human aspects, and particularly, the inclusion of human-centered approaches, has been a popular topic in the soft-ware engineering community. We argue, however, that current literature provides little understanding and guidance on how to approach these type of scenarios. Here, we shed some light on the topic by reporting on our experiences in developing innovative solutions for the residential care scenario, outlining potential issues and recommendations.",2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),conference paper,Sociology; Statistics; Software; Software engineering; Collaboration; Tools; Stakeholders; Agile development; human centered design; vulnerable populations,,,,33-36,,False,,,,
856e84f2,ieee,ieee_manual_01,IEEE Manual 01,10.1109/CLEI.2018.00072,Using Process Mining in Agile Software Development Methodologies: A Systematic Mapping Study,"Arias, Michael; Marques, Maíra R; Rojas, Eric",2018,"The structure and the way in which organizations manage their projects have evolved. Agile software development has emerged as an alternative to manage projects management processes more efficiently. Process mining allows the analysis of project historical information and proposing improvements for agile processes. A systematic mapping study (SMS) was conducted to classify the proposed approaches in agile development methodologies that uses process mining. A total of 502 studies were identified, and finally 6 studies were selected and analyzed according to distinct aspects. Conference proceedings is the most common venue. There is a concentration of approaches published that comes from Asia and Europe. Disco tool is the most frequently used tool. Meanwhile, the process discovery being the most relevant process mining type used by researchers in this research area. There are two evaluation methods reported as being used: case study and running example, where Scrum is the most frequently methodology used. To the best of our knowledge, this is the first research that has been conducted to generate a SMS in this research area.",2018 XLIV Latin American Computer Conference (CLEI),conference paper,Data mining; Software; Agile software development; Tools; Systematics; Business; Databases; Process mining; project management; agile development methodology; agile method; systematic mapping study,,,,552-561,,False,,,,
6500fd93,ieee,ieee_manual_01,IEEE Manual 01,10.1109/CoG60054.2024.10645544,Process Mining for Game Analytics,"Elbert, Nico; Flath, Christoph M.",2024,"This paper explores the integration of process mining techniques and the User Behavior Mining (UBM) Framework within game analytics, using a expansive dataset from Age of Empires II. We demonstrate how these methodologies can be used to systematically analyze and interpret complex player behaviors across various skill levels. Employing techniques such as trace clustering and directly-follows-graphs, we identify distinct behavioral patterns and quantify differences in strategy adherence. Additionally, conformance checking reveals the impact of deviations from standard build orders on game outcomes. Our findings underscore the potential of PM and UBM as powerful diagnostic tools in game analytics, offering scalable and structured approaches to enhance player interaction understanding. The successful application of these methodologies not only introduces a scalable and structured approach to quantifying complex player dynamics but also opens up the entire range of process mining methodologies, algorithms, and software solutions available. This advancement enables the gaming industry to leverage sophisticated analytical tools previously confined to other domains.",2024 IEEE Conference on Games (CoG),conference paper,Process mining; Industries; Heuristic algorithms; Software algorithms; Games; Software; Standards; Process Mining; User Behavior Mining; Game Analytics; Player Behavior Analysis; Conformance Checking,,,,1-4,,False,,,,
d098c91d,ieee,ieee_manual_01,IEEE Manual 01,10.1109/ICSMC.2011.6083858,Using process mining in software development process management: A case study,"Lemos, Artini M.; Sabino, Caio C.; Lima, Ricardo M. F.; Oliveira, Cesar A. L.",2011,"In this paper we describe the application of process mining techniques to analyze a software development process. Software engineering practitioners often conduct quality auditing of the development process to assure conformance with organizational standards. Despite some works have explored process mining techniques for the conformance analysis of general business processes, it is not of our knowledge any study that applies process mining to conformance checking of software development processes. Under a practical perspective, this paper explores a real database with event logs generated in the past five years of execution of a software development process. The database was gently provided by a Brazilian software house with annual revenue of more than US$ 500 million and includes more than 2,000 cases (process instances). The results show that process mining can be effectively employed as a supporting tool for the management of software development processes and for the improvement of the maturity level of software engineering organizations.","2011 IEEE International Conference on Systems, Man, and Cybernetics",conference paper,Data mining; PROM; Programming; Process control; Software; Databases; Companies; process mining; software development process; conformance checking,,,,1181-1186,,False,,,,
e6f42f43,ieee,ieee_manual_01,IEEE Manual 01,10.1109/ICSSP.2019.00020,Evaluating Coding Behavior in Software Development Processes: A Process Mining Approach,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Maggi, Fabrizio Maria",2019,"Process mining is a family of techniques that aim at analyzing business process execution data recorded in event logs. Conformance checking is a branch of this discipline embracing approaches for verifying whether the behavior of a process, as recorded in a log, is in line with some expected behavior provided in the form of a process model. In the literature, process mining techniques have already been used to study software development processes starting from logs derived from version management systems or from document management systems. In this paper, we use conformance checking to test coding behaviors starting from event logs generated from IDE usage. Understanding how developers carry out coding activities and what hurdles they usually face should provide useful tips for improving and supporting software development processes. In particular, through conformance checking, we can compare different process executions, and identify behavioral similarities and differences. In our experimentation, we evaluated the activities performed by 40 novice developers performing coding activities in 5 development sessions. We assessed the developers to distinguish the ones obtaining the best performance. We then compared the behavior extracted from this group of developers with the others. The results show different IDE usage patterns for developers with different skills and performance.",2019 IEEE/ACM International Conference on Software and System Processes (ICSSP),conference paper,Encoding; Unified modeling language; Software; Data mining; Tools; Task analysis; Software Development Process; Process Mining; Conformance Checking; IDE Logging,,,,84-93,,False,,,,
09b21c45,ieee,ieee_manual_01,IEEE Manual 01,10.1109/ENC53357.2021.9534824,Process Mining Perspectives in Software Engineering: A Systematic Literature Review,"Jaqueline Urrea-Contreras, Silvia; Flores-Rios, Brenda L.; Angélica Astorga-Vargas, María; Ibarra-Esquer, Jorge E.",2021,"In the last decade, Process Mining has established as an emerging discipline for being oriented to the discovery, monitoring, and improvement of processes. This article presents the results of a Systematic Literature Review that reveals the state of the art of Process Mining perspectives in Software Engineering from 2010 to 2020, with the purpose of adequately characterizing software processes that are mostly complex. Twelve primary studies were selected and classified according to their type of publication, conceptual definition of Process Mining perspectives, their implementation in case studies and the successful contributions to the challenges and opportunities of implementing the perspectives identified in Software Engineering. The results identify four Process Mining perspectives (control- flow, organizational, case, and time), highlighting the use of the control-flow perspective in the cases of discovery of process models (flows and order of execution activities) and the organization- al perspective in the identification of human resource interaction. Although Process Mining perspectives have been applied in the Software Engineering domain, the lack of a standardized definition for the term Process Mining perspective and, in turn, for each of them, is still highlighted.",2021 Mexican International Conference on Computer Science (ENC),conference paper,Time-frequency analysis; Systematics; Bibliographies; Standards organizations; Process control; Organizations; Software; Process Mining; Software Engineering; Process Mining perspectives,,,,1-8,,False,,,,
04ab260e,ieee,ieee_manual_01,IEEE Manual 01,10.1109/CBI.2018.00021,Assessing Agile Software Development Processes with Process Mining: A Case Study,"Marques, Rita; Mira da Silva, Miguel; R. Ferreira, Diogo",2018,"Software development is a growing industry with increasingly more complex projects. Agile methodologies, such as Scrum, have emerged in part to address this challenge. Agile focuses on a set of best practices rather than a standardized process, which makes it difficult to assess whether it is being properly implemented in an organization. In this work, we analyze the feasibility of using process mining to evaluate the implementation of Scrum practices based on event logs collected from a case-handling system. A case study was conducted in an IT organization that uses Jira Software to manage its projects. With process mining, it was possible to extract the workflow behaviour in two different projects. While Scrum standards like role distribution could be discovered, other practices like customer collaboration could not be detected in the log. This case study provided important insights regarding the application of process mining in case-handling systems and Scrum processes.",2018 IEEE 20th Conference on Business Informatics (CBI),conference paper,Data mining; Software; Organizations; Scrum (Software development); Tools; Planning; Standards organizations; Agile software development; Scrum methodology; process mining; case-handling systems,,01,,109-118,,False,,,,
