internal_id,title,doi,year,source_db,ft_matched_ic,ft_screened_by,authors,venue,journal_name,volume,pages,publication_type,abstract,pdf_available,pdf_file,research_question,study_type,research_contribution,pm_technique,stochastic_technique,software_artifact,software_process,dataset_source,dataset_public,tool_used,main_finding,limitations,replication_package,quality_score,extraction_notes
373ad20e,Applying Process Mining: The Reality of a Software Development SME,10.3390/app14041402,2024,scopus,IC1,llm,Silvia Jaqueline Urrea-Contreras; M. A. Astorga-Vargas; B. Flores-Rios; J. Ibarra-Esquer; F. F. González-Navarro; Ivan Antonio García Pacheco; Carla Leninca Pacheco Agüero,Applied Sciences,Applied Sciences,,,JournalArticle,"One of the challenges the organizations confront is to extract data from the information systems to know the reality of their processes to improve their efficiency. In this study, the application of Process Mining is addressed as an opportunity in the specific context of an SME dedicated to software development, implementing the L* life cycle model methodology from a layered Software Engineering approach. This research is carried out based on process improvement in an initial SME project. Subsequently, it is compared with a second project, using different Process Mining perspectives such as control flow, case, organization, and time, with the aim of extending the process model. This holistic view allows not only to better understand the processes involved, but also to identify and analyze the similarities and differences between the two projects. As a result, the Process Mining analysis shows crucial aspects such as the representation of integrated models, traces on sequences of actions, and the interaction of activities with specific roles and deviations in the flow of activities that compromise the quality of the process and the product. At the same time, the challenges that emerged during the improvement cycle are highlighted. These challenges cover issues such as data extraction, fluid communication between those involved, and the documentation associated with the processes. This study contributes to the body of knowledge of Process Mining. Likewise, the case study results offer a vision for other SMEs seeking to incorporate Process Mining as part of their improvement strategies.",sim,applsci-14-01402-with-cover.pdf,Como aplicar Process Mining em uma PME de desenvolvimento de software para extrair dados de sistemas de informação e comparar processos documentados com processos observados?,case_study,discovery | enhancement | framework,inductive_miner | heuristic | conformance_checking,none,jira | github | vcs | issues,development | requirements | testing | code_review,industrial,não_mencionado,não_mencionado,"O estudo demonstra a aplicação prática de Process Mining em uma PME de software usando a metodologia L* lifecycle, identificando aspectos críticos como representação de modelos integrados, sequências de ações e desvios de fluxo. Os principais desafios encontrados incluem extração de dados, comunicação fluida entre envolvidos e documentação inadequada dos processos.",O trabalho não especifica completamente as ferramentas utilizadas. As limitações reportadas cobrem problemas de extração de dados dispersos em múltiplos sistemas sem relacionamento explícito entre as atividades de processo.,não_mencionado,,
f7a54d4c,Architecting software monitors for control-flow anomaly detection through large language models and conformance checking,10.1016/j.infsof.2026.108133,2026,scopus,IC1,llm,Francesco Vitale; Francesco Flammini; M. Caporuscio; N. Mazzocca,Information and Software Technology,ArXiv,abs/2511.10876,,JournalArticle,"Context: Ensuring high levels of dependability in modern computer-based systems has become increasingly challenging due to their complexity. Although systems are validated at design time, their behavior can be different at runtime, possibly showing control-flow anomalies due to ``unknown unknowns''. Objective: We aim to detect control-flow anomalies through software monitoring, which verifies runtime behavior by logging software execution and detecting deviations from expected control flow. Methods: We propose a methodology to develop software monitors for control-flow anomaly detection through Large Language Models (LLMs) and conformance checking. The methodology builds on existing software development practices to maintain traditional V\&V while providing an additional level of robustness and trustworthiness. It leverages LLMs to link design-time models and implementation code, automating source-code instrumentation. The resulting event logs are analyzed via conformance checking, an explainable and effective technique for control-flow anomaly detection. Results: We test the methodology on a case-study scenario from the European Railway Traffic Management System / European Train Control System (ERTMS/ETCS), which is a railway standard for modern interoperable railways. The results obtained from the ERTMS/ETCS case study demonstrate that LLM-based source-code instrumentation can achieve up to 82.849% control-flow coverage of the reference design-time process model, while the subsequent conformance checking-based anomaly detection reaches a peak performance of 95.957% F1-score and 93.669% AUC. Conclusion: Incorporating domain-specific knowledge to guide LLMs in source-code instrumentation significantly allowed obtaining reliable and quality software logs and enabled effective control-flow anomaly detection through conformance checking.",sim,1-s2.0-S0950584926001229-main.pdf,"Como detectar anomalias de fluxo de controle em software através de monitoramento em tempo de execução, combinando Large Language Models para instrumentação de código e conformance checking para análise de logs?",case_study,framework | enhancement | conformance,conformance_checking,none,ide_logs | vcs,testing | maintenance,industrial,não_mencionado,não_mencionado,"A metodologia proposta alcançou 82,849% de cobertura de fluxo de controle através de instrumentação de código baseada em LLM, e a detecção de anomalias via conformance checking atingiu 95,957% F1-score e 93,669% AUC no caso de estudo ERTMS/ETCS. A incorporação de conhecimento específico do domínio para guiar LLMs na instrumentação de código permitiu obter logs de software confiáveis e qualidade.","As limitações reportadas não foram completamente especificadas no trecho disponível do paper, embora o texto indique desafios práticos em manter consistência entre modelos de sistema e suas implementações.",não_mencionado,,
87bce30b,Automating Process Discovery through Event-Data Analysis,10.1145/225014.225021,1995,ieee,IC1|IC2,llm,J. Cook; A. Wolf,International Conference on Software Engineering,1995 17th International Conference on Software Engineering,,73-73,JournalArticle; Conference,,sim,225014.225021.pdf,Como automatizar a descoberta de modelos formais de processos de software a partir de dados de eventos coletados durante a execução de processos?,tool,discovery | framework,alpha | other,markov_chain,none,development | other,not_specified,não_mencionado,não_mencionado,"O paper apresenta três métodos automatizados para descoberta de processos: inferência de gramática algorítmica, modelos de Markov e redes neurais. Estes métodos permitem gerar modelos de máquinas de estado finito a partir de dados de eventos, reduzindo barreiras de entrada para adoção de tecnologias de modelagem de processos formais.","Os métodos se concentram apenas em descobrir aspectos comportamentais dos processos, não cobrindo modelos de artefatos, papéis e responsabilidades. Todos os métodos requerem orientação de especialistas em processos de software através de parâmetros de ajuste.",não_mencionado,,
2d369fe9,Detecting Bottleneck and Fraud in Agile Development by using Petri net Performance and Trace Clustering,10.1109/ISEMANTIC.2019.8884226,2019,ieee,IC1|IC2,llm,Muhammad A. Razi; K. Sungkono; R. Sarno; Cahyaningtyas Sekar Wahyuni,2019 International Seminar on Application for Technology of Information and Communication (iSemantic),2019 International Seminar on Application for Technology of Information and Communication (iSemantic),,214-218,,"Software Development Life Cycle model is one of the basic idea of the software development. SDLC is a continuous process, the cycle starts from the moment when it is decide to release the project, and it ends when its full remove from the exploitation. Agile is one of the mostly used SDLC models. Combination of incremental and iterative process models with a focus on process customer satisfaction and can adapt to rapid delivery of working sofware is called Agile SDLC. This contribution of this paper is evaluating the performance, such as occurring bottleneck and fraud, of an Agile model to handle the management of the project. This paper uses Petri net to analyze Agile SDLC model performance. The petri net use to detect the bottleneck that occur in the model. If an event has longer waiting time tahen others, it can identify that the bottleneck occur in that task. Then, the fraud is detected based on trace clustering. Based on the experiment, the cluster which has lowest member is indicates as fraud processes.",sim,Detecting_Bottleneck_and_Fraud_in_Agile_Development_by_using_Petri_net_Performance_and_Trace_Clustering.pdf,Como detectar gargalos e fraudes em desenvolvimento Agile usando análise de desempenho de Redes de Petri e clustering de traces?,case_study,discovery | enhancement,alpha | conformance_checking,none,other,development | requirements,synthetic,não_mencionado,ProcessMaker | Disco | ProM,"O paper propõe uma abordagem usando Redes de Petri para detectar gargalos através da análise de tempos de espera em tarefas do processo Agile, e identifica fraudes através de clustering de traces, onde clusters com menor número de membros indicam processos fraudulentos.",não_mencionado,não_mencionado,,
7b0b22ea,Studying Task Processes for Improving Programmer Productivity,10.1109/TSE.2019.2904230,2021,scopus,IC1|IC2,llm,P. Jalote; Damodaram Kamma,IEEE Transactions on Software Engineering,IEEE Transactions on Software Engineering,47,801-817,JournalArticle,"Productivity of a software development organization can be enhanced by improving the software process, using better tools/technology, and enhancing the productivity of programmers. This work focuses on improving programmer productivity by studying the process used by a programmer for executing an assigned task, which we call the task process. We propose a general framework for studying the impact of task processes on programmer productivity and also the impact of transferring task processes of high-productivity programmers to average-productivity peers. We applied the framework to a few live projects in Robert Bosch Engineering and Business Solutions Limited, a CMMI Level 5 company. In each project, we identified two groups of programmers: high-productivity and average-productivity programmers. We requested each programmer to video capture their computer screen while executing his/her assigned tasks. We then analyzed these task videos to extract the task processes and then used them to identify the differences between the task processes used by the two groups. Some key differences were found between the task processes, which could account for the difference in productivities of the two groups. Similarities between the task processes were also analyzed quantitatively by modeling each task process as a Markov chain. We found that programmers from the same group used similar task processes, but the task processes of the two groups differed considerably. The task processes of high-productivity programmers were transferred to the average-productivity programmers by training them on the key steps missing in their process but commonly present in the work of their high-productivity peers. A substantial productivity gain was found in the average-productivity programmers as a result of this transfer. The study shows that task processes of programmers impact their productivity, and it is possible to improve the productivity of average-productivity programmers by transferring task processes from high-productivity programmers to them.",sim,Studying_Task_Processes_for_Improving_Programmer_Productivity.pdf,Como os processos de tarefas utilizados por programadores afetam sua produtividade? É possível melhorar a produtividade transferindo processos de tarefas de programadores de alta produtividade para seus pares?,case_study,discovery | enhancement | framework,other,markov_chain,ide_logs,development | code_review,industrial,não_mencionado,não_mencionado,"Programadores de alta produtividade utilizam processos de tarefas diferentes e mais eficientes comparados aos de produtividade média. A transferência dos processos de tarefas dos programadores de alta produtividade para os de produtividade média, através de treinamento, resultou em ganhos substanciais de produtividade. Os processos de tarefas foram modelados como cadeias de Markov para análise quantitativa das similaridades.",Estudo realizado em uma organização específica (CMMI Level 5) e em projetos de modelo baseado em testes unitários. Tamanho da amostra e generalizabilidade dos resultados não mencionados explicitamente no trecho fornecido.,não_mencionado,,
9e450f55,Application of Constructive Modeling and Process Mining Approaches to the Study of Source Code Development in Software Engineering Courses,10.24138/JCOMSS-2021-0046,2021,scopus,IC1|IC2,llm,V. Shynkarenko; Oleksandr Zhevaho,Journal of Communications Software and Systems,Journal of Communications Software and Systems,,,Review,"—We present an approach of constructing a source code history for a modern code review. Practically, it is supposed to be used in programming training, especially within initial stages. The developed constructor uses constructive-synthesizing modeling tools to classify a source code history by fine-grained changes and to construct an event log file aimed to provide information on students’ coding process. Current research applies Process Mining techniques to the software engineering domain to identify software engineering skills. By better understanding of the way students design programs, we will help novices learn programming. This research provides an innovative method of using code and development process review in teaching programming skills and is aimed to encourage using code review and monitoring coding practice in educational purposes. The standard method of evaluation takes into consideration only a final result, which doesn’t meet modern requirements of teaching programming.",sim,9e450f55_application_of_constructive_modeling_and_process_m.pdf,Como aplicar Process Mining e modelagem construtiva para analisar o processo de desenvolvimento de código-fonte e identificar habilidades de engenharia de software em estudantes de programação?,tool,discovery | enhancement | framework,other,none,ide_logs | vcs,development | code_review,academic,não_mencionado,Microsoft Visual Studio IDE | ProM (inferido),"O estudo apresenta uma abordagem inovadora para análise do processo de desenvolvimento de código-fonte em ambientes educacionais, utilizando modelagem construtiva-sintetizadora para classificar o histórico de código e Process Mining para identificar padrões de comportamento dos programadores, visando melhorar o ensino de habilidades de programação.",não_mencionado,não_mencionado,,
03b0c494,Stochastic conformance checking based on variable-length Markov chains,10.1016/j.is.2025.102561,2025,scopus,IC1|IC2,llm,Emilio Incerto; Andrea Vandin; S. S. Ahrabi,Information Systems,Inf. Syst.,133,102561,JournalArticle,"Conformance checking is central in process mining (PM). It studies deviations of logs from reference processes. Originally, the proposed approaches did not focus on stochastic aspects of the underlying process, and gave qualitative models as output. Recently, these have been extended in approaches for stochastic conformance checking (SCC), giving quantitative models as output. A different community, namely the software performance engineering (PE) one, interested in the synthesis of stochastic processes since decades, has developed independently techniques to synthesize Markov Chains (MC) that describe the stochastic process underlying program runs. However, these were never applied to SCC problems. We propose a novel approach to SCC based on PE results for the synthesis of stochastic processes. Thanks to a rich experimental evaluation, we show that it outperforms the state-of-the-art. In doing so, we further bridge PE and PM, fostering cross-fertilization. We use techniques for the synthesis of Variable-length MC (VLMC), higher-order MC able to compactly encode complex path dependencies in the control-flow. VLMCs are equipped with a notion of likelihood that a trace belongs to a model. We use it to perform SCC of a log against a model. We establish the degree of conformance by equipping VLMCs with uEMSC, a standard conformance measure in the SCC literature. We compare with 18 SCC techniques from the PM literature, using 11 benchmark datasets from the PM community. We outperform all approaches in 10 out of 11 datasets, i.e., we get uEMSC values closer to 1 for logs conforming to a model. Furthermore, we show that VLMC are efficient, as they handled all considered datasets in a few seconds.",sim,1-s2.0-S0306437925000456-main.pdf,Como aplicar técnicas de síntese de cadeias de Markov de comprimento variável (VLMC) do engenharia de desempenho de software para melhorar a verificação de conformidade estocástica em process mining?,experiment,conformance | framework | hybrid,conformance_checking,markov_chain,none,other,academic,sim,não_mencionado,"A abordagem proposta baseada em VLMC supera 18 técnicas de verificação de conformidade estocástica existentes em 10 de 11 datasets de benchmark, alcançando valores de uEMSC mais próximos a 1 para logs conformes. As VLMCs demonstram eficiência, processando todos os datasets em poucos segundos.","O estudo não é específico para processos de software, focando em aplicações gerais de process mining. A comparação é principalmente com técnicas do domínio de process mining, não explorando outras abordagens de engenharia de desempenho.",não_mencionado,,
ed0ab009,PRIMAD: Building Digital Twins for Software Development Lifecycle within an Evolutionary Architecture,10.1109/SWC65939.2025.00261,2025,ieee,IC1|IC2|IC3,llm,Miguel A. Guinea-Cabrera; J. A. Holgado-Terriza; Pablo A. Pico-Valencia,2025 IEEE Smart World Congress (SWC),2025 IEEE Smart World Congress (SWC),,1680-1685,,"Current Digital Twin (DT) adoption in the Software Development Lifecycle (SDLC) faces significant hurdles, including a lack of standardized methods, limited research, and isolated use cases. Optimizing value streams is crucial for modern software organizations, which are increasingly characterized by diverse and evolving roles. Implementing a digital twin in this context can significantly enhance the ability to identify opportunities for improvement and explore potential change scenarios. To overcome these adoption barriers, we propose PRIMAD, a progressive methodology for building an SDLC DT that delivers incremental benefits by leveraging existing empirical data from issue-tracking systems, such as JIRA. This approach resolves the ""cold start"" problem, enabling simulations to emerge directly from real-world behavior. Our methodology integrates a Python-based simulation core with an Akka actor system for modeling issues and resources, enriched by supervised machine learning for context-aware predictions. Preliminary results validating PRIMAD components independently (using pm4py, Akka, and LightGBM) show promising outcomes. This paper details our methodology, presents preliminary component-wise results, and outlines future work.",sim,PRIMAD_Building_Digital_Twins_for_Software_Development_Lifecycle_within_an_Evolutionary_Architecture.pdf,Como construir Digital Twins para o Software Development Lifecycle que superem o problema de 'cold start' e forneçam valor incremental através de dados empíricos de sistemas de rastreamento de issues?,tool,framework | simulation | prediction,other,monte_carlo | other,jira | issues,development | requirements,open_source,sim,pm4py | Akka | LightGBM | Python,"PRIMAD é uma metodologia progressiva que constrói Digital Twins para SDLC aproveitando dados empíricos de sistemas de rastreamento como JIRA, integrando simulação baseada em Python com sistemas de atores Akka e aprendizado de máquina supervisionado para previsões contextualmente sensíveis, resultados preliminares mostram aplicabilidade promissora para reduzir ciclo de tempo e acelerar fluxo de valor.",Resultados são preliminares e validados apenas componente-a-componente; falta validação end-to-end em ambiente de produção e avaliação empírica completa do impacto organizacional.,parcial,,
50d875ff,Kanban and Process Mining in the Task Management,10.1145/3275245.3275286,2018,acm,IC1|IC3,llm,Vitor Mendes; Elio Ribeiro Faria Junior; C. Garcia; A. Malucelli,Brazilian Symposium on Software Quality,Proceedings of the XVII Brazilian Symposium on Software Quality,,,JournalArticle; Book,"In a world continuously changing with markets that are in permanent evolution and in contend, the companys must inovate, be more flexible, offer quality and respond swiftly. These factors do not apply for product manufacture processes only, but for software development processes aswell. This paper describes an account of experiences with the use of Kanban to improve the activities management in an ERP's development. To do this, a mapping of the current process was carried out, so to propose a set of improvements in the management of activities. As a result, a set of tools were implemented to enable a clear view and control over the activities, as well as to integrate the Issue Tracking System with the Kanban board. Furthermore, a process mining technique was used to estimate the time of conclusion of the activities and to detect performance problem.",sim,3275245.3275286.pdf,Como aplicar Kanban e mineração de processos para melhorar o gerenciamento de atividades em adaptações de um sistema ERP?,case_study,enhancement | discovery,other,none,issues | jira,maintenance | development,industrial,não_mencionado,não_mencionado,"A integração de Kanban com mineração de processos permitiu melhorar a gestão de atividades em desenvolvimento de ERP, proporcionando visibilidade transparente das atividades, redução do lead time e identificação de problemas de desempenho através da análise de padrões de execução.",não_mencionado,não_mencionado,,
e3d29a38,SIMPT: Process Improvement Using Interactive Simulation of Time-Aware Process Trees,10.1007/978-3-030-75018-3_40,2021,scopus,IC1|IC3,llm,M. Pourbafrani; Shuai Jiao; Wil M.P. van der Aalst,Research Challenges in Information Science,ArXiv,abs/2108.02052,,JournalArticle,"Process mining techniques including process discovery, conformance checking, and process enhancement provide extensive knowledge about processes. Discovering running processes and deviations as well as detecting performance problems and bottlenecks are well-supported by process mining tools. However, all the provided techniques represent the past/current state of the process. The improvement in a process requires insights into the future states of the process w.r.t. the possible actions/changes. In this paper, we present a new tool that enables process owners to extract all the process aspects from their historical event data automatically, change these aspects, and re-run the process automatically using an interface. The combination of process mining and simulation techniques provides new evidence-driven ways to explore""what-if""questions. Therefore, assessing the effects of changes in process improvement is also possible. Our Python-based web-application provides a complete interactive platform to improve the flow of activities, i.e., process tree, along with possible changes in all the derived activity, resource, and process parameters. These parameters are derived directly from an event log without user-background knowledge.",sim,e3d29a38_simpt_process_improvement_using_interactive_simula.pdf,Como combinar técnicas de process mining e simulação para permitir que proprietários de processos explorem cenários 'what-if' e avaliem o impacto de mudanças em processos de software de forma interativa?,tool,enhancement | simulation | framework,inductive_miner | other,monte_carlo | other,none,other,not_specified,não_mencionado,"SIMPT (Python web-application), ProM, pm4py","O SIMPT é uma ferramenta web-based que integra process mining e simulação para gerar automaticamente modelos de processo executáveis a partir de event logs, permitindo proprietários de processos explorar cenários 'what-if' e avaliar mudanças em parâmetros de atividades, recursos e processos sem conhecimento técnico prévio.","O artigo apresentado consiste apenas nas primeiras páginas, limitando a identificação completa de limitações reportadas e resultados experimentais detalhados.",não_mencionado,,
4b34f7a5,Unveiling process insights from refactoring practices,10.1016/j.csi.2021.103587,2022,scopus,IC1|IC3,llm,João Caldeira; Fernando Brito e Abreu; J. Cardoso; J. Reis,Comput. Stand. Interfaces,ArXiv,abs/2010.15692,,JournalArticle,"Context : Software comprehension and maintenance activities, such as refactoring, are said to be negatively impacted by software complexity. The methods used to measure software product and processes complexity have been thoroughly debated in the literature. However, the discernment about the possible links between these two dimensions, particularly on the benefits of using the process perspective, has a long journey ahead. Objective: To improve the understanding of the liaison of developers' activities and software complexity within a refactoring task, namely by evaluating if process metrics gathered from the IDE, using process mining methods and tools, are suitable to accurately classify different refactoring practices and the resulting software complexity. Method: We mined source code metrics from a software product after a quality improvement task was given in parallel to (117) software developers, organized in (71) teams. Simultaneously, we collected events from their IDE work sessions (320) and used process mining to model their processes and extract the correspondent metrics. Results: Most teams using a plugin for refactoring (JDeodorant) reduced software complexity more effectively and with simpler processes than the ones that performed refactoring using only Eclipse native features. We were able to find moderate correlations (43%) between software cyclomatic complexity and process cyclomatic complexity. The best models found for the refactoring method and cyclomatic complexity level predictions, had an accuracy of 92.95% and 94.36%, respectively. Conclusions: Our approach agnostic to programming languages, geographic location, or development practices. Initial findings are encouraging, and lead us to suggest practitioners may use our method in other development tasks, such as, defect analysis and unit or integration tests.",sim,4b34f7a5_unveiling_process_insights_from_refactoring_practi.pdf,Como as métricas de processo extraídas do IDE usando process mining podem classificar diferentes práticas de refatoração e sua relação com a complexidade do software?,case_study,discovery | prediction,other,none,ide_logs | vcs,maintenance | development,academic,não_mencionado,JDeodorant | Eclipse | process mining tools não especificados,Equipes usando plugin de refatoração automática (JDeodorant) reduziram complexidade de software mais efetivamente com processos mais simples. Modelos preditivos baseados em métricas de processo alcançaram 92.95% de acurácia para detectar tipo de refatoração e 94.36% para prever redução de complexidade ciclomática.,não_mencionado,não_mencionado,,
e4f9257c,An Intelligent Methodology to Enhance Requirements Engineering in Multidisciplinary Projects,10.1109/CCECE49351.2022.9918286,2022,ieee,IC1|IC3,llm,A. Salmani; Aaron Imani; Majid Bahrehvar; L. Duffett-Leger; Mohammad Moshirpour,Canadian Conference on Electrical and Computer Engineering,2022 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),,452-457,JournalArticle; Conference,"The multidisciplinary nature of a team has been identified as one of the success criteria of both user-centric approaches and agile methods. Stakeholder involvement is considered to be essential for agile processes in order to meet project objectives and ensure results are aligned with stakeholder expectations. However, establishing a collaborative process involving designers, programmers, stakeholders, and users can be challenging; particularly during the requirements engineering stage. Agile methodologies, such as scrum, offer a powerful way of effectively managing software projects and generates a great deal of useful data through tools such as Jira and GitHub. The aim of this research is two folds: 1) analyze the project data from aforementioned sources using process mining techniques to discover deficiencies in the software development process, and 2) propose an automated effort estimation process to address the identified challenges in this study and provide decision support in the development process. This approach is applied to a case study of a virtual healthcare intervention system. The results are indicative that these enhancements helped boost the decision-making and release planning processes by providing the development team a more clear picture, which ultimately mitigated the number of change requests.",sim,An_Intelligent_Methodology_to_Enhance_Requirements_Engineering_in_Multidisciplinary_Projects.pdf,Como melhorar a engenharia de requisitos em projetos multidisciplinares usando process mining e estimativa automatizada de esforço?,case_study,discovery | enhancement | framework,other,none,github | jira,requirements | development,industrial,não_mencionado,GitHub | Jira | não_mencionado,"Desafios em projetos multidisciplinares foram causados por comunicação deficiente e falta de conhecimento de domínio. A aplicação de process mining em dados do GitHub e Jira identificou deficiências no processo de desenvolvimento, e uma ferramenta de suporte à decisão automatizada foi desenvolvida para melhorar a estimativa de esforço e reduzir mudanças de requisitos.",não_mencionado,não_mencionado,,
fa2cb37b,Enhanced What-If Scenarios Generation by Bridging Generative Models and Process Simulation,10.1109/ICPM66919.2025.11220730,2025,scopus,IC1|IC3,llm,Andrei Buliga; Francesca Meneghello; Riccardo Graziosi; Massimiliano Ronzani,International Conference on Process Mining,2025 7th International Conference on Process Mining (ICPM),,1-8,JournalArticle; Conference,"Generative Artificial Intelligence (GenAI) techniques have recently emerged as promising tools for challenges in Process Mining such as missing data, small datasets, and the generation of complex what-if scenarios. A major limitation of current approaches is their inability to produce sets of process traces in a mutually dependent manner. Traces are generated independently, failing to reflect crucial process-level phenomena such as concurrency, resource contention, and workload distribution. This limitation significantly reduces the realism and utility of generated logs, yet has received limited attention in the literature. In contrast, Business Process Simulation (BPS) excels at preserving process constraints and interdependencies. However, in the presence of specific or complex what-if scenarios, this requires the adjustment of several simulation parameters, which can be challenging to achieve. Motivated by these issues, where generative methods lack consistency and BPS methods lack flexibility, we propose a novel data generation framework combining GenAI with BPS. The proposed approach enables generating diverse and complex whatif scenarios via data-driven generative models, which are then validated and refined through BPS to ensure consistency and feasibility at the log level. We call the approach What-If Scenarios via Data-driven generative mOdels and siMulation (WISDOM). We compare several existing methods for process data generation and assess their outputs using an established evaluation framework. Results show that while generative methods fail to capture the full intricacies of process behaviour, their integration with BPS produces traces that are both diverse and compliant with process constraints. This hybrid approach addresses a critical gap in the literature and opens new avenues for robust, simulation-grounded generation methods in process mining.",sim,Enhanced_What-If_Scenarios_Generation_by_Bridging_Generative_Models_and_Process_Simulation.pdf,Como combinar modelos generativos de IA com simulação de processos de negócio para gerar cenários what-if diversos e complexos enquanto se garante a consistência com restrições de processos?,simulation | framework,framework | hybrid | enhancement,other,monte_carlo | other,none,other,synthetic,não_mencionado,não_mencionado,"A abordagem WISDOM integra modelos generativos de IA com BPS para produzir traces que são simultaneamente diversos e conformes às restrições de processos. Enquanto modelos GenAI falham em capturar dependências inter-trace (como contenção de recursos), a integração com simulação garante realismo e viabilidade das logs geradas para cenários what-if complexos.",Métodos GenAI atuais não conseguem generalizar além dos comportamentos observados nos dados de treinamento e geram traces independentes sem refletir dependências inter-trace presentes em processos reais. BPS requer ajuste manual de múltiplos parâmetros para cenários what-if complexos.,não_mencionado,,
df3ad75a,A Systematic Approach to Process Enactment Analysis as Input to Software Process Improvement or Tailoring,10.1109/APSEC.2006.14,2006,ieee,IC1|IC4,llm,Mingkui Huo; He Zhang; R. Jeffery,Asia-Pacific Software Engineering Conference,2006 13th Asia Pacific Software Engineering Conference (APSEC'06),,401-410,JournalArticle; Conference,,sim,A_Systematic_Approach_to_Process_Enactment_Analysis_as_Input_to_Software_Process_Improvement_or_Tailoring.pdf,Como identificar a lacuna entre o modelo de processo planejado e sua execução real em projetos de software? Como usar process mining para recuperar padrões de processo que suportam melhoria e tailoring?,case_study,discovery | conformance | enhancement,alpha | other,none,other,development | other,industrial,não_mencionado,não_mencionado,"O trabalho apresenta um método de recuperação de modelo de processo que coleta dados de execução de projetos e os analisa para descobrir padrões de processo no mesmo nível de abstração do modelo predefinido. Isso facilita a identificação de discrepâncias entre o processo planejado e a execução real, permitindo melhorias empíricas através de tailoring.",Dificuldade em coletar dados suficientes de múltiplos projetos que seguem consistentemente um modelo de processo predefinido. Lacuna entre modelos de processo de baixo nível (atividades diárias) e modelos predefinidos de alto nível (como waterfall).,não_mencionado,,
c113bf1b,Software Process Recovery: Recovering Process from Artifacts,10.1109/WCRE.2010.46,2010,ieee,IC1|IC4,llm,Abram Hindle,Working Conference on Reverse Engineering,2010 17th Working Conference on Reverse Engineering,,305-308,JournalArticle; Conference,,sim,hindle2010WCRE-SoftwareProcessRecovery.pdf,"É possível recuperar os processos de desenvolvimento de software subjacentes de um projeto analisando automaticamente os artefatos deixados em repositórios como sistemas de controle de versão, rastreadores de bugs e arquivos de listas de email?",case_study,discovery | framework,other,markov_chain,vcs | issues | other,development | requirements,open_source,sim,não_mencionado,"O trabalho propõe Software Process Recovery, uma abordagem que combina Mining Software Repositories com process mining e process discovery para recuperar processos de desenvolvimento através da análise de artefatos históricos. Utiliza técnicas de machine learning, análise de tópicos e processamento de linguagem natural para gerar Recovered Unified Process Views (RUPV) que mapeiam eventos de processo ao longo do tempo.",não_mencionado,não_mencionado,,
a222ef2c,Foundations for Event-Based Process Analysis in Heterogeneous Software Engineering Environments,10.1109/SEAA.2010.52,2010,ieee,IC1|IC4,llm,W. Sunindyo; T. Moser; D. Winkler; S. Biffl,EUROMICRO Conference on Software Engineering and Advanced Applications,2010 36th EUROMICRO Conference on Software Engineering and Advanced Applications,,313-322,JournalArticle; Conference,,sim,Foundations_for_Event-Based_Process_Analysis_in_He.pdf,"Como monitorar, controlar e analisar processos de engenharia de software em ambientes heterogêneos usando análise baseada em eventos?",tool,framework | enhancement,alpha,none,ci_cd | ide_logs | other,development | testing | deployment,industrial,não_mencionado,Engineering Service Bus (EngSB),"A abordagem permitiu comparar processos de engenharia esperados e reais considerando estrutura, performance de passos individuais e risco de gargalos. O sistema foi avaliado usando o processo de 'continuous integration and test' capturando desvios de execução através de logs de eventos.","O paper não menciona explicitamente limitações técnicas ou de escala, porém indica que o framework necessita extensões para suportar eficientemente o monitoramento e análise baseada em eventos de logs heterogêneos.",não_mencionado,,
c7682ec2,Software process discovery using link analysis,10.1109/ICCSN.2011.6014218,2011,ieee,IC1|IC4,llm,Beichen Duan; Beijun Shen,IEEE International Conference on Communication Software and Networks,2011 IEEE 3rd International Conference on Communication Software and Networks,,60-63,Conference,,sim,Software_process_discovery_using_link_analysis.pdf,"Como descobrir e modelar o fluxo de controle do processo de desenvolvimento de software através da análise de repositórios de código aberto, especificamente utilizando análise de ligações entre artefatos e atividades?",case_study,discovery | framework,social_network | other,markov_chain,vcs | commits,development,open_source,sim,ProM | não_mencionado,"O artigo apresenta um framework semi-automático para descobrir o fluxo de controle de processos de software a partir de repositórios, mapeando artefatos (arquivos) para atividades de processo através de análise de ligações. A abordagem processa logs de versionamento em três estágios: obtenção do repositório, geração de arquivo de log de eventos em formato comum, e mapeamento de links entre arquivos e atividades de processo.",O artigo menciona potenciais ameaças à validade (seção 5) mas estas não são detalhadas nas páginas fornecidas. A abordagem depende da qualidade e consistência do mapeamento manual de artefatos para atividades.,não_mencionado,,
