internal_id,title,doi,year,abstract,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,raw
b9595838,Software process modeling languages: A systematic literature review,10.1016/j.infsof.2013.10.001,2013,"Context: Organizations working in software development are aware that processes are very important assets as well as they are very conscious of the need to deploy well-defined processes with the goal of improving software product development and, particularly, quality. Software process modeling languages are an important support for describing and managing software processes in software-intensive organizations. Objective: This paper seeks to identify what software process modeling languages have been defined in last decade, the relationships and dependencies among them and, starting from the current state, to define directions for future research. Method: A systematic literature review was developed. 1929 papers were retrieved by a manual search in 9 databases and 46 primary studies were finally included. Results: Since 2000 more than 40 languages have been first reported, each of which with a concrete purpose. We show that different base technologies have been used to define software process modeling languages. We provide a scheme where each language is registered together with the year it was created, the base technology used to define it and whether it is considered a starting point for later languages. This scheme is used to illustrate the trend in software process modeling languages. Finally, we present directions for future research. Conclusion: This review presents the different software process modeling languages that have been developed in the last ten years, showing the relevant fact that model-based SPMLs (Software Process Modeling Languages) are being considered as a current trend. Each one of these languages has been designed with a particular motivation, to solve problems which had been detected. However, there are still several problems to face, which have become evident in this review. This let us provide researchers with some guidelines for future research on this topic.",exclude,"Este é um SLR genérico sobre linguagens de modelagem de processos de software (SPMLs) focado em catálogos, taxonomias e tendências históricas. Não aborda process mining (descoberta/conformance de event logs), modelagem estocástica (Markov, Monte Carlo, Petri nets), forecasting de métricas (lead time, cycle time, throughput) ou mineração de repositórios. Trata-se de uma revisão secundária de domíni",,EC4,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Este é um SLR genérico sobre linguagens de modelagem de processos de software (SPMLs) focado em catálogos, taxonomias e tendências históricas. Não aborda process mining (descoberta/conformance de event logs), modelagem estocástica (Markov, Monte Carlo, Petri nets), forecasting de métricas (lead time, cycle time, throughput) ou mineração de repositórios. Trata-se de uma revisão secundária de domínio amplo em engenharia de processos de software, s"
7f8d2b91,Toward metrics for process validation,10.1109/spcon.1994.344426,2002,"To a great extent, the usefulness of a formal model of a software process lies in its ability to accurately predict the behavior of the executing process. Similarly, the usefulness of an executing process lies largely in its ability to fulfil the requirements embodied in a formal model of the process. When process models and process executions diverge, something significant is happening. We are developing techniques for uncovering discrepancies between models and executions under the rubric of process validation. Further, we are developing metrics for process validation that give engineers a feel for the severity of the discrepancy. We view the metrics presented here as a first step toward a suite of useful metrics for process validation.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>",exclude,"O resumo trata de process validation e conformance checking entre modelos formais e execuções de processos de software, o que mapeia para process mining (IC1). Porém, não há evidência no abstract de: (1) aplicação a artefatos concretos de SW (commits, issues, logs, repositórios), (2) modelagem estocástica, (3) forecasting/predição de métricas de processo, ou (4) mineração de repositórios. O paper ",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O resumo trata de process validation e conformance checking entre modelos formais e execuções de processos de software, o que mapeia para process mining (IC1). Porém, não há evidência no abstract de: (1) aplicação a artefatos concretos de SW (commits, issues, logs, repositórios), (2) modelagem estocástica, (3) forecasting/predição de métricas de processo, ou (4) mineração de repositórios. O paper focado em 'métodos e métricas de validação' sem e"
d50fcf26,SIMKIT – a software process simulation model construction kit in support of empirical research,,2006,"Software production has become one of the largest industries in the world economy today, and in terms of key indicators growth rates in recent years it ranks first among all major industries. In conditions of significantly limited availability of software solutions from foreign manufacturers, the supply from domestic software manufacturers is increasing and, as a result, the need for models and methods that allow you to control the software development process, guarantee the cost of development, timing and quality of the result. The uniqueness of the industry does not allow us to count on the success of using traditional project management models in software projects, especially with regard to quantitative assessments of project parameters. The main differences from other types of project management are that the result of a software development project is intangible, the technologies used in the project change rapidly, and the experience of managing a separate software development project is often not applicable to other projects. The fundamental difference between software development projects and other complex projects is related to the features of the key stage – software construction, including coding and debugging, as well as verification, modular and integration testing. Errors made at the software construction stage have the most significant impact on the project result, since they increase the initially planned amount of work. In the known models of the software development process, the amount of work is considered initially specified, and the construction stage is not allocated as a separate circuit determine the stochastic nature of the work amount. The goal of this paper is to build a simulation model of the software construction process, taking into account the dependencies according to which the main parameters of the simulated process change over time. The model provides an opportunity to quantify and optimize project parameters according to a selected criterion (one or more). The model is built within the framework of a system-dynamic approach; the AnyLogic system is used as a simulation environment. The results of simulation experiments are presented to demonstrate the possibility of using the proposed model to study the software construction process or as a mechanism to support managerial decision-making.",include,"O paper apresenta SIMKIT, um kit de construção de modelos de simulação para processos de software. O abstract demonstra claramente IC2 (modelagem estocástica em processos de SW) ao descrever um modelo de simulação dinâmica do processo de construção de software que captura a natureza estocástica do trabalho e permite quantificar/otimizar parâmetros do projeto. Não há evidência de EC decisivo — o fo",IC2,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper apresenta SIMKIT, um kit de construção de modelos de simulação para processos de software. O abstract demonstra claramente IC2 (modelagem estocástica em processos de SW) ao descrever um modelo de simulação dinâmica do processo de construção de software que captura a natureza estocástica do trabalho e permite quantificar/otimizar parâmetros do projeto. Não há evidência de EC decisivo — o foco é no processo de desenvolvimento de software, "
7f497573,Software Process Simulation Modeling: An Extended Systematic Review,10.1007/978-3-642-14347-2_27,2010,"Software Process Simulation Modeling (SPSM) research has increased in the past two decades, especially since the first ProSim Workshop held in 1998. Our research aims to systematically assess how SPSM has evolved during the past 10 years in particular whether the purposes for SPSM, the simulation paradigms, tools, research topics, and the model scopes and outputs have changed. We performed a systematic literature review of the SPSM research in two subsequent stages, and identified 156 relevant studies in four categories. This paper reports the review process of the second stage and the preliminary results by aggregating studies from the two stages. Although the load of SPSM studies was dominated in ProSim/ICSP community, the outside research presented more diversity in some aspects. We also perceived an immediate need for refining and updating the reasons and the classification scheme for SPSM introduced by Kellner, Madachy and Raffo (KMR).",include,"Esta é uma revisão sistemática de 2010 sobre Software Process Simulation Modeling (SPSM) que abrange 156 estudos. O escopo explícito em modelagem estocástica de processos de software (IC2) e avaliação de simulação para forecasting/predição (IC3) está claramente presente no título e resumo. Embora seja uma SLR secundária, ela não se enquadra em EC4 porque seu foco é especificamente SPSM (modelagem ",IC2|IC3,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""Esta é uma revisão sistemática de 2010 sobre Software Process Simulation Modeling (SPSM) que abrange 156 estudos. O escopo explícito em modelagem estocástica de processos de software (IC2) e avaliação de simulação para forecasting/predição (IC3) está claramente presente no título e resumo. Embora seja uma SLR secundária, ela não se enquadra em EC4 porque seu foco é especificamente SPSM (modelagem estocástica + simulação aplicada a processos de S"
4109251d,Planning Software Project Success with Semi-Quantitative Reasoning,10.1109/aswec.2007.38,2007,"Software process modeling and simulation hold out the promise of improving project planning and control. However, purely quantitative approaches require a very detailed understanding of the software project and process, including reliable and precise project data. Contemporary project management defines the success of project as a box or hyper-cube, rather than the traditional single point, which allows the planning for software project success semi-quantitatively with uncertainty-tolerance. This paper introduces semi-quantitative reasoning into software project planning and develops a practical approach to enhance the confidence of project success under the uncertainty and contingency. We illustrate its value and flexibility by a simplified software process model focusing on staffing issues.",exclude,"O resumo descreve uma abordagem 'semi-quantitativa' para modelagem e simulação de processos de software, mas não apresenta evidências claras de aplicação de técnicas estocásticas formais (Markov, Monte Carlo, Petri nets estocásticas) nem de process mining em artefatos de software. A falta de detalhes sobre métodos formais, dados de entrada (event logs, repositórios) e validação empírica em process",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O resumo descreve uma abordagem 'semi-quantitativa' para modelagem e simulação de processos de software, mas não apresenta evidências claras de aplicação de técnicas estocásticas formais (Markov, Monte Carlo, Petri nets estocásticas) nem de process mining em artefatos de software. A falta de detalhes sobre métodos formais, dados de entrada (event logs, repositórios) e validação empírica em processos reais de SW impede confirmação de IC2 ou IC3."""
bafb58a0,Process Mining Opportunities for CMMI Assessments,,2010,"Software process improvement has become essential for striving at satisfying the needs of customers and requeriments of markets reagrding the quality of software products. To improve software processes in a systematic and structures way, also called process maturity some models have been developed, e.g. CMMI. CMMI specifies key process areas (KPA5) on different levels of maturity. To grow in maturity, software companies should implement theses KPAs. For assess KPAs in a quantitative way, data should be collected from that process, preferably on the basis of already existing and used software engineering tools. Previous research showed that particular configuration management can collect data from software processes, the called software process mining. The objective of this project is to investigate literature on tool support in particular CMMI KPAs to find out whether there are tools that could be supported by process mining.",include,"O abstract claramente propõe investigar process mining para suportar avaliações CMMI, mencionando explicitamente 'software process mining' e coleta de dados de processos de software. Atende IC1 (process mining aplicado a artefatos/processos de SW) e IC4 (mineração de repositórios para descoberta de processos). Nenhum critério de exclusão é decisivo.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O abstract claramente propõe investigar process mining para suportar avaliações CMMI, mencionando explicitamente 'software process mining' e coleta de dados de processos de software. Atende IC1 (process mining aplicado a artefatos/processos de SW) e IC4 (mineração de repositórios para descoberta de processos). Nenhum critério de exclusão é decisivo."",
  ""matched_ic"": [
    ""IC1"",
    ""IC4""
  ],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""proce"
8923f975,A Flexible Software Process Model,,2004,"The development of software products is a complex activity with a large number of factors involved in defining success. As real-world experimentation is difficult and costly, researchers have used various techniques in an attempt to model the development process. This field of software process simulation has received substantial attention over the last twenty years. The aims have been to better understand the software development process and to mitigate the problems that continue to occur in the industry by providing support for management decision making.",pending,"O abstract é genérico e não fornece detalhes suficientes sobre métodos específicos (Markov, Monte Carlo, Petri nets estocásticas) ou fonte de dados (event logs, repositórios). Menciona 'software process simulation' e 'model the development process', potencialmente relevante para IC2, mas falta confirmação de que usa modelagem estocástica explícita ou aplica a artefatos/dados reais de SW. Texto com",IC2,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract é genérico e não fornece detalhes suficientes sobre métodos específicos (Markov, Monte Carlo, Petri nets estocásticas) ou fonte de dados (event logs, repositórios). Menciona 'software process simulation' e 'model the development process', potencialmente relevante para IC2, mas falta confirmação de que usa modelagem estocástica explícita ou aplica a artefatos/dados reais de SW. Texto completo necessário para validar se atende aos crité"
f453a92f,A net practice for software project management,10.1109/52.805479,1999,"Technical and managerial complexity increasingly overwhelm project managers. To rein in that complexity, the authors propose PM-Net, a model that captures the concurrent, iterative, and evolutionary nature of software development. It adopts the basic concepts of Petri nets, graphical models of information flow, with extensions to represent both decisions and artifacts.",include,"O resumo confirma IC2: propõe PM-Net, um modelo baseado em Petri nets com extensões para representar decisões e artefatos em processos de desenvolvimento de software. Petri nets estocásticas são método adequado para modelagem estocástica de processos de SW. Não há evidência de EC aplicável.",IC2,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O resumo confirma IC2: propõe PM-Net, um modelo baseado em Petri nets com extensões para representar decisões e artefatos em processos de desenvolvimento de software. Petri nets estocásticas são método adequado para modelagem estocástica de processos de SW. Não há evidência de EC aplicável."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""software_process"",
    ""stochastic_petri_net""
  ],
  ""software"
9ada26eb,"Understanding software process redesign using modeling, analysis and simulation",10.1002/1099-1670(200006/09)5:2/3<183::aid-spip115>3.0.co;2-d,2000,"Software process redesign (SPR) is concerned with the development and application of concepts, techniques and tools for dramatically improving or optimizing software processes. This paper introduces how software process modeling, analysis and simulation may be used to support software process redesign. This includes an approach to explicitly modeling process redesign knowledge, analyzing processes for redesign, and simulating processes before, during and after redesign. A discussion follows which identifies a number of topic areas that require further study in order to make SPR a subject of software process research and practice. Copyright © 2000 John Wiley & Sons Ltd",exclude,"O resumo descreve uma abordagem genérica de modelagem, análise e simulação de processos de software para redesenho (SPR), mas não fornece evidência concreta de aplicação a nenhum dos critérios de inclusão específicos da SLR PATHCAST: não menciona process mining (descoberta, conformance, event log analysis), não detalha modelagem estocástica específica (Markov, Monte Carlo, Petri nets), não trata f",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O resumo descreve uma abordagem genérica de modelagem, análise e simulação de processos de software para redesenho (SPR), mas não fornece evidência concreta de aplicação a nenhum dos critérios de inclusão específicos da SLR PATHCAST: não menciona process mining (descoberta, conformance, event log analysis), não detalha modelagem estocástica específica (Markov, Monte Carlo, Petri nets), não trata forecasting de métricas de processo (lead time, cy"
3f09473c,Simulation modeling of evolving software processes,10.5555/2664360.2664396,2012,"Abstract—Software processes evolve as software too. The evolving software processes are adapted to accommodate the rapid progress and changes in software engineering practice. Software process simulation has to evolve as well in order to effectively investigate the evolving software processes. This article illustrates the evolution of software process and the resulting challenges to process simulation with two examples from experiences. From these come a list of recommendations for improving the state-of-the-practice of software process simulation. Keywords-software process; process modeling; process simulation I. EVOLVING SOFTWARE PROCESSES Osterweil shared with us the view that ‘software processes are software too ’ [1]. From this perspective, software processes can be regarded as a subset of software, and the",pending,"O abstract está truncado e incompleto, impossibilitando avaliação conclusiva. Embora o título sugira simulação de processos de software (potencialmente IC2), não há evidência explícita no resumo disponível sobre: (1) uso de modelagem estocástica específica (Markov, Monte Carlo, etc.), (2) baseamento em event logs ou dados reais, ou (3) inclusão de forecasting. Requer acesso ao texto completo para ",,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está truncado e incompleto, impossibilitando avaliação conclusiva. Embora o título sugira simulação de processos de software (potencialmente IC2), não há evidência explícita no resumo disponível sobre: (1) uso de modelagem estocástica específica (Markov, Monte Carlo, etc.), (2) baseamento em event logs ou dados reais, ou (3) inclusão de forecasting. Requer acesso ao texto completo para decisão fundamentada."",
  ""matched_ic"": [],
  ""ma"
