row_idx,internal_id,title,ft_decision_primary,ft_decision_verifier,verifier_model,raw
10,ae2ea93f,Using Sysml to Describe a New Methodology for Semiautomatic Software Generation from Inferred Behavioral and Data Models,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título sugere geração automática de software a partir de modelos comportamentais usando SysML, sem qualquer indício de process mining, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios. O foco parece ser em geração de código/modelos, onde software é o artefato produzido (EC2), não o processo sendo estudado."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"":"
11,8dea6481,Using influence diagrams for PERT,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título menciona 'influence diagrams' e 'PERT', que pode ser relevante para IC2/IC3 (modelagem estocástica e forecasting de projetos de software), mas sem o texto completo não é possível confirmar aplicação a processos de desenvolvimento de software especificamente."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""probabilistic_model"",
  ""forecast_target"": ""completion_time"",
  ""process_data_source"": ""un"
12,ec09271c,"Software process evaluation: a machine learning framework with
application to defect management process",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios de inclusão. O título sugere relevância potencial (avaliação de processo de software, machine learning, gestão de defeitos), o que poderia atender IC3 (forecasting de métricas) ou IC2 (modelagem estocástica), mas não há evidência suficiente para decidir com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""defect_prediction"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stoc"
13,40b18c35,Mining and Creating a Software Repositories Dataset,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios. O título sugere mineração de repositórios de software (potencialmente IC4), mas sem evidência de conteúdo não é possível confirmar inclusão com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""repository_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""repository_mining"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
14,d1f25d35,"A case study in modeling a human-intensive, corporate software process",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título sugere relevância potencial para a SLR (modelagem de processo de software corporativo e humano-intensivo), mas sem conteúdo suficiente para confirmar qualquer IC com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
15,0817c61a,An Alternative Issue Tracking Dataset of Public Jira Repositories,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva. O título menciona um dataset de rastreamento de issues de repositórios Jira públicos, o que sugere relevância potencial para IC4 (mineração de repositórios para processo de SW), mas sem o texto completo não é possível confirmar se os dados são usados para process mining ou modelagem de processos de desenvolvimento."",
  ""matched_ic"": [""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [""issue_tracking"", ""repository_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"":"
16,0f90dee2,Simulation modelling practices of ProSim03 participants: a survey,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título menciona 'simulation modelling practices' e 'ProSim03', sugerindo uma survey sobre práticas de simulação que pode ter relevância marginal para modelagem estocástica em processos de SW, mas não é possível confirmar nenhum IC sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confiden"
17,8be359f1,"SimSWE - A Library of Reusable Components for Software Process
Simulation",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere uma biblioteca de componentes reutilizáveis para simulação de processos de software, o que é potencialmente relevante para IC2 (modelagem estocástica/simulação em processos de SW) e IC3 (forecasting de métricas de processo), mas não há informação suficiente para confirmar inclusão com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochasti"
18,5bb04209,An Introduction to Business Process Modeling,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica uma introdução genérica à modelagem de processos de negócio, sem evidências de aplicação a processos de desenvolvimento de software, process mining, modelagem estocástica ou forecasting. A ausência de resumo combinada com um título claramente introdutório/didático sugere material fora do escopo da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC4""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""c"
19,40009ea6,The state of adoption and the challenges of systematic variability management in industry,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se a 'variability management in industry', que é tipicamente relacionado a engenharia de produto/linha de produto de software ou gestão de variabilidade organizacional, sem relação com process mining, modelagem estocástica ou forecasting de processos de SW. Sem abstract disponível e com título claramente fora do escopo PATHCAST, a exclusão é a decisão mais adequada."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
 "
20,ae92654e,Cleanroom Software Engineering: Theory and Practice,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título 'Cleanroom Software Engineering: Theory and Practice' sugere relevância marginal ao escopo da SLR PATHCAST, pois Cleanroom envolve modelagem estocástica (Markov/certificação estatística) aplicada a processos de desenvolvimento de software, mas sem confirmação textual não é possível incluir com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
 "
21,fa66416f,Mining Periodic Patterns from Nested Event Logs,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva. O título sugere mineração de padrões periódicos em event logs aninhados, o que pode ser relevante para process mining (IC1/IC4), mas sem contexto de software é impossível confirmar qualquer IC."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confidence"": ""low""
}
`"
22,88c881a9,"Monotone Precision and Recall Measures for Comparing Executions and
Specifications of Dynamic Systems",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação definitiva. O título sugere métricas de precisão/recall para comparar execuções e especificações de sistemas dinâmicos, o que pode ter relação com process mining (conformance checking), mas não há evidência suficiente de aplicação a processos de software ou modelagem estocástica."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": "
23,1b52f7cc,Structure-based software reliability prediction*,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva. O título sugere predição de confiabilidade baseada em estrutura de software, o que pode envolver modelagem estocástica (IC2) ou predição de métricas de processo (IC3), mas também pode tratar de confiabilidade de software como produto (EC2) sem foco no processo de desenvolvimento."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""reliability"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"""
24,7a95f96f,"Exploring the impact of situational context - A case study of a software
development process for a microservices architecture",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação rigorosa dos critérios. O título menciona 'software development process' e 'microservices architecture', o que sugere possível relevância para IC1 ou IC2, mas sem mais informações não é possível confirmar aplicação de process mining, modelagem estocástica ou forecasting."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_ta"
25,6c6c3b29,Formal Verification of Temporal Constraints for Mobile Service-Based Business Process Models,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica verificação formal de restrições temporais em modelos de processos de negócio para serviços móveis, sem relação com processo de desenvolvimento de software, process mining ou modelagem estocástica em SE. O domínio parece ser processos de negócio em geral (não SW development), e a abordagem é verificação formal, não forecasting ou process mining."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  "
26,5fdc42f4,Rule-based Decision Support for No-Code Digitalized Processes,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título 'Rule-based Decision Support for No-Code Digitalized Processes' sugere relevância marginal ao escopo — pode envolver process mining ou modelagem de processos digitalizados, mas sem evidências suficientes para confirmar aplicação a processos de desenvolvimento de software ou uso de modelagem estocástica/forecasting."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"":"
27,1ff29983,Metrics and laws of software evolution-the nineties view,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título ('Metrics and laws of software evolution') sugere relevância marginal para o escopo da SLR (métricas de processo de software), mas não é possível confirmar aplicação de process mining, modelagem estocástica ou forecasting sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""unclear"",
  ""co"
28,51ae36af,Mining Hybrid UML Models from Event Logs of SOA Systems,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação definitiva. O título sugere mineração de modelos UML a partir de event logs de sistemas SOA, o que pode se relacionar com IC1 (process mining aplicado a artefatos de SW) ou IC4 (mineração de repositórios), mas não é possível confirmar sem o texto completo."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
 "
29,27e267c2,Synergies Between Artificial Intelligence and&#xa0;Software Engineering: Evolution and&#xa0;Trends,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere um survey/review amplo sobre IA e Engenharia de Software; sem texto completo não é possível determinar se aborda especificamente process mining, modelagem estocástica ou forecasting de processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
30,bea7b5ea,"Incremental Process Modeling through Stakeholder-Based Hybrid Process
Simulation",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título menciona 'process modeling' e 'hybrid process simulation', o que sugere relevância potencial para IC2 (modelagem estocástica/simulação em processos) e possivelmente IC1/IC4, mas não é possível confirmar o domínio de software development sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"""
31,3001debe,Test case generation using stochastic automata networks: quantitative analysis,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título menciona 'stochastic automata networks' e 'test case generation', que pode ter relevância marginal para IC2 (modelagem estocástica em SW) ou IC3 (forecasting em SW testing), mas não é possível confirmar sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""software_testing"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_testing"",
  ""stochastic_method"": ""other_stochastic"",
  ""forecast_target"": ""none"",
  ""process_data_source"":"
32,8e40d612,Application of system dynamic model in software project management,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título menciona 'system dynamic model' em 'software project management', o que pode envolver modelagem estocástica ou simulação aplicada a processos de SW (potencialmente IC2 ou IC3), mas sem texto suficiente para confirmar qualquer IC com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""simulation"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""software_project_management"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""proc"
33,5ebc8644,"Agile business process development: why, how and when—applying Nonaka’s theory of knowledge transformation to business process development",exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se ao desenvolvimento ágil de processos de negócio usando a teoria de Nonaka, sem evidência de process mining, modelagem estocástica ou forecasting de métricas de processo de software. O foco parece ser gestão do conhecimento aplicada a BPM em geral, não ao processo de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""m"
34,3487bbf5,SUPPORTING DECISION-MAKING IN SOFTWARE ENGINEERING WITH PROCESS SIMULATION AND EMPIRICAL STUDIES,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios. O título menciona 'process simulation' e 'software engineering', sugerindo possível relevância para IC2 ou IC3, mas não há evidência suficiente para inclusão ou exclusão definitiva."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""uncle"
35,286ac0bf,Towards a Theory of Web Service Choreographies,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se a teorias de coreografias de web services, sem relação com process mining, modelagem estocástica ou forecasting aplicados a processos de desenvolvimento de software. Nenhum IC é plausível dado o tema."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""medium""
}
```"
37,90d0bdec,Optimizing business processes by learning from monitoring results,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título 'Optimizing business processes by learning from monitoring results' sugere relevância marginal para process mining ou forecasting em processos, mas não é possível determinar se o domínio é software development ou outro (saúde, manufatura, etc.) sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_sour"
36,a1578125,Flexibility Requirements in Real-World Process Scenarios and Prototypical Realization in the Care Domain,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se a 'flexibility requirements' no domínio de cuidados (care domain), não a processos de desenvolvimento de software. Mesmo sem resumo disponível, o foco parece ser em processos de saúde/cuidado, o que se enquadra no critério de exclusão EC1 (domínio fora de SW)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""medium""
}
```"
39,891e52b3,Impact of Process Simulation on Software Practice: An Initial Report,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação dos critérios de inclusão/exclusão. O título menciona 'process simulation' e 'software practice', o que sugere possível relevância para IC2 ou IC3, mas não há evidência suficiente para confirmar inclusão."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""un"
38,10bdcff6,TraceJIT: Evaluating the Impact of Behavioral Code Change on Just-In-Time Defect Prediction,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios de inclusão. O título sugere predição de defeitos just-in-time (JIT) com foco em mudanças comportamentais de código, o que pode ser relevante para IC3 (forecasting de métricas de processo/defeitos em SW) ou IC4 (mineração de repositórios), mas requer acesso ao texto completo para confirmar."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""defect_prediction"", ""version_control"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_develop"
40,69414773,Scientific workflows,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título 'Scientific workflows' sugere foco em workflows científicos (e.g., bioinformática, computação científica), não em processos de desenvolvimento de software. Sem resumo disponível e com título indicando domínio fora do escopo da SLR PATHCAST, nenhum IC pode ser confirmado e EC1 é provável."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""lo"
41,c5abea4c,An Adaptive Process Model to Support Product Development Project Management,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título sugere possível relevância para modelagem de processos de desenvolvimento de produto/software, mas sem informação suficiente para confirmar qualquer IC com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required"", ""software_process""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
43,a249a144,Lowering the entry barrier and raising the confidence in large process models,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título ('Lowering the entry barrier and raising the confidence in large process models') é ambíguo — pode referir-se a process modeling em geral (potencialmente relevante para IC1/IC2) ou a domínios não relacionados a SW; sem mais informação, não é possível decidir com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"""
